date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,ABEV3,ABEV3,16.34,16.66,16.26,16.31,16.31,4265400,16.34,16.66,16.26,16.31,1.0,16.66,16.26,0,4265400,9421,70040067.0,1,02,010,BRABEVACNOR1,115,ON  EJ,AMBEV S/A
2017-01-03,ABEV3,ABEV3,16.5,16.67,16.44,16.64,16.64,9535500,16.5,16.67,16.44,16.64,1.0,16.67,16.44,0,9535500,17890,158040930.0,1,02,010,BRABEVACNOR1,115,ON  EJ,AMBEV S/A
2017-01-04,ABEV3,ABEV3,16.66,16.66,16.43,16.51,16.51,9426500,16.66,16.66,16.43,16.51,1.0,16.66,16.43,0,9426500,12262,155853732.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-05,ABEV3,ABEV3,16.52,16.75,16.48,16.6,16.6,11555800,16.52,16.75,16.48,16.6,1.0,16.75,16.48,0,11555800,16549,191960892.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-06,ABEV3,ABEV3,16.59,16.64,16.36,16.46,16.46,7863200,16.59,16.64,16.36,16.46,1.0,16.64,16.36,0,7863200,18978,129625333.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-09,ABEV3,ABEV3,16.46,16.74,16.37,16.53,16.53,8753100,16.46,16.74,16.37,16.53,1.0,16.74,16.37,0,8753100,22889,145069594.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-10,ABEV3,ABEV3,16.62,16.67,16.31,16.34,16.34,7887800,16.62,16.67,16.31,16.34,1.0,16.67,16.31,0,7887800,20478,129498294.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-11,ABEV3,ABEV3,16.44,16.49,16.17,16.41,16.41,9694800,16.44,16.49,16.17,16.41,1.0,16.49,16.17,0,9694800,18539,158130376.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-12,ABEV3,ABEV3,16.61,17.02,16.55,16.93,16.93,18340400,16.61,17.02,16.55,16.93,1.0,17.02,16.55,0,18340400,29370,309339658.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-13,ABEV3,ABEV3,17.09,17.13,16.77,17.11,17.11,10099300,17.09,17.13,16.77,17.11,1.0,17.13,16.77,0,10099300,21751,171564016.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-16,ABEV3,ABEV3,17.14,17.2,16.9,17.05,17.05,8201000,17.14,17.2,16.9,17.05,1.0,17.2,16.9,0,8201000,16117,139291151.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-17,ABEV3,ABEV3,16.98,17.2,16.8,17.2,17.2,18257800,16.98,17.2,16.8,17.2,1.0,17.2,16.8,0,18257800,20880,311815414.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-18,ABEV3,ABEV3,17.22,17.54,17.05,17.26,17.26,18812200,17.22,17.54,17.05,17.26,1.0,17.54,17.05,0,18812200,22758,326417039.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-19,ABEV3,ABEV3,17.27,17.5,17.15,17.3,17.3,10832000,17.27,17.5,17.15,17.3,1.0,17.5,17.15,0,10832000,22776,187861867.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-20,ABEV3,ABEV3,17.5,17.5,17.17,17.35,17.35,9858700,17.5,17.5,17.17,17.35,1.0,17.5,17.17,0,9858700,19885,170813089.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-23,ABEV3,ABEV3,17.31,17.4,17.17,17.34,17.34,6555000,17.31,17.4,17.17,17.34,1.0,17.4,17.17,0,6555000,16091,113574887.0,1,02,010,BRABEVACNOR1,115,ON,AMBEV S/A
2017-01-24,ABEV3,ABEV3,17.28,17.45,17.13,17.3,17.3,11136000,17.28,17.45,17.13,17.3,1.0,17.45,17.13,0,11136000,22493,193323141.0,1,02,010,BRABEVACNOR1,116,ON  ED,AMBEV S/A
2017-01-26,ABEV3,ABEV3,17.36,17.47,17.3,17.31,17.31,7789000,17.36,17.47,17.3,17.31,1.0,17.47,17.3,0,7789000,14881,135208954.0,1,02,010,BRABEVACNOR1,116,ON  ED,AMBEV S/A
2017-01-27,ABEV3,ABEV3,17.3,17.39,17.02,17.32,17.32,13214700,17.3,17.39,17.02,17.32,1.0,17.39,17.02,0,13214700,26798,227627105.0,1,02,010,BRABEVACNOR1,116,ON  ED,AMBEV S/A
2017-01-30,ABEV3,ABEV3,17.24,17.32,16.89,16.97,16.97,6124600,17.24,17.32,16.89,16.97,1.0,17.32,16.89,0,6124600,18305,104442752.0,1,02,010,BRABEVACNOR1,116,ON  ED,AMBEV S/A
2017-01-31,ABEV3,ABEV3,16.93,17.25,16.91,17.2,17.2,7057100,16.93,17.25,16.91,17.2,1.0,17.25,16.91,0,7057100,12089,120859968.0,1,02,010,BRABEVACNOR1,116,ON  ED,AMBEV S/A
