date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,BBAS3,BBAS3,13.95,13.98,13.72,13.77,13.77,3936400,27.9,27.96,27.44,27.54,0.5,27.96,27.44,0,1968200,4784,54470665.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-03,BBAS3,BBAS3,13.88,14.4,13.88,14.4,14.4,15157800,27.76,28.8,27.76,28.8,0.5,28.8,27.76,0,7578900,16158,216149838.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-04,BBAS3,BBAS3,14.325,14.5,14.275,14.325,14.325,8312600,28.65,29.0,28.55,28.65,0.5,29.0,28.55,0,4156300,10344,119669921.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-05,BBAS3,BBAS3,14.36,14.45,14.215,14.29,14.29,10914200,28.72,28.9,28.43,28.58,0.5,28.9,28.43,0,5457100,11730,156466682.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-06,BBAS3,BBAS3,14.29,14.465,14.27,14.445,14.445,7384800,28.58,28.93,28.54,28.89,0.5,28.93,28.54,0,3692400,7641,106331100.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-09,BBAS3,BBAS3,13.895,14.22,13.775,13.9,13.9,30980400,27.79,28.44,27.55,27.8,0.5,28.44,27.55,0,15490200,18821,432536014.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-10,BBAS3,BBAS3,14.13,14.245,14.01,14.09,14.09,10895200,28.26,28.49,28.02,28.18,0.5,28.49,28.02,0,5447600,10111,153632387.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-11,BBAS3,BBAS3,14.175,14.245,13.81,14.24,14.24,11368400,28.35,28.49,27.62,28.48,0.5,28.49,27.62,0,5684200,11632,160483856.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-12,BBAS3,BBAS3,14.56,14.745,14.49,14.6,14.6,18930200,29.12,29.49,28.98,29.2,0.5,29.49,28.98,0,9465100,19679,276530505.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-13,BBAS3,BBAS3,14.495,14.63,14.165,14.22,14.22,10998400,28.99,29.26,28.33,28.44,0.5,29.26,28.33,0,5499200,12497,158063287.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-16,BBAS3,BBAS3,14.25,14.425,14.14,14.23,14.23,6978000,28.5,28.85,28.28,28.46,0.5,28.85,28.28,0,3489000,9683,99667888.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-17,BBAS3,BBAS3,14.225,14.53,14.19,14.46,14.46,9938800,28.45,29.06,28.38,28.92,0.5,29.06,28.38,0,4969400,10406,142900540.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-18,BBAS3,BBAS3,14.53,14.55,14.34,14.34,14.34,8610600,29.06,29.1,28.68,28.68,0.5,29.1,28.68,0,4305300,10380,124261454.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-19,BBAS3,BBAS3,14.37,14.5,14.155,14.355,14.355,8048200,28.74,29.0,28.31,28.71,0.5,29.0,28.31,0,4024100,8026,115777690.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-20,BBAS3,BBAS3,14.38,14.725,14.38,14.675,14.675,19709400,28.76,29.45,28.76,29.35,0.5,29.45,28.76,0,9854700,16794,288119028.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-23,BBAS3,BBAS3,14.75,15.36,14.705,15.34,15.34,16268600,29.5,30.72,29.41,30.68,0.5,30.72,29.41,0,8134300,19589,245557709.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-24,BBAS3,BBAS3,15.35,15.55,14.9,15.05,15.05,16146400,30.7,31.1,29.8,30.1,0.5,31.1,29.8,0,8073200,16711,244229452.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-26,BBAS3,BBAS3,15.5,16.0,15.375,16.0,16.0,27061000,31.0,32.0,30.75,32.0,0.5,32.0,30.75,0,13530500,27540,425894522.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-27,BBAS3,BBAS3,15.895,15.95,15.675,15.695,15.695,10744400,31.79,31.9,31.35,31.39,0.5,31.9,31.35,0,5372200,12693,169935861.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-30,BBAS3,BBAS3,15.51,15.6,15.105,15.26,15.26,11303400,31.02,31.2,30.21,30.52,0.5,31.2,30.21,0,5651700,12272,172648522.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-31,BBAS3,BBAS3,15.34,15.555,15.145,15.555,15.555,11088600,30.68,31.11,30.29,31.11,0.5,31.11,30.29,0,5544300,9928,170890752.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-01,BBAS3,BBAS3,15.695,15.875,15.575,15.63,15.63,10845600,31.39,31.75,31.15,31.26,0.5,31.75,31.15,0,5422800,13228,170587111.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-02,BBAS3,BBAS3,15.43,15.725,15.24,15.485,15.485,12769600,30.86,31.45,30.48,30.97,0.5,31.45,30.48,0,6384800,12180,198206368.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-03,BBAS3,BBAS3,15.41,15.83,15.145,15.445,15.445,16378600,30.82,31.66,30.29,30.89,0.5,31.66,30.29,0,8189300,23080,255401593.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-06,BBAS3,BBAS3,15.65,15.745,14.925,15.06,15.06,12235200,31.3,31.49,29.85,30.12,0.5,31.49,29.85,0,6117600,12822,186269081.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-07,BBAS3,BBAS3,15.33,15.37,15.06,15.2,15.2,8444000,30.66,30.74,30.12,30.4,0.5,30.74,30.12,0,4222000,10206,128240079.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-08,BBAS3,BBAS3,15.245,15.49,15.03,15.36,15.36,8855200,30.49,30.98,30.06,30.72,0.5,30.98,30.06,0,4427600,9599,135167644.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-09,BBAS3,BBAS3,15.38,15.55,15.155,15.31,15.31,12547800,30.76,31.1,30.31,30.62,0.5,31.1,30.31,0,6273900,17278,192043129.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-10,BBAS3,BBAS3,15.49,15.73,15.255,15.59,15.59,12886800,30.98,31.46,30.51,31.18,0.5,31.46,30.51,0,6443400,19060,199969140.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-13,BBAS3,BBAS3,15.65,15.84,15.545,15.69,15.69,9782400,31.3,31.68,31.09,31.38,0.5,31.68,31.09,0,4891200,12235,153343226.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-14,BBAS3,BBAS3,15.715,15.775,15.425,15.74,15.74,12225200,31.43,31.55,30.85,31.48,0.5,31.55,30.85,0,6112600,15978,190940934.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-15,BBAS3,BBAS3,15.765,16.12,15.755,15.93,15.93,18362000,31.53,32.24,31.51,31.86,0.5,32.24,31.51,0,9181000,22510,292899896.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-16,BBAS3,BBAS3,15.61,16.485,15.5,16.445,16.445,34150800,31.22,32.97,31.0,32.89,0.5,32.97,31.0,0,17075400,28601,554236425.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-17,BBAS3,BBAS3,16.315,16.62,16.21,16.455,16.455,21409600,32.63,33.24,32.42,32.91,0.5,33.24,32.42,0,10704800,18350,351255182.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-20,BBAS3,BBAS3,16.555,16.76,16.435,16.72,16.72,10017600,33.11,33.52,32.87,33.44,0.5,33.52,32.87,0,5008800,10016,166111752.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-21,BBAS3,BBAS3,16.72,17.0,16.71,17.0,17.0,14832200,33.44,34.0,33.42,34.0,0.5,34.0,33.42,0,7416100,16940,251206344.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-22,BBAS3,BBAS3,16.95,17.175,16.85,17.045,17.045,13697200,33.9,34.35,33.7,34.09,0.5,34.35,33.7,0,6848600,10826,233256384.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-23,BBAS3,BBAS3,17.055,17.375,16.57,16.675,16.675,17344600,34.11,34.75,33.14,33.35,0.5,34.75,33.14,0,8672300,28474,294359457.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-24,BBAS3,BBAS3,16.46,16.725,16.225,16.55,16.55,13117000,32.92,33.45,32.45,33.1,0.5,33.45,32.45,0,6558500,16082,216849335.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-03-01,BBAS3,BBAS3,16.95,16.98,16.55,16.8,16.8,11335200,33.9,33.96,33.1,33.6,0.5,33.96,33.1,0,5667600,14780,189467003.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-03-02,BBAS3,BBAS3,16.745,16.87,16.575,16.63,16.63,13738800,33.49,33.74,33.15,33.26,0.5,33.74,33.15,0,6869400,19249,229349112.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-03,BBAS3,BBAS3,16.685,17.44,16.68,17.44,17.44,22167200,33.37,34.88,33.36,34.88,0.5,34.88,33.36,0,11083600,30579,380965201.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-06,BBAS3,BBAS3,17.31,17.585,17.3,17.58,17.58,18027400,34.62,35.17,34.6,35.16,0.5,35.17,34.6,0,9013700,18428,314904990.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-07,BBAS3,BBAS3,17.645,17.645,17.255,17.365,17.365,10397600,35.29,35.29,34.51,34.73,0.5,35.29,34.51,0,5198800,14435,180707964.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-08,BBAS3,BBAS3,17.31,17.345,16.9,16.955,16.955,14417800,34.62,34.69,33.8,33.91,0.5,34.69,33.8,0,7208900,18924,245683988.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-09,BBAS3,BBAS3,16.89,17.065,16.65,16.78,16.78,8723800,33.78,34.13,33.3,33.56,0.5,34.13,33.3,0,4361900,12600,147025999.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-10,BBAS3,BBAS3,16.885,17.28,16.79,16.845,16.845,11601000,33.77,34.56,33.58,33.69,0.5,34.56,33.58,0,5800500,13243,196911611.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-13,BBAS3,BBAS3,17.0,17.175,16.855,17.025,17.025,7597200,34.0,34.35,33.71,34.05,0.5,34.35,33.71,0,3798600,12203,129391715.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-14,BBAS3,BBAS3,16.945,17.345,16.915,16.955,16.955,13404200,33.89,34.69,33.83,33.91,0.5,34.69,33.83,0,6702100,17706,229762479.0,1,02,010,BRBBASACNOR3,267,ON  ERJ NM,BRASIL
2017-03-15,BBAS3,BBAS3,17.07,17.225,16.6,17.095,17.095,19174600,34.14,34.45,33.2,34.19,0.5,34.45,33.2,0,9587300,20161,324356962.0,1,02,010,BRBBASACNOR3,267,ON  EJ  NM,BRASIL
2017-03-16,BBAS3,BBAS3,17.055,17.21,16.665,16.865,16.865,11298800,34.11,34.42,33.33,33.73,0.5,34.42,33.33,0,5649400,17213,190425421.0,1,02,010,BRBBASACNOR3,267,ON  EJ  NM,BRASIL
2017-03-17,BBAS3,BBAS3,16.96,17.05,16.355,16.405,16.405,22519400,33.92,34.1,32.71,32.81,0.5,34.1,32.71,0,11259700,22152,371757598.0,1,02,010,BRBBASACNOR3,267,ON  EJ  NM,BRASIL
