date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,BBAS3,BBAS3,13.95,14.5,13.72,14.445,14.445,45705800,27.9,29.0,27.44,28.89,0.5,29.0,27.44,0,22852900,50657,653088206.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-09,BBAS3,BBAS3,13.895,14.745,13.775,14.22,14.22,83172600,27.79,29.49,27.55,28.44,0.5,29.49,27.55,0,41586300,72740,1181246049.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-16,BBAS3,BBAS3,14.25,14.725,14.14,14.675,14.675,53285000,28.5,29.45,28.28,29.35,0.5,29.45,28.28,0,26642500,55289,770726600.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-23,BBAS3,BBAS3,14.75,16.0,14.705,15.695,15.695,70220400,29.5,32.0,29.41,31.39,0.5,32.0,29.41,0,35110200,76533,1085617544.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-01-30,BBAS3,BBAS3,15.51,15.875,15.105,15.445,15.445,62385800,31.02,31.75,30.21,30.89,0.5,31.75,30.21,0,31192900,70688,967734346.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-06,BBAS3,BBAS3,15.65,15.745,14.925,15.59,15.59,54969000,31.3,31.49,29.85,31.18,0.5,31.49,29.85,0,27484500,68965,841689073.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-13,BBAS3,BBAS3,15.65,16.62,15.425,16.455,16.455,95930000,31.3,33.24,30.85,32.91,0.5,33.24,30.85,0,47965000,97674,1542675663.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-02-20,BBAS3,BBAS3,16.555,17.375,16.225,16.55,16.55,69008600,33.11,34.75,32.45,33.1,0.5,34.75,32.45,0,34504300,82338,1161783272.0,1,02,010,BRBBASACNOR3,265,ON      NM,BRASIL
2017-03-01,BBAS3,BBAS3,16.95,17.44,16.55,17.44,17.44,47241200,33.9,34.88,33.1,34.88,0.5,34.88,33.1,0,23620600,64608,799781316.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-06,BBAS3,BBAS3,17.31,17.645,16.65,16.845,16.845,63167600,34.62,35.29,33.3,33.69,0.5,35.29,33.3,0,31583800,77630,1085234552.0,1,02,010,BRBBASACNOR3,266,ON  ERJ NM,BRASIL
2017-03-13,BBAS3,BBAS3,17.0,17.345,16.355,16.405,16.405,73994200,34.0,34.69,32.71,32.81,0.5,34.69,32.71,0,36997100,89435,1245694175.0,1,02,010,BRBBASACNOR3,267,ON  EJ  NM,BRASIL
