date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2000-01-03,BBDC3,BBDC3,1.873425050295119,1.873425050295119,1.799796991549896,1.799796991549896,1.799796991549896,69063,0.01145,0.01145,0.011,0.011,163.61790832271782,0.01145,0.011,0,11300000,7,127605.0,1000,02,010,BRBBDCACNOR1,391,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-04,BBDC3,BBDC3,1.7507116190530807,1.7507116190530807,1.6541770531426772,1.6541770531426772,1.6541770531426772,421714,0.0107,0.0107,0.01011,0.01011,163.61790832271782,0.0107,0.01011,0,69000000,42,712264.0,1000,02,010,BRBBDCACNOR1,392,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-01-05,BBDC3,BBDC3,1.65254087405945,1.7507116190530807,1.6034555015626348,1.7261689328046732,1.7261689328046732,364874,0.0101,0.0107,0.009800000000000001,0.01055,163.61790832271782,0.0107,0.009800000000000001,0,59700000,53,611921.0,1000,02,010,BRBBDCACNOR1,392,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-01-06,BBDC3,BBDC3,1.7261689328046732,1.8325205732144396,1.7179880373885372,1.7507116190530807,1.7507116190530807,537227,0.01055,0.0112,0.0105,0.0107,163.61790832271782,0.0112,0.0105,0,87900000,51,946548.0,1000,02,010,BRBBDCACNOR1,392,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-01-07,BBDC3,BBDC3,1.799796991549896,1.799796991549896,1.7425307236369447,1.781799021634397,1.781799021634397,438216,0.011,0.011,0.01065,0.01089,163.61790832271782,0.011,0.01065,0,71700000,30,768322.0,1000,02,010,BRBBDCACNOR1,392,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-01-10,BBDC3,BBDC3,1.8325205732144396,1.8325205732144396,1.7834352007176242,1.7916160961337602,1.7916160961337602,523781,0.0112,0.0112,0.0109,0.01095,163.61790832271782,0.0112,0.0109,0,85700000,47,945546.0,1000,02,010,BRBBDCACNOR1,392,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-01-11,BBDC3,BBDC3,1.8325205732144396,1.8325205732144396,1.6852644557239935,1.6852644557239935,1.6852644557239935,759086,0.0112,0.0112,0.0103,0.0103,163.61790832271782,0.0112,0.0103,0,124200000,47,1315391.0,1000,02,010,BRBBDCACNOR1,392,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-01-12,BBDC3,BBDC3,1.7654372308021251,1.7834352007176242,1.7179880373885372,1.7670734098853527,1.7670734098853527,462663,0.01079,0.0109,0.0105,0.0108,163.61790832271782,0.0109,0.0105,0,75700000,41,814254.0,1000,02,010,BRBBDCACNOR1,392,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-01-13,BBDC3,BBDC3,1.8325205732144396,1.8816059457112548,1.7834352007176242,1.8652441548789833,1.8652441548789833,1540174,0.0112,0.0115,0.0109,0.0114,163.61790832271782,0.0115,0.0109,0,252000000,118,2812292.0,1000,02,010,BRBBDCACNOR1,392,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-01-14,BBDC3,BBDC3,1.8652441548789833,2.0615856448662444,1.8652441548789833,2.0615856448662444,2.0615856448662444,2512561,0.0114,0.0126,0.0114,0.0126,163.61790832271782,0.0126,0.0114,0,411100000,190,4971887.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-17,BBDC3,BBDC3,2.127032808195332,2.1761181806921472,1.9797766907048857,2.0255897050352467,2.0255897050352467,562286,0.013,0.013300000000000001,0.0121,0.01238,163.61790832271782,0.013300000000000001,0.0121,0,92000000,90,1149949.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-18,BBDC3,BBDC3,2.0255897050352467,2.0435876749507456,1.9470531090403422,2.0435876749507456,2.0435876749507456,1612904,0.01238,0.01249,0.0119,0.01249,163.61790832271782,0.01249,0.0119,0,263900000,96,3192558.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-19,BBDC3,BBDC3,1.9961384815371572,2.028862063201701,1.9470531090403422,1.9797766907048857,1.9797766907048857,583677,0.012199999999999999,0.0124,0.0119,0.0121,163.61790832271782,0.0124,0.0119,0,95500000,53,1169588.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-20,BBDC3,BBDC3,1.9961384815371572,1.9961384815371572,1.8881506620441637,1.9208742437087074,1.9208742437087074,293978,0.012199999999999999,0.012199999999999999,0.01154,0.01174,163.61790832271782,0.012199999999999999,0.01154,0,48100000,40,567823.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-21,BBDC3,BBDC3,1.9306913182080705,1.9323274972912976,1.8325205732144396,1.8570632594628471,1.8570632594628471,548840,0.011800000000000001,0.011810000000000001,0.0112,0.011349999999999999,163.61790832271782,0.011810000000000001,0.0112,0,89800000,48,1026277.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-24,BBDC3,BBDC3,1.889786841127391,1.889786841127391,1.8161587823821679,1.8308843941312125,1.8308843941312125,208412,0.011550000000000001,0.011550000000000001,0.0111,0.01119,163.61790832271782,0.011550000000000001,0.0111,0,34100000,34,384167.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-26,BBDC3,BBDC3,1.8325205732144396,1.8325205732144396,1.7834352007176242,1.7834352007176242,1.7834352007176242,586733,0.0112,0.0112,0.0109,0.0109,163.61790832271782,0.0112,0.0109,0,96000000,70,1057563.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-27,BBDC3,BBDC3,1.8488823640467116,1.8488823640467116,1.799796991549896,1.8243396777983039,1.8243396777983039,868487,0.011300000000000001,0.011300000000000001,0.011,0.01115,163.61790832271782,0.011300000000000001,0.011,0,142100000,64,1572076.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-28,BBDC3,BBDC3,1.825975856881531,1.963414899872614,1.825975856881531,1.963414899872614,1.963414899872614,971776,0.01116,0.012,0.01116,0.012,163.61790832271782,0.012,0.01116,0,159000000,96,1820149.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-01-31,BBDC3,BBDC3,1.963414899872614,1.963414899872614,1.825975856881531,1.8325205732144396,1.8325205732144396,95344,0.012,0.012,0.01116,0.0112,163.61790832271782,0.012,0.01116,0,15600000,32,176919.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-02-01,BBDC3,BBDC3,1.834156752297667,1.834156752297667,1.7654372308021251,1.801433170633123,1.801433170633123,410713,0.011210000000000001,0.011210000000000001,0.01079,0.011009999999999999,163.61790832271782,0.011210000000000001,0.01079,0,67200000,60,738094.0,1000,02,010,BRBBDCACNOR1,392,ON *,BRADESCO,0,0,0.0,standard_010
2000-02-02,BBDC3,BBDC3,1.8308843941312125,1.8816059457112548,1.8161587823821679,1.8816059457112548,1.8816059457112548,642961,0.01119,0.0115,0.0111,0.0115,163.61790832271782,0.0115,0.0111,0,105200000,36,1180171.0,1000,02,010,BRBBDCACNOR1,393,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-02-03,BBDC3,BBDC3,1.8979677365435266,1.963414899872614,1.8979677365435266,1.8979677365435266,1.8979677365435266,305590,0.0116,0.012,0.0116,0.0116,163.61790832271782,0.012,0.0116,0,50000000,33,585540.0,1000,02,010,BRBBDCACNOR1,393,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-02-04,BBDC3,BBDC3,1.8963315574602995,1.9061486319596628,1.873425050295119,1.8816059457112548,1.8816059457112548,353262,0.01159,0.01165,0.01145,0.0115,163.61790832271782,0.01165,0.01145,0,57800000,50,667629.0,1000,02,010,BRBBDCACNOR1,393,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-02-07,BBDC3,BBDC3,1.8325205732144396,1.8472461849634843,1.8325205732144396,1.8325205732144396,1.8325205732144396,1751642,0.0112,0.01129,0.0112,0.0112,163.61790832271782,0.01129,0.0112,0,286600000,31,3210038.0,1000,02,010,BRBBDCACNOR1,393,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-02-08,BBDC3,BBDC3,1.8488823640467116,1.8816059457112548,1.8488823640467116,1.8636079757957562,1.8636079757957562,733416,0.011300000000000001,0.0115,0.011300000000000001,0.01139,163.61790832271782,0.0115,0.011300000000000001,0,120000000,47,1366114.0,1000,02,010,BRBBDCACNOR1,393,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-02-09,BBDC3,BBDC3,1.8505185431299387,1.873425050295119,1.8308843941312125,1.8488823640467116,1.8488823640467116,570231,0.01131,0.01145,0.01119,0.011300000000000001,163.61790832271782,0.01145,0.01119,0,93300000,21,1052743.0,1000,02,010,BRBBDCACNOR1,393,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-02-10,BBDC3,BBDC3,1.8325205732144396,1.8963315574602995,1.8325205732144396,1.8963315574602995,1.8963315574602995,1913605,0.0112,0.01159,0.0112,0.01159,163.61790832271782,0.01159,0.0112,0,313100000,70,3559548.0,1000,02,010,BRBBDCACNOR1,393,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-02-11,BBDC3,BBDC3,1.8979677365435266,1.8979677365435266,1.801433170633123,1.8325205732144396,1.8325205732144396,140571,0.0116,0.0116,0.011009999999999999,0.0112,163.61790832271782,0.0116,0.011009999999999999,0,23000000,29,262669.0,1000,02,010,BRBBDCACNOR1,393,ON *EJ,BRADESCO,0,0,0.0,standard_010
2000-02-14,BBDC3,BBDC3,1.9225104227919345,1.9225104227919345,1.7834352007176242,1.7916160961337602,1.7916160961337602,419881,0.01175,0.01175,0.0109,0.01095,163.61790832271782,0.01175,0.0109,0,68700000,35,770453.0,1000,02,010,BRBBDCACNOR1,393,ON *,BRADESCO,0,0,0.0,standard_010
2000-02-15,BBDC3,BBDC3,1.799796991549896,1.799796991549896,1.7179880373885372,1.734349828220809,1.734349828220809,227359,0.011,0.011,0.0105,0.0106,163.61790832271782,0.011,0.0105,0,37200000,27,392023.0,1000,02,010,BRBBDCACNOR1,393,ON *,BRADESCO,0,0,0.0,standard_010
2000-02-16,BBDC3,BBDC3,1.799796991549896,1.799796991549896,1.734349828220809,1.7670734098853527,1.7670734098853527,527448,0.011,0.011,0.0106,0.0108,163.61790832271782,0.011,0.0106,0,86300000,41,926460.0,1000,02,010,BRBBDCACNOR1,393,ON *,BRADESCO,0,0,0.0,standard_010
2000-02-17,BBDC3,BBDC3,1.7507116190530807,1.7670734098853527,1.7261689328046732,1.7278051118879003,1.7278051118879003,496278,0.0107,0.0108,0.01055,0.01056,163.61790832271782,0.0108,0.01055,0,81200000,36,863447.0,1000,02,010,BRBBDCACNOR1,393,ON *,BRADESCO,0,0,0.0,standard_010
2000-02-18,BBDC3,BBDC3,1.734349828220809,1.734349828220809,1.6378152623104054,1.6852644557239935,1.6852644557239935,363041,0.0106,0.0106,0.01001,0.0103,163.61790832271782,0.0106,0.01001,0,59400000,41,614471.0,1000,02,010,BRBBDCACNOR1,393,ON *,BRADESCO,0,0,0.0,standard_010
2000-02-21,BBDC3,BBDC3,1.6689026648917216,1.7179880373885372,1.6361790832271783,1.6852644557239935,1.6852644557239935,116124,0.010199999999999999,0.0105,0.01,0.0103,163.61790832271782,0.0105,0.01,0,19000000,33,193217.0,1000,02,010,BRBBDCACNOR1,393,ON *,BRADESCO,0,0,0.0,standard_010
