date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2013-04-29,BBSE3,BBSE3,16.95,16.95,16.1,16.6,16.6,85582800,16.95,16.95,16.1,16.6,1.0,16.95,16.1,0,85582800,46187,1430522489.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
2013-04-30,BBSE3,BBSE3,16.6,17.08,16.6,17.05,17.05,26950200,16.6,17.08,16.6,17.05,1.0,17.08,16.6,0,26950200,23852,455333741.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
2013-05-02,BBSE3,BBSE3,17.0,17.5,16.98,17.5,17.5,16057200,17.0,17.5,16.98,17.5,1.0,17.5,16.98,0,16057200,12667,275361343.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
2013-05-03,BBSE3,BBSE3,17.42,17.85,17.37,17.75,17.75,13031000,17.42,17.85,17.37,17.75,1.0,17.85,17.37,0,13031000,22338,230442881.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
2013-05-06,BBSE3,BBSE3,17.75,17.99,17.64,17.93,17.93,19911900,17.75,17.99,17.64,17.93,1.0,17.99,17.64,0,19911900,13035,356067666.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
2013-05-07,BBSE3,BBSE3,17.89,17.95,17.3,17.89,17.89,7255800,17.89,17.95,17.3,17.89,1.0,17.95,17.3,0,7255800,8241,129407375.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
2013-05-08,BBSE3,BBSE3,17.8,17.88,17.33,17.5,17.5,10770000,17.8,17.88,17.33,17.5,1.0,17.88,17.33,0,10770000,10950,189659047.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
2013-05-09,BBSE3,BBSE3,17.47,17.75,17.36,17.75,17.75,8355600,17.47,17.75,17.36,17.75,1.0,17.75,17.36,0,8355600,8214,146632764.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
2013-05-10,BBSE3,BBSE3,17.7,17.95,17.55,17.91,17.91,7967400,17.7,17.95,17.55,17.91,1.0,17.95,17.55,0,7967400,10048,141924559.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
2013-05-13,BBSE3,BBSE3,17.8,17.89,17.41,17.83,17.83,56364900,17.8,17.89,17.41,17.83,1.0,17.89,17.41,0,56364900,20541,1001761866.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE,0,0,0.0,standard_010
