date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired
2013-04-29,BBSE3,BBSE3,16.95,17.85,16.1,17.75,17.75,141621200,16.95,17.85,16.1,17.75,1.0,17.85,16.1,0
2013-05-06,BBSE3,BBSE3,17.75,17.99,17.3,17.91,17.91,54260700,17.75,17.99,17.3,17.91,1.0,17.99,17.3,0
2013-05-13,BBSE3,BBSE3,17.8,18.9,17.41,18.84,18.84,106313600,17.8,18.9,17.41,18.84,1.0,18.9,17.41,0
2013-05-20,BBSE3,BBSE3,18.74,18.76,17.6,18.04,18.04,24417800,18.74,18.76,17.6,18.04,1.0,18.76,17.6,0
2013-05-27,BBSE3,BBSE3,17.91,18.47,17.72,18.47,18.47,21553800,17.91,18.47,17.72,18.47,1.0,18.47,17.72,0
2013-06-03,BBSE3,BBSE3,18.36,18.44,17.52,17.9,17.9,31865900,18.36,18.44,17.52,17.9,1.0,18.44,17.52,0
2013-06-10,BBSE3,BBSE3,17.71,18.3,16.5,18.14,18.14,27222100,17.71,18.3,16.5,18.14,1.0,18.3,16.5,0
2013-06-17,BBSE3,BBSE3,18.1,18.2,16.7,17.44,17.44,31254000,18.1,18.2,16.7,17.44,1.0,18.2,16.7,0
2013-06-24,BBSE3,BBSE3,17.06,17.84,15.98,17.6,17.6,34536200,17.06,17.84,15.98,17.6,1.0,17.84,15.98,0
2013-07-01,BBSE3,BBSE3,17.48,17.92,16.8,17.6,17.6,25119700,17.48,17.92,16.8,17.6,1.0,17.92,16.8,0
2013-07-08,BBSE3,BBSE3,17.59,18.08,17.49,17.72,17.72,15972000,17.59,18.08,17.49,17.72,1.0,18.08,17.49,0
2013-07-15,BBSE3,BBSE3,17.72,18.38,17.15,17.95,17.95,20687200,17.72,18.38,17.15,17.95,1.0,18.38,17.15,0
2013-07-22,BBSE3,BBSE3,17.94,18.3,17.77,18.21,18.21,12243700,17.94,18.3,17.77,18.21,1.0,18.3,17.77,0
2013-07-29,BBSE3,BBSE3,18.05,19.07,17.95,18.99,18.99,18270100,18.05,19.07,17.95,18.99,1.0,19.07,17.95,0
2013-08-05,BBSE3,BBSE3,18.91,20.0,18.82,19.94,19.94,25412000,18.91,20.0,18.82,19.94,1.0,20.0,18.82,0
2013-08-12,BBSE3,BBSE3,20.0,20.1,18.95,19.31,19.31,26009000,20.0,20.1,18.95,19.31,1.0,20.1,18.95,0
2013-08-19,BBSE3,BBSE3,19.22,19.45,17.86,19.31,19.31,19015300,19.22,19.45,17.86,19.31,1.0,19.45,17.86,0
2013-08-26,BBSE3,BBSE3,18.95,19.24,18.61,19.24,19.24,19338000,18.95,19.24,18.61,19.24,1.0,19.24,18.61,0
2013-09-02,BBSE3,BBSE3,19.04,19.98,19.0,19.9,19.9,23026700,19.04,19.98,19.0,19.9,1.0,19.98,19.0,0
2013-09-09,BBSE3,BBSE3,19.81,21.12,19.71,20.94,20.94,25516900,19.81,21.12,19.71,20.94,1.0,21.12,19.71,0
2013-09-16,BBSE3,BBSE3,20.95,22.01,20.58,21.5,21.5,32072100,20.95,22.01,20.58,21.5,1.0,22.01,20.58,0
2013-09-23,BBSE3,BBSE3,21.51,22.16,21.04,22.16,22.16,17914200,21.51,22.16,21.04,22.16,1.0,22.16,21.04,0
2013-09-30,BBSE3,BBSE3,22.01,22.46,21.35,21.6,21.6,18541100,22.01,22.46,21.35,21.6,1.0,22.46,21.35,0
2013-10-07,BBSE3,BBSE3,21.5,23.44,21.42,23.33,23.33,24084200,21.5,23.44,21.42,23.33,1.0,23.44,21.42,0
2013-10-14,BBSE3,BBSE3,23.26,24.34,23.01,24.23,24.23,25927100,23.26,24.34,23.01,24.23,1.0,24.34,23.01,0
2013-10-21,BBSE3,BBSE3,24.2,24.6,23.41,23.79,23.79,19225200,24.2,24.6,23.41,23.79,1.0,24.6,23.41,0
2013-10-28,BBSE3,BBSE3,23.85,24.73,23.56,24.7,24.7,15427300,23.85,24.73,23.56,24.7,1.0,24.73,23.56,0
2013-11-04,BBSE3,BBSE3,24.61,24.78,22.69,23.2,23.2,19158300,24.61,24.78,22.69,23.2,1.0,24.78,22.69,0
2013-11-11,BBSE3,BBSE3,23.4,24.31,22.66,24.13,24.13,16338600,23.4,24.31,22.66,24.13,1.0,24.31,22.66,0
2013-11-18,BBSE3,BBSE3,24.13,24.44,23.32,24.12,24.12,12769900,24.13,24.44,23.32,24.12,1.0,24.44,23.32,0
2013-11-25,BBSE3,BBSE3,24.18,25.59,24.0,25.4,25.4,25173900,24.18,25.59,24.0,25.4,1.0,25.59,24.0,0
2013-12-02,BBSE3,BBSE3,25.21,25.5,24.0,24.07,24.07,14823700,25.21,25.5,24.0,24.07,1.0,25.5,24.0,0
2013-12-09,BBSE3,BBSE3,24.06,24.75,23.75,24.14,24.14,17247000,24.06,24.75,23.75,24.14,1.0,24.75,23.75,0
2013-12-16,BBSE3,BBSE3,24.19,24.72,23.8,24.27,24.27,16247200,24.19,24.72,23.8,24.27,1.0,24.72,23.8,0
2013-12-23,BBSE3,BBSE3,24.27,24.47,23.62,24.17,24.17,7791100,24.27,24.47,23.62,24.17,1.0,24.47,23.62,0
2013-12-30,BBSE3,BBSE3,24.06,24.5,23.34,23.43,23.43,22410000,24.06,24.5,23.34,23.43,1.0,24.5,23.34,0
2014-01-06,BBSE3,BBSE3,23.55,23.7,22.37,23.03,23.03,29438500,23.55,23.7,22.37,23.03,1.0,23.7,22.37,0
2014-01-13,BBSE3,BBSE3,22.94,24.29,22.94,23.97,23.97,24598000,22.94,24.29,22.94,23.97,1.0,24.29,22.94,0
2014-01-20,BBSE3,BBSE3,23.89,24.34,22.97,23.29,23.29,23636200,23.89,24.34,22.97,23.29,1.0,24.34,22.97,0
2014-01-27,BBSE3,BBSE3,23.45,23.57,22.15,22.7,22.7,18849100,23.45,23.57,22.15,22.7,1.0,23.57,22.15,0
2014-02-03,BBSE3,BBSE3,22.6,23.89,21.54,23.35,23.35,27838900,22.6,23.89,21.54,23.35,1.0,23.89,21.54,0
2014-02-10,BBSE3,BBSE3,23.25,24.6,23.08,24.34,24.34,41229600,23.25,24.6,23.08,24.34,1.0,24.6,23.08,0
2014-02-17,BBSE3,BBSE3,23.85,23.9,22.68,23.5,23.5,15268600,23.85,23.9,22.68,23.5,1.0,23.9,22.68,0
