date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,BRAP4,BRAP4,13.014867926149522,13.014867926149522,12.75811202828671,12.837794893140687,12.837794893140687,399289,14.7,14.7,14.41,14.5,0.8853651650441853,14.7,14.41,0,353517,1348,5128606.65,1,02,010,BRBRAPACNPR2,130,PN  EJ  N1,BRADESPAR,1017,91,14783.65,consolidated_010_020
2017-01-03,BRAP4,BRAP4,13.085697139353059,13.37786764381764,13.032575229450408,13.37786764381764,13.37786764381764,1327422,14.78,15.11,14.72,15.11,0.8853651650441853,15.11,14.72,0,1175253,4374,17546915.9,1,02,010,BRBRAPACNPR2,130,PN  EJ  N1,BRADESPAR,1053,39,15762.9,consolidated_010_020
2017-01-04,BRAP4,BRAP4,13.413282250419407,13.413282250419407,12.89977045469378,13.085697139353059,13.085697139353059,1921225,15.15,15.15,14.57,14.78,0.8853651650441853,15.15,14.57,0,1700986,6632,25246365.18,1,02,010,BRBRAPACNPR2,130,PN  EJ  N1,BRADESPAR,986,46,14703.18,consolidated_010_020
2017-01-05,BRAP4,BRAP4,13.271623824012337,13.785135619737964,13.112258094304384,13.740867361485755,13.740867361485755,2537879,14.99,15.57,14.81,15.52,0.8853651650441853,15.57,14.81,0,2246950,8878,34395184.95,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR,1250,51,19098.95,consolidated_010_020
2017-01-06,BRAP4,BRAP4,13.510672418574266,13.61691623837957,13.28933112731322,13.501818766923826,13.501818766923826,3207602,15.26,15.38,15.01,15.25,0.8853651650441853,15.38,15.01,0,2839899,9235,43161333.51,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR,699,23,10629.51,consolidated_010_020
2017-01-09,BRAP4,BRAP4,13.625769890030012,13.988769607698128,13.625769890030012,13.829403877990174,13.829403877990174,1883931,15.39,15.8,15.39,15.62,0.8853651650441853,15.8,15.39,0,1667967,9301,26180733.05,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR,767,33,12033.05,consolidated_010_020
2017-01-10,BRAP4,BRAP4,14.165842640706964,14.599671571578615,14.148135337406082,14.590817919928174,14.590817919928174,2386044,16.0,16.49,15.98,16.48,0.8853651650441853,16.49,15.98,0,2112520,7977,34348985.7,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR,1620,79,26263.7,consolidated_010_020
2017-01-11,BRAP4,BRAP4,14.732476346335243,15.095476064003359,14.555403313326407,15.095476064003359,15.095476064003359,1767829,16.64,17.05,16.44,17.05,0.8853651650441853,17.05,16.44,0,1565174,5724,26318613.45,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR,2274,90,38142.45,consolidated_010_020
2017-01-12,BRAP4,BRAP4,15.520451343224568,15.821475499339591,15.511597691574126,15.750646286136055,15.750646286136055,2048830,17.53,17.87,17.52,17.79,0.8853651650441853,17.87,17.52,0,1813963,8716,32181472.41,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR,2563,92,45399.41,consolidated_010_020
2017-01-13,BRAP4,BRAP4,15.626695163029868,17.1141086403041,15.600134208078545,16.72454796768466,16.72454796768466,4839939,17.65,19.33,17.62,18.89,0.8853651650441853,19.33,17.62,0,4285113,10025,79257445.33,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR,2013,70,36816.33,consolidated_010_020
