date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,BRAP4,BRAP4,13.014867926149522,13.785135619737964,12.75811202828671,13.501818766923826,13.501818766923826,9387765,14.7,15.57,14.41,15.25,0.8853651650441853,15.57,14.41,0,8311600,30217,125403428.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-01-09,BRAP4,BRAP4,13.625769890030012,17.1141086403041,13.625769890030012,16.72454796768466,16.72454796768466,12916139,15.39,19.33,15.39,18.89,0.8853651650441853,19.33,15.39,0,11435500,41379,198128595.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-01-16,BRAP4,BRAP4,16.91047465234394,18.49527829777303,16.361548250016543,18.415595432919055,18.415595432919055,20050710,19.1,20.89,18.48,20.8,0.8853651650441853,20.89,18.48,0,17752200,54269,353410094.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-01-23,BRAP4,BRAP4,18.238522399910217,20.186325763007424,18.132278580104916,19.07961930670219,19.07961930670219,12316161,20.6,22.8,20.48,21.55,0.8853651650441853,22.8,20.48,0,10904300,33590,238061360.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-01-30,BRAP4,BRAP4,18.769741498936728,19.504594585923403,17.282328021662497,17.663035042631495,17.663035042631495,16950971,21.2,22.03,19.52,19.95,0.8853651650441853,22.03,19.52,0,15007800,43085,314202859.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-02-06,BRAP4,BRAP4,17.84010807564033,19.433765372719865,17.025572123799684,19.30096059796324,19.30096059796324,21989683,20.15,21.95,19.23,21.8,0.8853651650441853,21.95,19.23,0,19468900,49967,395339924.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-02-13,BRAP4,BRAP4,20.07122829155168,20.83264233348968,19.805618742038426,20.186325763007424,20.186325763007424,13906805,22.67,23.53,22.37,22.8,0.8853651650441853,23.53,22.37,0,12312600,41410,282532580.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-02-20,BRAP4,BRAP4,24.19702996065758,24.21473726395847,19.478033630972075,20.761813120286146,20.761813120286146,34339615,27.33,27.35,22.0,23.45,0.8853651650441853,27.35,22.0,0,30403100,91952,757574111.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-03-01,BRAP4,BRAP4,20.903471546693215,21.682592891932096,19.92956986514461,20.24830132456052,20.24830132456052,7694566,23.61,24.49,22.51,22.87,0.8853651650441853,24.49,22.51,0,6812500,24478,157887760.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-03-06,BRAP4,BRAP4,20.044667336600355,20.513910874073776,19.044204700100426,19.34522885621545,19.34522885621545,9803752,22.64,23.17,21.51,21.85,0.8853651650441853,23.17,21.51,0,8679900,33620,194344230.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-03-13,BRAP4,BRAP4,20.186325763007424,21.620617330379005,19.30981424961368,19.814472393688867,19.814472393688867,13285253,22.8,24.42,21.81,22.38,0.8853651650441853,24.42,21.81,0,11762300,30527,271676982.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-03-20,BRAP4,BRAP4,19.59313110242782,20.292569582812728,17.760425210786355,18.61922942087922,18.61922942087922,16540408,22.13,22.92,20.06,21.03,0.8853651650441853,22.92,20.06,0,14644300,40923,313882351.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-03-27,BRAP4,BRAP4,17.84010807564033,19.858740651941076,17.53908391952531,19.380643462817215,19.380643462817215,11401511,20.15,22.43,19.81,21.89,0.8853651650441853,22.43,19.81,0,10094500,29142,218154386.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-04-03,BRAP4,BRAP4,19.380643462817215,20.06237463990124,17.264620718361613,18.30049796146331,18.30049796146331,11948629,21.89,22.66,19.5,20.67,0.8853651650441853,22.66,19.5,0,10578900,32647,222281879.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-04-10,BRAP4,BRAP4,18.238522399910217,18.45101003952082,16.653718754481122,16.830791787489964,16.830791787489964,15566233,20.6,20.84,18.81,19.01,0.8853651650441853,20.84,18.81,0,13781800,45466,268254089.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-04-17,BRAP4,BRAP4,16.804230832538636,17.406279144768682,16.23759712691036,17.335449931565147,17.335449931565147,12547027,18.98,19.66,18.34,19.58,0.8853651650441853,19.66,18.34,0,11108700,29301,210738234.0,1,02,010,BRBRAPACNPR2,130,PN      N1,BRADESPAR
2017-04-24,BRAP4,BRAP4,17.707303300883705,18.415595432919055,16.96359656224659,17.57449852612708,17.57449852612708,13327157,20.0,20.8,19.16,19.85,0.8853651650441853,20.8,19.16,0,11799400,35226,235098155.0,1,02,010,BRBRAPACNPR2,131,PN  ED  N1,BRADESPAR
2017-05-02,BRAP4,BRAP4,17.62762043602973,18.052595715250938,15.830329150990032,16.58288954127759,16.58288954127759,8122524,19.91,20.39,17.88,18.73,0.8853651650441853,20.39,17.88,0,7191400,27974,136706354.0,1,02,010,BRBRAPACNPR2,131,PN  ED  N1,BRADESPAR
2017-05-08,BRAP4,BRAP4,16.33498729506522,16.945889258945705,15.945426622445778,16.04281679060064,16.04281679060064,11289127,18.45,19.14,18.01,18.12,0.8853651650441853,19.14,18.01,0,9995000,35176,186288546.0,1,02,010,BRBRAPACNPR2,131,PN      N1,BRADESPAR
2017-05-15,BRAP4,BRAP4,16.246450778560803,16.839645439140405,14.67935443643259,16.441231114870522,16.441231114870522,24018790,18.35,19.02,16.58,18.57,0.8853651650441853,19.02,16.58,0,21265400,55086,387992895.0,1,02,010,BRBRAPACNPR2,131,PN      N1,BRADESPAR
2017-05-22,BRAP4,BRAP4,16.25530443021124,16.76881622593687,15.971987577397101,16.644865102830686,16.644865102830686,11466907,18.36,18.94,18.04,18.8,0.8853651650441853,18.94,18.04,0,10152400,41242,187950161.0,1,02,010,BRBRAPACNPR2,131,PN      N1,BRADESPAR
2017-05-29,BRAP4,BRAP4,16.644865102830686,17.618766784379286,15.901158364193568,16.11364600380417,16.11364600380417,14779552,18.8,19.9,17.96,18.2,0.8853651650441853,19.9,17.96,0,13085300,39790,247250848.0,1,02,010,BRBRAPACNPR2,131,PN      N1,BRADESPAR
2017-06-05,BRAP4,BRAP4,15.989694880697986,16.689133361082895,15.591280556428103,16.450084766520963,16.450084766520963,10627480,18.06,18.85,17.61,18.58,0.8853651650441853,18.85,17.61,0,9409200,31441,171348953.0,1,02,010,BRBRAPACNPR2,131,PN      N1,BRADESPAR
2017-06-12,BRAP4,BRAP4,16.476645721472288,16.63601145118024,15.23713449041043,15.839182802640476,15.839182802640476,17380060,18.61,18.79,17.21,17.89,0.8853651650441853,18.79,17.21,0,15387700,40801,274498438.0,1,02,010,BRBRAPACNPR2,131,PN      N1,BRADESPAR
