date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,BRKM5,BRKM5,34.04,36.75,33.33,35.05,35.05,5189400,34.04,36.75,33.33,35.05,1.0,36.75,33.33,0,5189400,25477,183855065.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-01-09,BRKM5,BRKM5,35.25,36.99,34.9,35.54,35.54,5258100,35.25,36.99,34.9,35.54,1.0,36.99,34.9,0,5258100,26803,189265765.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-01-16,BRKM5,BRKM5,35.54,36.29,34.35,34.79,34.79,4802200,35.54,36.29,34.35,34.79,1.0,36.29,34.35,0,4802200,24142,168825598.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-01-23,BRKM5,BRKM5,35.07,35.65,33.5,34.2,34.2,5690700,35.07,35.65,33.5,34.2,1.0,35.65,33.5,0,5690700,26241,196460210.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-01-30,BRKM5,BRKM5,34.1,34.1,30.45,30.81,30.81,5903700,34.1,34.1,30.45,30.81,1.0,34.1,30.45,0,5903700,31867,188688036.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-02-06,BRKM5,BRKM5,31.12,34.55,31.12,33.95,33.95,6539400,31.12,34.55,31.12,33.95,1.0,34.55,31.12,0,6539400,32903,216330944.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-02-13,BRKM5,BRKM5,33.95,34.28,32.6,33.11,33.11,5013700,33.95,34.28,32.6,33.11,1.0,34.28,32.6,0,5013700,27148,167224775.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-02-20,BRKM5,BRKM5,33.43,34.99,32.07,32.33,32.33,6776000,33.43,34.99,32.07,32.33,1.0,34.99,32.07,0,6776000,34052,227361769.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-03-01,BRKM5,BRKM5,32.73,33.51,31.53,31.99,31.99,4789600,32.73,33.51,31.53,31.99,1.0,33.51,31.53,0,4789600,28246,154826678.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-03-06,BRKM5,BRKM5,32.0,32.36,30.01,30.61,30.61,8307700,32.0,32.36,30.01,30.61,1.0,32.36,30.01,0,8307700,43439,257141736.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
2017-03-13,BRKM5,BRKM5,31.01,32.11,30.29,31.0,31.0,8045000,31.01,32.11,30.29,31.0,1.0,32.11,30.29,0,8045000,39278,250871523.0,1,02,010,BRBRKMACNPA4,114,PNA     N1,BRASKEM
