date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,CSAN3,CSAN3,9.405,9.465,9.2425,9.2875,9.2875,2084884,37.62,37.86,36.97,37.15,0.25,37.86,36.97,0,521221,2826,19416186.47,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1021,69,38069.47,consolidated_010_020
2017-01-03,CSAN3,CSAN3,9.35,9.82,9.35,9.72,9.72,3522704,37.4,39.28,37.4,38.88,0.25,39.28,37.4,0,880676,4735,33971585.87,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1876,70,72112.87,consolidated_010_020
2017-01-04,CSAN3,CSAN3,9.6725,9.745,9.595,9.725,9.725,2452080,38.69,38.98,38.38,38.9,0.25,38.98,38.38,0,613020,3278,23713151.29,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,720,34,27887.29,consolidated_010_020
2017-01-05,CSAN3,CSAN3,9.715,9.92,9.4325,9.7075,9.7075,5243372,38.86,39.68,37.73,38.83,0.25,39.68,37.73,0,1310843,7240,50687330.04,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,2543,104,98262.04,consolidated_010_020
2017-01-06,CSAN3,CSAN3,9.6,9.6825,9.46,9.4825,9.4825,3027984,38.4,38.73,37.84,37.93,0.25,38.73,37.84,0,756996,4191,28863445.47,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1696,56,64704.47,consolidated_010_020
2017-01-09,CSAN3,CSAN3,9.4875,9.675,9.4,9.6275,9.6275,2389948,37.95,38.7,37.6,38.51,0.25,38.7,37.6,0,597487,4230,22934843.86,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,2587,85,99141.86,consolidated_010_020
2017-01-10,CSAN3,CSAN3,9.6625,9.7575,9.39,9.395,9.395,3378516,38.65,39.03,37.56,37.58,0.25,39.03,37.56,0,844629,4000,32163933.22,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,2229,83,85109.22,consolidated_010_020
2017-01-11,CSAN3,CSAN3,9.475,9.49,9.2125,9.49,9.49,3647700,37.9,37.96,36.85,37.96,0.25,37.96,36.85,0,911925,5293,34098525.71,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1625,61,61099.71,consolidated_010_020
2017-01-12,CSAN3,CSAN3,9.7,9.8075,9.525,9.635,9.635,3403068,38.8,39.23,38.1,38.54,0.25,39.23,38.1,0,850767,5556,32812471.99,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1867,80,71868.99,consolidated_010_020
2017-01-13,CSAN3,CSAN3,9.625,9.7,9.545,9.655,9.655,4389888,38.5,38.8,38.18,38.62,0.25,38.8,38.18,0,1097472,5060,42215806.68,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1472,62,56707.68,consolidated_010_020
2017-01-16,CSAN3,CSAN3,9.625,9.7175,9.55,9.59,9.59,1560784,38.5,38.87,38.2,38.36,0.25,38.87,38.2,0,390196,1675,15024654.27,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,896,44,34539.27,consolidated_010_020
2017-01-17,CSAN3,CSAN3,9.5575,9.96,9.5575,9.935,9.935,4431812,38.23,39.84,38.23,39.74,0.25,39.84,38.23,0,1107953,5931,43539128.72,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,2353,84,92147.72,consolidated_010_020
2017-01-18,CSAN3,CSAN3,9.965,10.0,9.66,9.805,9.805,2929912,39.86,40.0,38.64,39.22,0.25,40.0,38.64,0,732478,4043,28719891.66,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1978,94,77615.66,consolidated_010_020
2017-01-19,CSAN3,CSAN3,9.83,9.9025,9.7225,9.895,9.895,2682496,39.32,39.61,38.89,39.58,0.25,39.61,38.89,0,670624,3923,26366717.19,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1224,65,48126.19,consolidated_010_020
2017-01-20,CSAN3,CSAN3,9.9375,10.1025,9.8775,10.0675,10.0675,3186324,39.75,40.41,39.51,40.27,0.25,40.41,39.51,0,796581,5613,31866593.88,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1481,57,59191.88,consolidated_010_020
2017-01-23,CSAN3,CSAN3,10.095,10.135,9.915,10.08,10.08,2751312,40.38,40.54,39.66,40.32,0.25,40.54,39.66,0,687828,4627,27632504.19,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,2828,108,113830.19,consolidated_010_020
2017-01-24,CSAN3,CSAN3,10.08,10.2675,10.03,10.205,10.205,5115784,40.32,41.07,40.12,40.82,0.25,41.07,40.12,0,1278946,4023,51725721.75,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,2646,108,107200.75,consolidated_010_020
2017-01-26,CSAN3,CSAN3,10.2725,10.3475,10.1575,10.1925,10.1925,4613292,41.09,41.39,40.63,40.77,0.25,41.39,40.63,0,1153323,4643,47249569.64,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,2723,99,111424.64,consolidated_010_020
2017-01-27,CSAN3,CSAN3,10.2,10.2,9.9875,10.1375,10.1375,4227100,40.8,40.8,39.95,40.55,0.25,40.8,39.95,0,1056775,5020,42646358.95,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1275,61,51518.95,consolidated_010_020
2017-01-30,CSAN3,CSAN3,10.06,10.125,9.8475,10.0275,10.0275,2266120,40.24,40.5,39.39,40.11,0.25,40.5,39.39,0,566530,3402,22619179.03,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1530,66,61048.03,consolidated_010_020
2017-01-31,CSAN3,CSAN3,10.03,10.125,9.92,10.0675,10.0675,2121652,40.12,40.5,39.68,40.27,0.25,40.5,39.68,0,530413,3223,21265289.27,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1513,60,60563.27,consolidated_010_020
2017-02-01,CSAN3,CSAN3,10.1525,10.285,10.05,10.155,10.155,2851788,40.61,41.14,40.2,40.62,0.25,41.14,40.2,0,712947,3774,29024459.82,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,1847,81,75026.82,consolidated_010_020
2017-02-02,CSAN3,CSAN3,10.125,10.375,10.0675,10.315,10.315,3417120,40.5,41.5,40.27,41.26,0.25,41.5,40.27,0,854280,4981,35154844.42,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN,2480,95,101882.42,consolidated_010_020
