date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,CSAN3,CSAN3,9.405,9.92,9.2425,9.4825,9.4825,16299600,37.62,39.68,36.97,37.93,0.25,39.68,36.97,0,4074900,21937,156350663.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-01-09,CSAN3,CSAN3,9.4875,9.8075,9.2125,9.655,9.655,17170000,37.95,39.23,36.85,38.62,0.25,39.23,36.85,0,4292500,23768,163851654.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-01-16,CSAN3,CSAN3,9.625,10.1025,9.55,10.0675,10.0675,14759600,38.5,40.41,38.2,40.27,0.25,40.41,38.2,0,3689900,20841,145205365.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-01-23,CSAN3,CSAN3,10.095,10.3475,9.915,10.1375,10.1375,16669600,40.38,41.39,39.66,40.55,0.25,41.39,39.66,0,4167400,17937,168870180.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-01-30,CSAN3,CSAN3,10.06,10.75,9.8475,10.6625,10.6625,15696800,40.24,43.0,39.39,42.65,0.25,43.0,39.39,0,3924200,22651,161603487.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-02-06,CSAN3,CSAN3,10.6625,10.81,10.1775,10.4875,10.4875,17173200,42.65,43.24,40.71,41.95,0.25,43.24,40.71,0,4293300,23446,180181343.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-02-13,CSAN3,CSAN3,10.515,10.875,10.2925,10.65,10.65,18944800,42.06,43.5,41.17,42.6,0.25,43.5,41.17,0,4736200,23799,201046134.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-02-20,CSAN3,CSAN3,10.715,10.8525,9.8125,9.975,9.975,24244400,42.86,43.41,39.25,39.9,0.25,43.41,39.25,0,6061100,29942,251188857.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-03-01,CSAN3,CSAN3,9.98,10.065,9.5175,9.6025,9.6025,19158400,39.92,40.26,38.07,38.41,0.25,40.26,38.07,0,4789600,21099,187178418.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-03-06,CSAN3,CSAN3,9.5575,9.8575,9.3375,9.515,9.515,27583200,38.23,39.43,37.35,38.06,0.25,39.43,37.35,0,6895800,29347,265302041.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-03-13,CSAN3,CSAN3,9.6275,9.8525,9.2525,9.4625,9.4625,27928000,38.51,39.41,37.01,37.85,0.25,39.41,37.01,0,6982000,29465,266283622.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-03-20,CSAN3,CSAN3,9.3225,9.6975,8.9825,9.4075,9.4075,22067600,37.29,38.79,35.93,37.63,0.25,38.79,35.93,0,5516900,28988,205217470.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-03-27,CSAN3,CSAN3,9.375,9.8,9.255,9.715,9.715,21331600,37.5,39.2,37.02,38.86,0.25,39.2,37.02,0,5332900,20649,205530422.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-04-03,CSAN3,CSAN3,9.7075,9.9575,9.35,9.675,9.675,21761600,38.83,39.83,37.4,38.7,0.25,39.83,37.4,0,5440400,29280,209065165.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-04-10,CSAN3,CSAN3,9.675,9.94,9.3625,9.55,9.55,12369600,38.7,39.76,37.45,38.2,0.25,39.76,37.45,0,3092400,16912,119383637.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-04-17,CSAN3,CSAN3,9.585,9.665,9.04,9.0575,9.0575,14496800,38.34,38.66,36.16,36.23,0.25,38.66,36.16,0,3624200,14453,135596562.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-04-24,CSAN3,CSAN3,9.2075,9.2775,8.82,9.2775,9.2775,20479200,36.83,37.11,35.28,37.11,0.25,37.11,35.28,0,5119800,20701,186184173.0,1,02,010,BRCSANACNOR6,116,ON      NM,COSAN
2017-05-02,CSAN3,CSAN3,9.0925,9.3425,8.6025,8.815,8.815,21702400,36.37,37.37,34.41,35.26,0.25,37.37,34.41,0,5425600,27506,193176812.0,1,02,010,BRCSANACNOR6,117,ON  ED  NM,COSAN
2017-05-08,CSAN3,CSAN3,8.8275,9.6,8.815,9.3825,9.3825,24488800,35.31,38.4,35.26,37.53,0.25,38.4,35.26,0,6122200,26630,228233146.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-05-15,CSAN3,CSAN3,9.355,9.7925,8.2525,8.9475,8.9475,33888800,37.42,39.17,33.01,35.79,0.25,39.17,33.01,0,8472200,38539,314606590.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-05-22,CSAN3,CSAN3,8.71,9.24,8.5775,9.14,9.14,34476800,34.84,36.96,34.31,36.56,0.25,36.96,34.31,0,8619200,30442,310203672.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-05-29,CSAN3,CSAN3,9.1375,9.35,9.0025,9.0025,9.0025,35834400,36.55,37.4,36.01,36.01,0.25,37.4,36.01,0,8958600,28668,326253598.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-06-05,CSAN3,CSAN3,8.9,8.9125,8.0,8.0725,8.0725,44426000,35.6,35.65,32.0,32.29,0.25,35.65,32.0,0,11106500,57418,375123960.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-06-12,CSAN3,CSAN3,8.04,8.1525,7.73,7.775,7.775,35744000,32.16,32.61,30.92,31.1,0.25,32.61,30.92,0,8936000,38335,281501397.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-06-19,CSAN3,CSAN3,7.79,7.9725,7.4775,7.95,7.95,29527200,31.16,31.89,29.91,31.8,0.25,31.89,29.91,0,7381800,29077,229052479.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-06-26,CSAN3,CSAN3,8.0,8.6825,7.975,8.645,8.645,30221200,32.0,34.73,31.9,34.58,0.25,34.73,31.9,0,7555300,33839,252629393.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-07-03,CSAN3,CSAN3,8.6475,8.65,8.1925,8.3,8.3,19464800,34.59,34.6,32.77,33.2,0.25,34.6,32.77,0,4866200,25509,164111465.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-07-10,CSAN3,CSAN3,8.3,8.9525,8.295,8.875,8.875,18935600,33.2,35.81,33.18,35.5,0.25,35.81,33.18,0,4733900,23637,163268497.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-07-17,CSAN3,CSAN3,8.8775,9.125,8.7225,8.875,8.875,24339200,35.51,36.5,34.89,35.5,0.25,36.5,34.89,0,6084800,25810,217376925.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-07-24,CSAN3,CSAN3,8.875,9.1075,8.82,8.91,8.91,12613200,35.5,36.43,35.28,35.64,0.25,36.43,35.28,0,3153300,16107,112788700.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-07-31,CSAN3,CSAN3,8.96,9.025,8.7525,9.0125,9.0125,19672400,35.84,36.1,35.01,36.05,0.25,36.1,35.01,0,4918100,28149,174961516.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-08-07,CSAN3,CSAN3,9.05,9.3325,8.8625,9.0,9.0,21987600,36.2,37.33,35.45,36.0,0.25,37.33,35.45,0,5496900,25666,199975508.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-08-14,CSAN3,CSAN3,9.0,9.4425,8.965,9.4125,9.4125,22972800,36.0,37.77,35.86,37.65,0.25,37.77,35.86,0,5743200,20074,214099706.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-08-21,CSAN3,CSAN3,9.43,9.675,9.06,9.6125,9.6125,21295600,37.72,38.7,36.24,38.45,0.25,38.7,36.24,0,5323900,25492,200423844.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-08-28,CSAN3,CSAN3,9.625,9.8,9.48,9.7375,9.7375,19183200,38.5,39.2,37.92,38.95,0.25,39.2,37.92,0,4795800,25307,185190184.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-09-04,CSAN3,CSAN3,9.7075,9.995,9.575,9.6725,9.6725,21786400,38.83,39.98,38.3,38.69,0.25,39.98,38.3,0,5446600,26225,212429311.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-09-11,CSAN3,CSAN3,9.725,9.845,9.5325,9.84,9.84,21584800,38.9,39.38,38.13,39.36,0.25,39.38,38.13,0,5396200,26401,210304202.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
2017-09-18,CSAN3,CSAN3,9.845,9.845,9.3625,9.45,9.45,23737600,39.38,39.38,37.45,37.8,0.25,39.38,37.45,0,5934400,27551,228662507.0,1,02,010,BRCSANACNOR6,117,ON      NM,COSAN
