date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2006-02-08,CSMG3,CSMG3,7.933333333333334,8.223333333333333,7.8999999999999995,8.2,8.2,17286000,23.8,24.67,23.7,24.6,0.3333333333333333,24.67,23.7,0,5762000,5229,139953853.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-09,CSMG3,CSMG3,8.239999999999998,8.459999999999999,8.106666666666666,8.333333333333332,8.333333333333332,4512900,24.72,25.38,24.32,25.0,0.3333333333333333,25.38,24.32,0,1504300,1488,37556227.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-10,CSMG3,CSMG3,8.493333333333332,8.6,8.2,8.333333333333332,8.333333333333332,2106300,25.48,25.8,24.6,25.0,0.3333333333333333,25.8,24.6,0,702100,757,17657743.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-13,CSMG3,CSMG3,8.333333333333332,8.456666666666667,8.116666666666667,8.333333333333332,8.333333333333332,4394400,25.0,25.37,24.35,25.0,0.3333333333333333,25.37,24.35,0,1464800,889,36658860.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-14,CSMG3,CSMG3,8.296666666666667,8.666666666666666,8.283333333333333,8.666666666666666,8.666666666666666,2473200,24.89,26.0,24.85,26.0,0.3333333333333333,26.0,24.85,0,824400,1200,20742615.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-15,CSMG3,CSMG3,8.66,8.803333333333333,8.399999999999999,8.466666666666665,8.466666666666665,1067400,25.98,26.41,25.2,25.4,0.3333333333333333,26.41,25.2,0,355800,492,9080863.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-16,CSMG3,CSMG3,8.466666666666665,8.663333333333332,8.399999999999999,8.566666666666666,8.566666666666666,831000,25.4,25.99,25.2,25.7,0.3333333333333333,25.99,25.2,0,277000,473,7097711.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-17,CSMG3,CSMG3,8.566666666666666,8.633333333333333,8.433333333333334,8.633333333333333,8.633333333333333,286500,25.7,25.9,25.3,25.9,0.3333333333333333,25.9,25.3,0,95500,415,2447896.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-20,CSMG3,CSMG3,8.62,8.62,8.403333333333332,8.433333333333334,8.433333333333334,162900,25.86,25.86,25.21,25.3,0.3333333333333333,25.86,25.21,0,54300,192,1374375.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-21,CSMG3,CSMG3,8.433333333333334,8.533333333333333,8.416666666666666,8.45,8.45,1081500,25.3,25.6,25.25,25.35,0.3333333333333333,25.6,25.25,0,360500,347,9142325.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-22,CSMG3,CSMG3,8.43,8.616666666666667,8.366666666666667,8.433333333333334,8.433333333333334,962700,25.29,25.85,25.1,25.3,0.3333333333333333,25.85,25.1,0,320900,298,8175524.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-23,CSMG3,CSMG3,8.379999999999999,8.466666666666665,8.379999999999999,8.463333333333333,8.463333333333333,1443000,25.14,25.4,25.14,25.39,0.3333333333333333,25.4,25.14,0,481000,298,12143269.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-02-24,CSMG3,CSMG3,8.496666666666666,8.496666666666666,8.266666666666666,8.399999999999999,8.399999999999999,274500,25.49,25.49,24.8,25.2,0.3333333333333333,25.49,24.8,0,91500,207,2313779.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-01,CSMG3,CSMG3,8.413333333333332,8.733333333333333,8.413333333333332,8.5,8.5,871800,25.24,26.2,25.24,25.5,0.3333333333333333,26.2,25.24,0,290600,373,7458448.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-02,CSMG3,CSMG3,8.489999999999998,8.666666666666666,8.483333333333333,8.573333333333332,8.573333333333332,3366300,25.47,26.0,25.45,25.72,0.3333333333333333,26.0,25.45,0,1122100,405,28756442.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-03,CSMG3,CSMG3,8.533333333333333,8.566666666666666,8.433333333333334,8.5,8.5,2098800,25.6,25.7,25.3,25.5,0.3333333333333333,25.7,25.3,0,699600,179,17842016.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-06,CSMG3,CSMG3,8.463333333333333,8.463333333333333,8.353333333333332,8.366666666666667,8.366666666666667,801600,25.39,25.39,25.06,25.1,0.3333333333333333,25.39,25.06,0,267200,175,6732216.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-07,CSMG3,CSMG3,8.363333333333333,8.363333333333333,7.91,8.033333333333333,8.033333333333333,394200,25.09,25.09,23.73,24.1,0.3333333333333333,25.09,23.73,0,131400,192,3202704.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-08,CSMG3,CSMG3,7.963333333333333,7.966666666666666,7.799999999999999,7.883333333333333,7.883333333333333,742200,23.89,23.9,23.4,23.65,0.3333333333333333,23.9,23.4,0,247400,194,5848923.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-09,CSMG3,CSMG3,7.8999999999999995,7.933333333333334,7.683333333333334,7.75,7.75,646500,23.7,23.8,23.05,23.25,0.3333333333333333,23.8,23.05,0,215500,201,5010252.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-10,CSMG3,CSMG3,7.709999999999999,8.033333333333333,7.336666666666667,7.933333333333334,7.933333333333334,1444800,23.13,24.1,22.01,23.8,0.3333333333333333,24.1,22.01,0,481600,213,11192419.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-13,CSMG3,CSMG3,8.0,8.003333333333334,7.8999999999999995,7.8999999999999995,7.8999999999999995,371400,24.0,24.01,23.7,23.7,0.3333333333333333,24.01,23.7,0,123800,74,2949921.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-14,CSMG3,CSMG3,7.7333333333333325,7.916666666666666,7.7333333333333325,7.8999999999999995,7.8999999999999995,397500,23.2,23.75,23.2,23.7,0.3333333333333333,23.75,23.2,0,132500,94,3122425.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-15,CSMG3,CSMG3,7.833333333333333,8.02,7.833333333333333,8.016666666666666,8.016666666666666,116700,23.5,24.06,23.5,24.05,0.3333333333333333,24.06,23.5,0,38900,110,931181.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-16,CSMG3,CSMG3,8.0,8.166666666666666,7.8999999999999995,8.033333333333333,8.033333333333333,439500,24.0,24.5,23.7,24.1,0.3333333333333333,24.5,23.7,0,146500,132,3527589.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-17,CSMG3,CSMG3,8.0,8.16,7.869999999999999,8.016666666666666,8.016666666666666,102600,24.0,24.48,23.61,24.05,0.3333333333333333,24.48,23.61,0,34200,142,826125.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-20,CSMG3,CSMG3,8.096666666666666,8.123333333333333,8.056666666666667,8.1,8.1,278100,24.29,24.37,24.17,24.3,0.3333333333333333,24.37,24.17,0,92700,127,2252777.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-21,CSMG3,CSMG3,8.056666666666667,8.316666666666666,8.033333333333333,8.2,8.2,747000,24.17,24.95,24.1,24.6,0.3333333333333333,24.95,24.1,0,249000,165,6091231.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-22,CSMG3,CSMG3,8.103333333333332,8.346666666666666,8.103333333333332,8.203333333333333,8.203333333333333,167700,24.31,25.04,24.31,24.61,0.3333333333333333,25.04,24.31,0,55900,122,1383720.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-23,CSMG3,CSMG3,8.42,8.463333333333333,8.1,8.166666666666666,8.166666666666666,333000,25.26,25.39,24.3,24.5,0.3333333333333333,25.39,24.3,0,111000,217,2719590.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-24,CSMG3,CSMG3,8.166666666666666,8.299999999999999,8.166666666666666,8.166666666666666,8.166666666666666,311700,24.5,24.9,24.5,24.5,0.3333333333333333,24.9,24.5,0,103900,100,2557755.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-27,CSMG3,CSMG3,8.003333333333334,8.133333333333333,8.0,8.07,8.07,81000,24.01,24.4,24.0,24.21,0.3333333333333333,24.4,24.0,0,27000,60,651642.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-28,CSMG3,CSMG3,7.996666666666666,8.033333333333333,7.433333333333334,7.433333333333334,7.433333333333334,77700,23.99,24.1,22.3,22.3,0.3333333333333333,24.1,22.3,0,25900,79,598284.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-29,CSMG3,CSMG3,7.5,8.0,7.5,7.75,7.75,894900,22.5,24.0,22.5,23.25,0.3333333333333333,24.0,22.5,0,298300,124,7078714.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-30,CSMG3,CSMG3,7.833333333333333,7.863333333333333,7.68,7.68,7.68,648900,23.5,23.59,23.04,23.04,0.3333333333333333,23.59,23.04,0,216300,49,5071096.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-03-31,CSMG3,CSMG3,7.75,8.033333333333333,7.75,8.033333333333333,8.033333333333333,497400,23.25,24.1,23.25,24.1,0.3333333333333333,24.1,23.25,0,165800,126,3929698.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-04-03,CSMG3,CSMG3,7.836666666666667,8.203333333333333,7.836666666666667,8.116666666666667,8.116666666666667,80100,23.51,24.61,23.51,24.35,0.3333333333333333,24.61,23.51,0,26700,107,648598.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-04-04,CSMG3,CSMG3,8.1,8.25,8.1,8.2,8.2,510300,24.3,24.75,24.3,24.6,0.3333333333333333,24.75,24.3,0,170100,290,4180757.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-04-05,CSMG3,CSMG3,8.2,8.233333333333333,8.149999999999999,8.166666666666666,8.166666666666666,366300,24.6,24.7,24.45,24.5,0.3333333333333333,24.7,24.45,0,122100,166,2996012.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-04-06,CSMG3,CSMG3,8.166666666666666,8.233333333333333,8.033333333333333,8.096666666666666,8.096666666666666,714900,24.5,24.7,24.1,24.29,0.3333333333333333,24.7,24.1,0,238300,232,5847039.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-04-07,CSMG3,CSMG3,8.166666666666666,8.333333333333332,8.033333333333333,8.333333333333332,8.333333333333332,293100,24.5,25.0,24.1,25.0,0.3333333333333333,25.0,24.1,0,97700,171,2403065.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-04-10,CSMG3,CSMG3,8.2,8.366666666666667,8.2,8.203333333333333,8.203333333333333,233400,24.6,25.1,24.6,24.61,0.3333333333333333,25.1,24.6,0,77800,98,1928822.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
2006-04-11,CSMG3,CSMG3,8.166666666666666,8.17,7.773333333333333,7.799999999999999,7.799999999999999,97200,24.5,24.51,23.32,23.4,0.3333333333333333,24.51,23.32,0,32400,83,770964.0,1,02,010,BRCSMGACNOR5,100,ON      NM,COPASA,0,0,0.0,standard_010
