date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,CSNA3,CSNA3,10.7,10.94,10.61,10.86,10.86,1127872,10.7,10.94,10.61,10.86,1.0,10.94,10.61,0,1127872,2510,12129246.32,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,772,58,8343.32,consolidated_010_020
2017-01-03,CSNA3,CSNA3,11.07,11.42,10.91,11.42,11.42,6605057,11.07,11.42,10.91,11.42,1.0,11.42,10.91,0,6605057,13786,74105896.58,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,2157,93,24284.58,consolidated_010_020
2017-01-04,CSNA3,CSNA3,11.35,11.55,11.14,11.31,11.31,5118661,11.35,11.55,11.14,11.31,1.0,11.55,11.14,0,5118661,9310,58085502.49,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,1361,57,15486.49,consolidated_010_020
2017-01-05,CSNA3,CSNA3,11.45,11.88,11.36,11.7,11.7,4525693,11.45,11.88,11.36,11.7,1.0,11.88,11.36,0,4525693,8766,52941831.55,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,2293,93,26831.55,consolidated_010_020
2017-01-06,CSNA3,CSNA3,11.71,11.74,11.22,11.28,11.28,4091988,11.71,11.74,11.22,11.28,1.0,11.74,11.22,0,4091988,6860,46533966.98,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,1188,47,13458.98,consolidated_010_020
2017-01-09,CSNA3,CSNA3,11.43,11.75,11.4,11.45,11.45,4971378,11.43,11.75,11.4,11.45,1.0,11.75,11.4,0,4971378,6456,57338006.62,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,1778,68,20533.62,consolidated_010_020
2017-01-10,CSNA3,CSNA3,11.64,11.85,11.58,11.7,11.7,3319724,11.64,11.85,11.58,11.7,1.0,11.85,11.58,0,3319724,6318,38832853.62,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,1324,58,15481.62,consolidated_010_020
2017-01-11,CSNA3,CSNA3,11.8,12.01,11.61,11.85,11.85,4995183,11.8,12.01,11.61,11.85,1.0,12.01,11.61,0,4995183,13013,58978751.27,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,1883,77,22272.27,consolidated_010_020
2017-01-12,CSNA3,CSNA3,12.32,12.5,12.12,12.38,12.38,6278889,12.32,12.5,12.12,12.38,1.0,12.5,12.12,0,6278889,13046,77599953.28,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,3089,134,38162.28,consolidated_010_020
2017-01-13,CSNA3,CSNA3,12.29,12.48,12.09,12.22,12.22,3451129,12.29,12.48,12.09,12.22,1.0,12.48,12.09,0,3451129,6876,42416152.4,1,02,010,BRCSNAACNOR6,247,ON,SID NACIONAL,2629,85,32291.4,consolidated_010_020
