date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,EGIE3,EGIE3,20.01142857142857,20.02285714285714,19.66285714285714,19.914285714285715,19.914285714285715,686350,35.02,35.04,34.41,34.85,0.5714285714285714,35.04,34.41,0,392200,1667,13655746.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
2017-01-03,EGIE3,EGIE3,20.028571428571425,20.759999999999998,19.92571428571428,20.685714285714287,20.685714285714287,2194150,35.05,36.33,34.87,36.2,0.5714285714285714,36.33,34.87,0,1253800,6118,44790871.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
2017-01-04,EGIE3,EGIE3,20.462857142857143,20.78857142857143,20.245714285714286,20.422857142857143,20.422857142857143,1409800,35.81,36.38,35.43,35.74,0.5714285714285714,36.38,35.43,0,805600,5570,28888970.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
2017-01-05,EGIE3,EGIE3,20.56,20.577142857142857,20.165714285714284,20.27428571428571,20.27428571428571,1157450,35.98,36.01,35.29,35.48,0.5714285714285714,36.01,35.29,0,661400,4672,23563873.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
2017-01-06,EGIE3,EGIE3,20.388571428571428,20.39428571428571,19.88,20.02285714285714,20.02285714285714,1576400,35.68,35.69,34.79,35.04,0.5714285714285714,35.69,34.79,0,900800,6302,31655422.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
2017-01-09,EGIE3,EGIE3,19.931428571428572,20.25142857142857,19.931428571428572,20.04,20.04,1455650,34.88,35.44,34.88,35.07,0.5714285714285714,35.44,34.88,0,831800,5946,29239048.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
2017-01-10,EGIE3,EGIE3,20.114285714285714,20.165714285714284,19.72,20.028571428571425,20.028571428571425,1293775,35.2,35.29,34.51,35.05,0.5714285714285714,35.29,34.51,0,739300,3684,25926547.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
2017-01-11,EGIE3,EGIE3,20.13714285714286,20.29142857142857,19.771428571428572,19.885714285714283,19.885714285714283,1157625,35.24,35.51,34.6,34.8,0.5714285714285714,35.51,34.6,0,661500,5519,23069853.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
2017-01-12,EGIE3,EGIE3,20.565714285714286,20.86857142857143,20.13714285714286,20.171428571428567,20.171428571428567,2795800,35.99,36.52,35.24,35.3,0.5714285714285714,36.52,35.24,0,1597600,9990,57128019.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
2017-01-13,EGIE3,EGIE3,20.194285714285716,20.50857142857143,20.131428571428568,20.217142857142857,20.217142857142857,1180900,35.34,35.89,35.23,35.38,0.5714285714285714,35.89,35.23,0,674800,4257,24040921.0,1,02,010,BREGIEACNOR9,102,ON      NM,ENGIE BRASIL
