date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,EQTL3,EQTL3,10.88,11.096,10.764000000000001,10.950000000000001,10.950000000000001,2009010,54.4,55.48,53.82,54.75,0.2,55.48,53.82,0,401802,2752,21886336.37,1,02,010,BREQTLACNOR0,120,ON  EJ  NM,EQUATORIAL,1102,93,60007.37,consolidated_010_020
2017-01-03,EQTL3,EQTL3,11.072000000000001,11.072000000000001,10.88,10.928,10.928,6182670,55.36,55.36,54.4,54.64,0.2,55.36,54.4,0,1236534,4805,67758138.77,1,02,010,BREQTLACNOR0,120,ON  EJ  NM,EQUATORIAL,1434,71,78776.77,consolidated_010_020
2017-01-04,EQTL3,EQTL3,10.878,11.084000000000001,10.826,10.97,10.97,10674350,54.39,55.42,54.13,54.85,0.2,55.42,54.13,0,2134870,8280,116472642.61,1,02,010,BREQTLACNOR0,120,ON  EJ  NM,EQUATORIAL,1370,83,74951.61,consolidated_010_020
2017-01-05,EQTL3,EQTL3,10.988,11.088000000000001,10.902000000000001,10.950000000000001,10.950000000000001,7708830,54.94,55.44,54.51,54.75,0.2,55.44,54.51,0,1541766,5674,84719835.19,1,02,010,BREQTLACNOR0,120,ON  EJ  NM,EQUATORIAL,1366,67,75146.19,consolidated_010_020
2017-01-06,EQTL3,EQTL3,10.9,10.992,10.714,10.9,10.9,4532125,54.5,54.96,53.57,54.5,0.2,54.96,53.57,0,906425,4373,49350505.68,1,02,010,BREQTLACNOR0,120,ON  EJ  NM,EQUATORIAL,1225,71,66806.68,consolidated_010_020
2017-01-09,EQTL3,EQTL3,10.902000000000001,11.026000000000002,10.784,10.83,10.83,4336960,54.51,55.13,53.92,54.15,0.2,55.13,53.92,0,867392,5275,47062965.71,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1392,56,75674.71,consolidated_010_020
2017-01-10,EQTL3,EQTL3,10.93,10.968000000000002,10.700000000000001,10.700000000000001,10.700000000000001,3914880,54.65,54.84,53.5,53.5,0.2,54.84,53.5,0,782976,3430,42150344.26,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1976,62,106833.26,consolidated_010_020
2017-01-11,EQTL3,EQTL3,10.698,10.806000000000001,10.578000000000001,10.644,10.644,3663270,53.49,54.03,52.89,53.22,0.2,54.03,52.89,0,732654,5004,39107401.54,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,954,39,50960.54,consolidated_010_020
2017-01-12,EQTL3,EQTL3,11.0,11.21,10.828000000000001,10.934000000000001,10.934000000000001,11819495,55.0,56.05,54.14,54.67,0.2,56.05,54.14,0,2363899,9404,130208776.1,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,3899,135,215771.1,consolidated_010_020
2017-01-13,EQTL3,EQTL3,10.86,11.082,10.832,11.040000000000001,11.040000000000001,4277515,54.3,55.41,54.16,55.2,0.2,55.41,54.16,0,855503,5439,47033459.04,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1303,98,71537.04,consolidated_010_020
2017-01-16,EQTL3,EQTL3,11.052,11.052,10.804000000000002,10.864,10.864,2477065,55.26,55.26,54.02,54.32,0.2,55.26,54.02,0,495413,3484,26990034.62,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1413,66,76787.62,consolidated_010_020
2017-01-17,EQTL3,EQTL3,10.814,11.11,10.652000000000001,11.01,11.01,5883860,54.07,55.55,53.26,55.05,0.2,55.55,53.26,0,1176772,6553,64180332.31,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1472,88,80362.31,consolidated_010_020
2017-01-18,EQTL3,EQTL3,11.016,11.088000000000001,10.946,10.946,10.946,2777035,55.08,55.44,54.73,54.73,0.2,55.44,54.73,0,555407,1801,30539958.38,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1007,50,55462.38,consolidated_010_020
2017-01-19,EQTL3,EQTL3,10.958,11.138,10.918000000000001,11.098,11.098,4378440,54.79,55.69,54.59,55.49,0.2,55.69,54.59,0,875688,3341,48467130.21,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,988,51,54731.21,consolidated_010_020
2017-01-20,EQTL3,EQTL3,11.090000000000002,11.270000000000001,11.090000000000002,11.270000000000001,11.270000000000001,4455165,55.45,56.35,55.45,56.35,0.2,56.35,55.45,0,891033,4648,49875583.72,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,933,47,52239.72,consolidated_010_020
2017-01-23,EQTL3,EQTL3,11.270000000000001,11.568000000000001,11.206000000000001,11.528,11.528,5604220,56.35,57.84,56.03,57.64,0.2,57.84,56.03,0,1120844,5458,64294970.59,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,2444,89,140331.59,consolidated_010_020
2017-01-24,EQTL3,EQTL3,11.530000000000001,11.636000000000001,11.424,11.636000000000001,11.636000000000001,2746450,57.65,58.18,57.12,58.18,0.2,58.18,57.12,0,549290,3342,31708137.17,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1190,48,68988.17,consolidated_010_020
2017-01-26,EQTL3,EQTL3,11.668000000000001,11.83,11.620000000000001,11.700000000000001,11.700000000000001,5481445,58.34,59.15,58.1,58.5,0.2,59.15,58.1,0,1096289,5188,64226471.73,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1589,64,93376.73,consolidated_010_020
2017-01-27,EQTL3,EQTL3,11.702,11.822000000000001,11.538,11.590000000000002,11.590000000000002,3116920,58.51,59.11,57.69,57.95,0.2,59.11,57.69,0,623384,3591,36320182.55,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1584,65,92187.55,consolidated_010_020
2017-01-30,EQTL3,EQTL3,11.590000000000002,11.648000000000001,11.404000000000002,11.498000000000001,11.498000000000001,2195310,57.95,58.24,57.02,57.49,0.2,58.24,57.02,0,439062,2745,25234280.45,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1262,48,72612.45,consolidated_010_020
2017-01-31,EQTL3,EQTL3,11.5,11.742,11.43,11.620000000000001,11.620000000000001,3055465,57.5,58.71,57.15,58.1,0.2,58.71,57.15,0,611093,4456,35468929.68,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1693,66,98253.68,consolidated_010_020
2017-02-01,EQTL3,EQTL3,11.734000000000002,11.804000000000002,11.444,11.476,11.476,5598675,58.67,59.02,57.22,57.38,0.2,59.02,57.22,0,1119735,5055,64507706.5,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1135,46,65775.5,consolidated_010_020
2017-02-02,EQTL3,EQTL3,11.450000000000001,11.596,11.378,11.488,11.488,4086170,57.25,57.98,56.89,57.44,0.2,57.98,56.89,0,817234,4680,46806977.75,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,2134,82,122566.75,consolidated_010_020
2017-02-03,EQTL3,EQTL3,11.508000000000001,11.778,11.4,11.55,11.55,9018250,57.54,58.89,57.0,57.75,0.2,58.89,57.0,0,1803650,5449,104373189.5,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,3050,87,176870.5,consolidated_010_020
2017-02-06,EQTL3,EQTL3,11.608,11.71,11.350000000000001,11.376000000000001,11.376000000000001,3667175,58.04,58.55,56.75,56.88,0.2,58.55,56.75,0,733435,4304,41848495.43,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,2235,69,128137.43,consolidated_010_020
2017-02-07,EQTL3,EQTL3,11.420000000000002,11.432,11.236,11.334000000000001,11.334000000000001,7399825,57.1,57.16,56.18,56.67,0.2,57.16,56.18,0,1479965,4452,83858413.43,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1665,58,94531.43,consolidated_010_020
2017-02-08,EQTL3,EQTL3,11.388,11.562000000000001,11.274000000000001,11.530000000000001,11.530000000000001,6581655,56.94,57.81,56.37,57.65,0.2,57.81,56.37,0,1316331,6597,75755649.75,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1831,57,105048.75,consolidated_010_020
2017-02-09,EQTL3,EQTL3,11.562000000000001,11.600000000000001,11.334000000000001,11.472000000000001,11.472000000000001,3542675,57.81,58.0,56.67,57.36,0.2,58.0,56.67,0,708535,3948,40606729.33,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1435,49,82289.33,consolidated_010_020
2017-02-10,EQTL3,EQTL3,11.418000000000001,11.508000000000001,11.354000000000001,11.438,11.438,3353655,57.09,57.54,56.77,57.19,0.2,57.54,56.77,0,670731,3896,38355285.02,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,2831,64,162422.02,consolidated_010_020
2017-02-13,EQTL3,EQTL3,11.478000000000002,11.542000000000002,11.362000000000002,11.478000000000002,11.478000000000002,4997045,57.39,57.71,56.81,57.39,0.2,57.71,56.81,0,999409,5557,57353444.66,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,2309,74,132301.66,consolidated_010_020
2017-02-14,EQTL3,EQTL3,11.488,11.544,11.32,11.5,11.5,4232720,57.44,57.72,56.6,57.5,0.2,57.72,56.6,0,846544,4366,48477876.27,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,2844,99,162820.27,consolidated_010_020
2017-02-15,EQTL3,EQTL3,11.590000000000002,11.738,11.454,11.600000000000001,11.600000000000001,5456200,57.95,58.69,57.27,58.0,0.2,58.69,57.27,0,1091240,6069,63298844.46,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,2640,94,152970.46,consolidated_010_020
2017-02-16,EQTL3,EQTL3,11.636000000000001,11.946,11.530000000000001,11.916,11.916,6612910,58.18,59.73,57.65,59.58,0.2,59.73,57.65,0,1322582,5127,77582923.99,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1782,81,104780.99,consolidated_010_020
2017-02-17,EQTL3,EQTL3,11.898000000000001,11.898000000000001,11.63,11.662,11.662,4116595,59.49,59.49,58.15,58.31,0.2,59.49,58.15,0,823319,5083,48167918.28,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1419,78,83155.28,consolidated_010_020
2017-02-20,EQTL3,EQTL3,11.662,11.878,11.646,11.8,11.8,2351610,58.31,59.39,58.23,59.0,0.2,59.39,58.23,0,470322,2560,27744271.37,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1422,41,83986.37,consolidated_010_020
2017-02-21,EQTL3,EQTL3,11.792000000000002,12.030000000000001,11.76,12.030000000000001,12.030000000000001,3379190,58.96,60.15,58.8,60.15,0.2,60.15,58.8,0,675838,3214,40315364.93,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1438,64,85569.93,consolidated_010_020
2017-02-22,EQTL3,EQTL3,12.020000000000001,12.088000000000001,11.848,11.992,11.992,5292230,60.1,60.44,59.24,59.96,0.2,60.44,59.24,0,1058446,4779,63257575.4,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1646,68,98232.4,consolidated_010_020
2017-02-23,EQTL3,EQTL3,12.068000000000001,12.166,11.986,12.086,12.086,4506375,60.34,60.83,59.93,60.43,0.2,60.83,59.93,0,901275,5275,54510753.65,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,1975,72,119547.65,consolidated_010_020
2017-02-24,EQTL3,EQTL3,11.942,12.052,11.784,11.904000000000002,11.904000000000002,5143190,59.71,60.26,58.92,59.52,0.2,60.26,58.92,0,1028638,4943,61213769.59,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,2438,95,145129.59,consolidated_010_020
2017-03-01,EQTL3,EQTL3,11.978000000000002,12.394,11.88,11.936,11.936,3089215,59.89,61.97,59.4,59.68,0.2,61.97,59.4,0,617843,3761,37114364.35,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL,2043,89,123184.35,consolidated_010_020
