date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,EQTL3,EQTL3,10.88,11.096,10.714,10.9,10.9,31074500,54.4,55.48,53.57,54.5,0.2,55.48,53.57,0,6214900,25499,339831770.0,1,02,010,BREQTLACNOR0,120,ON  EJ  NM,EQUATORIAL
2017-01-09,EQTL3,EQTL3,10.902000000000001,11.21,10.578000000000001,11.040000000000001,11.040000000000001,27964500,54.51,56.05,52.89,55.2,0.2,56.05,52.89,0,5592900,28162,305042170.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-01-16,EQTL3,EQTL3,11.052,11.270000000000001,10.652000000000001,11.270000000000001,11.270000000000001,19942500,55.26,56.35,53.26,56.35,0.2,56.35,53.26,0,3988500,19525,219733456.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-01-23,EQTL3,EQTL3,11.270000000000001,11.83,11.206000000000001,11.590000000000002,11.590000000000002,16915000,56.35,59.15,56.03,57.95,0.2,59.15,56.03,0,3383000,17313,196154878.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-01-30,EQTL3,EQTL3,11.590000000000002,11.804000000000002,11.378,11.55,11.55,23907500,57.95,59.02,56.89,57.75,0.2,59.02,56.89,0,4781500,22056,275855005.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-02-06,EQTL3,EQTL3,11.608,11.71,11.236,11.438,11.438,24495000,58.04,58.55,56.18,57.19,0.2,58.55,56.18,0,4899000,22900,279852144.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-02-13,EQTL3,EQTL3,11.478000000000002,11.946,11.32,11.662,11.662,25360500,57.39,59.73,56.6,58.31,0.2,59.73,56.6,0,5072100,25776,294244979.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-02-20,EQTL3,EQTL3,11.662,12.166,11.646,11.904000000000002,11.904000000000002,20628000,58.31,60.83,58.23,59.52,0.2,60.83,58.23,0,4125600,20431,246509269.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-03-01,EQTL3,EQTL3,11.978000000000002,12.394,11.712000000000002,11.96,11.96,8098000,59.89,61.97,58.56,59.8,0.2,61.97,58.56,0,1619600,10048,96500756.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-03-06,EQTL3,EQTL3,11.964,12.026000000000002,11.158000000000001,11.530000000000001,11.530000000000001,22533000,59.82,60.13,55.79,57.65,0.2,60.13,55.79,0,4506600,22550,261375139.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-03-13,EQTL3,EQTL3,11.534,11.632,11.040000000000001,11.272,11.272,34310500,57.67,58.16,55.2,56.36,0.2,58.16,55.2,0,6862100,32243,387791956.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-03-20,EQTL3,EQTL3,11.162,11.55,10.8,11.48,11.48,45314000,55.81,57.75,54.0,57.4,0.2,57.75,54.0,0,9062800,35716,504422792.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
2017-03-27,EQTL3,EQTL3,11.474,11.804000000000002,11.3,11.758000000000001,11.758000000000001,24449500,57.37,59.02,56.5,58.79,0.2,59.02,56.5,0,4889900,26220,281491703.0,1,02,010,BREQTLACNOR0,120,ON      NM,EQUATORIAL
