date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2009-12-17,FLRY3,FLRY3,8.095238095238095,8.69047619047619,8.004761904761903,8.69047619047619,8.69047619047619,19778850,17.0,18.25,16.81,18.25,0.47619047619047616,18.25,16.81,0,9418500,5858,163257664.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2009-12-18,FLRY3,FLRY3,8.780952380952382,8.785714285714285,8.404761904761903,8.404761904761903,8.404761904761903,2668260,18.44,18.45,17.65,17.65,0.47619047619047616,18.45,17.65,0,1270600,831,22886217.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2009-12-21,FLRY3,FLRY3,8.423809523809524,8.423809523809524,8.061904761904762,8.19047619047619,8.19047619047619,2388120,17.69,17.69,16.93,17.2,0.47619047619047616,17.69,16.93,0,1137200,818,19489125.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2009-12-22,FLRY3,FLRY3,8.28095238095238,8.295238095238096,8.123809523809523,8.238095238095237,8.238095238095237,1193220,17.39,17.42,17.06,17.3,0.47619047619047616,17.42,17.06,0,568200,1438,9798615.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2009-12-23,FLRY3,FLRY3,8.19047619047619,8.333333333333332,8.142857142857142,8.238095238095237,8.238095238095237,218190,17.2,17.5,17.1,17.3,0.47619047619047616,17.5,17.1,0,103900,166,1796829.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2009-12-28,FLRY3,FLRY3,8.214285714285714,8.461904761904762,8.19047619047619,8.428571428571427,8.428571428571427,595770,17.25,17.77,17.2,17.7,0.47619047619047616,17.77,17.2,0,283700,276,4975795.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2009-12-29,FLRY3,FLRY3,8.338095238095239,8.642857142857142,8.338095238095239,8.571428571428571,8.571428571428571,1732080,17.51,18.15,17.51,18.0,0.47619047619047616,18.15,17.51,0,824800,252,14796433.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2009-12-30,FLRY3,FLRY3,8.571428571428571,8.757142857142856,8.547619047619047,8.757142857142856,8.757142857142856,621180,18.0,18.39,17.95,18.39,0.47619047619047616,18.39,17.95,0,295800,309,5398620.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-04,FLRY3,FLRY3,8.576190476190476,8.809523809523808,8.576190476190476,8.619047619047619,8.619047619047619,487620,18.01,18.5,18.01,18.1,0.47619047619047616,18.5,18.01,0,232200,390,4228923.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-05,FLRY3,FLRY3,8.666666666666666,8.804761904761904,8.5,8.571428571428571,8.571428571428571,288120,18.2,18.49,17.85,18.0,0.47619047619047616,18.49,17.85,0,137200,272,2489054.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-06,FLRY3,FLRY3,8.571428571428571,9.023809523809524,8.571428571428571,8.88095238095238,8.88095238095238,805140,18.0,18.95,18.0,18.65,0.47619047619047616,18.95,18.0,0,383400,515,7050066.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-07,FLRY3,FLRY3,8.814285714285715,8.923809523809522,8.623809523809523,8.90952380952381,8.90952380952381,790440,18.51,18.74,18.11,18.71,0.47619047619047616,18.74,18.11,0,376400,279,7016923.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-08,FLRY3,FLRY3,8.723809523809523,9.471428571428572,8.723809523809523,9.09047619047619,9.09047619047619,2228940,18.32,19.89,18.32,19.09,0.47619047619047616,19.89,18.32,0,1061400,707,20299373.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-11,FLRY3,FLRY3,9.152380952380952,9.276190476190475,9.042857142857141,9.166666666666666,9.166666666666666,302190,19.22,19.48,18.99,19.25,0.47619047619047616,19.48,18.99,0,143900,295,2764946.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-12,FLRY3,FLRY3,9.166666666666666,9.757142857142856,9.157142857142857,9.333333333333334,9.333333333333334,757260,19.25,20.49,19.23,19.6,0.47619047619047616,20.49,19.23,0,360600,487,7052813.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-13,FLRY3,FLRY3,9.333333333333334,9.357142857142856,9.142857142857142,9.357142857142856,9.357142857142856,330330,19.6,19.65,19.2,19.65,0.47619047619047616,19.65,19.2,0,157300,76,3047519.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-14,FLRY3,FLRY3,9.366666666666667,9.738095238095237,9.366666666666667,9.523809523809524,9.523809523809524,80010,19.67,20.45,19.67,20.0,0.47619047619047616,20.45,19.67,0,38100,55,765763.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-15,FLRY3,FLRY3,9.547619047619047,9.604761904761904,9.385714285714286,9.385714285714286,9.385714285714286,279720,20.05,20.17,19.71,19.71,0.47619047619047616,20.17,19.71,0,133200,52,2666764.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
2010-01-18,FLRY3,FLRY3,9.604761904761904,9.604761904761904,9.447619047619048,9.452380952380953,9.452380952380953,108570,20.17,20.17,19.84,19.85,0.47619047619047616,20.17,19.84,0,51700,42,1031922.0,1,02,010,BRFLRYACNOR5,100,ON      NM,FLEURY,0,0,0.0,standard_010
