date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,ITSA4,ITSA4,5.739319646700777,5.774315498205051,5.711322965497359,5.746318817001633,5.746318817001633,5928717,8.2,8.25,8.16,8.21,0.6999170300854607,8.25,8.16,0,4149610,7856,34054625.04,1,02,010,BRITSAACNPR7,374,PN  EJ  N1,ITAUSA,4710,226,38753.04,consolidated_010_020
2017-01-03,ITSA4,ITSA4,5.774315498205051,5.998288947832398,5.774315498205051,5.998288947832398,5.998288947832398,24374053,8.25,8.57,8.25,8.57,0.6999170300854607,8.57,8.25,0,17059815,31865,145031194.35,1,02,010,BRITSAACNPR7,374,PN  EJ  N1,ITAUSA,6815,274,57764.35,consolidated_010_020
2017-01-04,ITSA4,ITSA4,5.9562939260272705,6.040283969637526,5.942295585425561,6.033284799336671,6.033284799336671,12421112,8.51,8.63,8.49,8.62,0.6999170300854607,8.63,8.49,0,8693748,12248,74623340.02,1,02,010,BRITSAACNPR7,374,PN  EJ  N1,ITAUSA,4848,205,41560.02,consolidated_010_020
2017-01-05,ITSA4,ITSA4,6.047283139938381,6.1522706944511985,5.991289777531544,6.089278161743508,6.089278161743508,22362381,8.64,8.79,8.56,8.7,0.6999170300854607,8.79,8.56,0,15651811,28205,135960423.92,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,5511,225,47868.92,consolidated_010_020
2017-01-06,ITSA4,ITSA4,6.089278161743508,6.124274013247781,6.019286458734961,6.068280650840944,6.068280650840944,15786947,8.7,8.75,8.6,8.67,0.6999170300854607,8.75,8.6,0,11049553,26744,95841342.49,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,4753,196,41244.49,consolidated_010_020
2017-01-09,ITSA4,ITSA4,6.054282310239235,6.1732682053537635,6.005288118133253,6.131273183548635,6.131273183548635,13253322,8.65,8.82,8.58,8.76,0.6999170300854607,8.82,8.58,0,9276226,15086,81213665.29,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,5026,199,43899.29,consolidated_010_020
2017-01-10,ITSA4,ITSA4,6.1522706944511985,6.194265716256327,6.033284799336671,6.089278161743508,6.089278161743508,13424118,8.79,8.85,8.62,8.7,0.6999170300854607,8.85,8.62,0,9395769,15936,81831382.8,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,5269,218,45991.8,consolidated_010_020
2017-01-11,ITSA4,ITSA4,6.110275672646072,6.159269864752055,6.047283139938381,6.131273183548635,6.131273183548635,17813713,8.73,8.8,8.64,8.76,0.6999170300854607,8.8,8.64,0,12468121,16918,108893520.36,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,3321,126,28977.36,consolidated_010_020
2017-01-12,ITSA4,ITSA4,6.250259078663164,6.355246633175983,6.243259908362309,6.299253270769146,6.299253270769146,31162867,8.93,9.08,8.92,9.0,0.6999170300854607,9.08,8.92,0,21811421,38432,196335202.38,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,5121,225,46052.38,consolidated_010_020
2017-01-13,ITSA4,ITSA4,6.250259078663164,6.355246633175983,6.1732682053537635,6.236260738061455,6.236260738061455,15011942,8.93,9.08,8.82,8.91,0.6999170300854607,9.08,8.82,0,10507114,26785,94043577.31,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,4214,172,37780.31,consolidated_010_020
2017-01-16,ITSA4,ITSA4,6.236260738061455,6.278255759866583,6.194265716256327,6.236260738061455,6.236260738061455,13738297,8.91,8.97,8.85,8.91,0.6999170300854607,8.97,8.85,0,9615668,15317,85535230.26,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,4868,209,43380.26,consolidated_010_020
2017-01-17,ITSA4,ITSA4,6.236260738061455,6.418239165883675,6.2292615677606005,6.362245803476838,6.362245803476838,21108738,8.91,9.17,8.9,9.09,0.6999170300854607,9.17,8.9,0,14774365,27850,133755552.14,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,4565,170,41219.14,consolidated_010_020
2017-01-18,ITSA4,ITSA4,6.41123999558282,6.41123999558282,6.292254100468292,6.327249951972564,6.327249951972564,20529415,9.16,9.16,8.99,9.04,0.6999170300854607,9.16,8.99,0,14368887,29895,130078316.64,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,3787,135,34253.64,consolidated_010_020
2017-01-19,ITSA4,ITSA4,6.341248292574274,6.362245803476838,6.271256589565728,6.320250781671709,6.320250781671709,14449594,9.06,9.09,8.96,9.03,0.6999170300854607,9.09,8.96,0,10113517,17459,91195632.0,1,02,010,BRITSAACNPR7,374,PN      N1,ITAUSA,4417,149,39861.0,consolidated_010_020
