date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2007-04-12,JHSF3,JHSF3,8.05,8.39,8.01,8.2,8.2,5792100,8.05,8.39,8.01,8.2,1.0,8.39,8.01,0,5792100,3703,47219746.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-16,JHSF3,JHSF3,8.05,8.2,8.05,8.15,8.15,518100,8.05,8.2,8.05,8.15,1.0,8.2,8.05,0,518100,581,4217759.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-23,JHSF3,JHSF3,8.14,8.35,8.02,8.3,8.3,1390000,8.14,8.35,8.02,8.3,1.0,8.35,8.02,0,1390000,422,11454783.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-04-30,JHSF3,JHSF3,8.25,8.8,8.25,8.66,8.66,699100,8.25,8.8,8.25,8.66,1.0,8.8,8.25,0,699100,226,6015497.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-07,JHSF3,JHSF3,8.65,8.65,8.15,8.4,8.4,34300,8.65,8.65,8.15,8.4,1.0,8.65,8.15,0,34300,55,288868.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-14,JHSF3,JHSF3,8.35,8.6,8.15,8.6,8.6,206900,8.35,8.6,8.15,8.6,1.0,8.6,8.15,0,206900,91,1753407.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-21,JHSF3,JHSF3,8.7,12.0,8.6,12.0,12.0,4256500,8.7,12.0,8.6,12.0,1.0,12.0,8.6,0,4256500,806,43838707.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-05-28,JHSF3,JHSF3,12.0,12.0,10.6,11.3,11.3,1673900,12.0,12.0,10.6,11.3,1.0,12.0,10.6,0,1673900,221,19210726.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-06-04,JHSF3,JHSF3,11.1,11.61,10.75,11.2,11.2,479000,11.1,11.61,10.75,11.2,1.0,11.61,10.75,0,479000,81,5371121.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
2007-06-11,JHSF3,JHSF3,11.2,12.0,11.2,11.5,11.5,1579400,11.2,12.0,11.2,11.5,1.0,12.0,11.2,0,1579400,195,18637762.0,1,02,010,BRJHSFACNOR2,100,ON      NM,JHSF PART
