date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,LREN3,LREN3,15.641008127860111,16.522095485281053,15.579536916877256,15.811761491701379,15.811761491701379,14465454,22.9,24.19,22.81,23.15,0.6830134553650704,24.19,22.81,0,9880100,45917,232351925.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
2017-01-09,LREN3,LREN3,15.80493135714773,16.959224096714696,15.381463014821385,16.467454408851847,16.467454408851847,21243945,23.14,24.83,22.52,24.11,0.6830134553650704,24.83,22.52,0,14509900,47428,345740515.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
2017-01-16,LREN3,LREN3,16.29670104501058,16.645037907246767,15.968854586435345,16.399153063315342,16.399153063315342,14040281,23.86,24.37,23.38,24.01,0.6830134553650704,24.37,23.38,0,9589700,40057,228658564.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
2017-01-23,LREN3,LREN3,16.39232292876169,17.088996653234062,16.365002390547087,16.986544634929302,16.986544634929302,18853216,24.0,25.02,23.96,24.87,0.6830134553650704,25.02,23.96,0,12877000,39948,317733599.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
2017-01-30,LREN3,LREN3,16.966054231268348,17.129977460555963,16.18741889215217,16.843111809302638,16.843111809302638,12937958,24.84,25.08,23.7,24.66,0.6830134553650704,25.08,23.7,0,8836800,40370,213362566.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
2017-02-06,LREN3,LREN3,17.027525442251203,17.027525442251203,16.08496687384741,16.88409261662454,16.88409261662454,19730066,24.93,24.93,23.55,24.72,0.6830134553650704,24.93,23.55,0,13475900,40197,325805065.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
2017-02-13,LREN3,LREN3,16.938733693053745,17.881292261457542,16.815791271088035,17.621747148418816,17.621747148418816,27644697,24.8,26.18,24.62,25.8,0.6830134553650704,26.18,24.62,0,18881700,56063,482325535.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
2017-02-20,LREN3,LREN3,17.621747148418816,18.50966464039341,17.45099378457755,17.45099378457755,17.45099378457755,17698919,25.8,27.1,25.55,25.55,0.6830134553650704,27.1,25.55,0,12088600,53052,317763441.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
2017-03-01,LREN3,LREN3,17.65589782118707,17.9291032033331,17.225599344307074,17.799330646813733,17.799330646813733,10079450,25.85,26.25,25.22,26.06,0.6830134553650704,26.25,25.22,0,6884400,28317,178062774.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
2017-03-06,LREN3,LREN3,17.75834983949183,18.270609931015635,17.129977460555963,17.922273068779447,17.922273068779447,16495282,26.0,26.75,25.08,26.24,0.6830134553650704,26.75,25.08,0,11266500,48676,293016511.0,1,02,010,BRLRENACNOR1,183,ON      NM,LOJAS RENNER
