date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,MGLU3,MGLU3,3.9073660714285716,3.923363095238095,3.7838541666666665,3.7838541666666665,3.7838541666666665,1686263,105.03,105.46,101.71,101.71,0.03720238095238095,105.46,101.71,0,62733,154,6445364.08,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,133,10,13902.08,consolidated_010_020
2017-01-03,MGLU3,MGLU3,3.8128720238095237,3.8794642857142856,3.7202380952380953,3.772321428571429,3.772321428571429,1362897,102.49,104.28,100.0,101.4,0.03720238095238095,104.28,100.0,0,50703,308,5182636.78,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,603,34,61604.78,consolidated_010_020
2017-01-04,MGLU3,MGLU3,3.7574404761904763,3.774181547619048,3.5379464285714284,3.571428571428571,3.571428571428571,2915002,101.0,101.45,95.1,96.0,0.03720238095238095,101.45,95.1,0,108445,906,10612513.34,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,1145,64,111652.34,consolidated_010_020
2017-01-05,MGLU3,MGLU3,3.5885416666666665,3.6941964285714284,3.588169642857143,3.6941964285714284,3.6941964285714284,2921480,96.46,99.3,96.45,99.3,0.03720238095238095,99.3,96.45,0,108686,908,10658353.54,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,786,39,76869.54,consolidated_010_020
2017-01-06,MGLU3,MGLU3,3.6941964285714284,3.715029761904762,3.6458333333333335,3.6703869047619047,3.6703869047619047,683505,99.3,99.86,98.0,98.66,0.03720238095238095,99.86,98.0,0,25428,248,2513596.55,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,428,18,42219.55,consolidated_010_020
2017-01-09,MGLU3,MGLU3,3.6707589285714284,3.6830357142857144,3.5033482142857144,3.5033482142857144,3.5033482142857144,3193720,98.67,99.0,94.17,94.17,0.03720238095238095,99.0,94.17,0,118814,890,11521881.39,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,2214,67,215334.39,consolidated_010_020
2017-01-10,MGLU3,MGLU3,3.5193452380952377,3.6458333333333335,3.515997023809524,3.5866815476190474,3.5866815476190474,2114757,94.6,98.0,94.51,96.41,0.03720238095238095,98.0,94.51,0,78674,687,7550881.35,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,674,39,64818.35,consolidated_010_020
2017-01-11,MGLU3,MGLU3,3.5703125,3.6569940476190474,3.5703125,3.627232142857143,3.627232142857143,3040961,95.97,98.3,95.97,97.5,0.03720238095238095,98.3,95.97,0,113131,890,11014038.2,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,831,39,80679.2,consolidated_010_020
2017-01-12,MGLU3,MGLU3,3.675595238095238,3.8872767857142856,3.6670386904761902,3.869047619047619,3.869047619047619,4373053,98.8,104.49,98.57,104.0,0.03720238095238095,104.49,98.57,0,162688,1300,16546327.1,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,1688,84,171978.1,consolidated_010_020
2017-01-13,MGLU3,MGLU3,3.868675595238095,3.976190476190476,3.8392857142857144,3.943452380952381,3.943452380952381,2462853,103.99,106.88,103.2,106.0,0.03720238095238095,106.88,103.2,0,91624,690,9691729.97,1,02,010,BRMGLUACNOR2,106,ON      NM,MAGAZ LUIZA,1124,48,118377.97,consolidated_010_020
