date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,MRVE3,MRVE3,10.83,11.43,10.83,11.36,11.36,19244500,10.83,11.43,10.83,11.36,1.0,11.43,10.83,0,19244500,55066,217330253.0,1,02,010,BRMRVEACNOR2,111,ON      NM,MRV
2017-01-09,MRVE3,MRVE3,11.45,11.97,11.41,11.58,11.58,22479200,11.45,11.97,11.41,11.58,1.0,11.97,11.41,0,22479200,64683,260468529.0,1,02,010,BRMRVEACNOR2,111,ON      NM,MRV
2017-01-16,MRVE3,MRVE3,11.6,12.2,11.42,12.0,12.0,21358000,11.6,12.2,11.42,12.0,1.0,12.2,11.42,0,21358000,72312,253863774.0,1,02,010,BRMRVEACNOR2,111,ON      NM,MRV
2017-01-23,MRVE3,MRVE3,12.02,12.59,11.88,12.47,12.47,11216900,12.02,12.59,11.88,12.47,1.0,12.59,11.88,0,11216900,36355,137266352.0,1,02,010,BRMRVEACNOR2,111,ON      NM,MRV
2017-01-30,MRVE3,MRVE3,12.49,13.82,12.16,13.58,13.58,17920800,12.49,13.82,12.16,13.58,1.0,13.82,12.16,0,17920800,72843,233231184.0,1,02,010,BRMRVEACNOR2,111,ON      NM,MRV
2017-02-06,MRVE3,MRVE3,13.89,14.04,13.17,14.0,14.0,12287300,13.89,14.04,13.17,14.0,1.0,14.04,13.17,0,12287300,53293,166986028.0,1,02,010,BRMRVEACNOR2,111,ON      NM,MRV
2017-02-13,MRVE3,MRVE3,14.09,14.1,13.48,13.98,13.98,16100200,14.09,14.1,13.48,13.98,1.0,14.1,13.48,0,16100200,47800,222931955.0,1,02,010,BRMRVEACNOR2,111,ON      NM,MRV
2017-02-20,MRVE3,MRVE3,14.1,14.98,13.98,14.28,14.28,12703000,14.1,14.98,13.98,14.28,1.0,14.98,13.98,0,12703000,55403,181223213.0,1,02,010,BRMRVEACNOR2,111,ON      NM,MRV
2017-03-01,MRVE3,MRVE3,14.23,14.59,13.96,14.23,14.23,8046500,14.23,14.59,13.96,14.23,1.0,14.59,13.96,0,8046500,29704,113668463.0,1,02,010,BRMRVEACNOR2,111,ON      NM,MRV
2017-03-06,MRVE3,MRVE3,14.0,15.12,13.91,14.85,14.85,15917900,14.0,15.12,13.91,14.85,1.0,15.12,13.91,0,15917900,57959,231929482.0,1,02,010,BRMRVEACNOR2,112,ON  ED  NM,MRV
2017-03-13,MRVE3,MRVE3,14.85,15.68,14.67,15.25,15.25,10257300,14.85,15.68,14.67,15.25,1.0,15.68,14.67,0,10257300,43850,155905130.0,1,02,010,BRMRVEACNOR2,112,ON      NM,MRV
2017-03-20,MRVE3,MRVE3,15.38,15.49,14.18,14.83,14.83,13891400,15.38,15.49,14.18,14.83,1.0,15.49,14.18,0,13891400,45997,206095601.0,1,02,010,BRMRVEACNOR2,112,ON      NM,MRV
2017-03-27,MRVE3,MRVE3,14.75,15.04,14.27,14.36,14.36,9758300,14.75,15.04,14.27,14.36,1.0,15.04,14.27,0,9758300,40170,142627956.0,1,02,010,BRMRVEACNOR2,112,ON      NM,MRV
2017-04-03,MRVE3,MRVE3,14.38,15.17,14.23,14.95,14.95,11460800,14.38,15.17,14.23,14.95,1.0,15.17,14.23,0,11460800,40158,167743246.0,1,02,010,BRMRVEACNOR2,112,ON      NM,MRV
2017-04-10,MRVE3,MRVE3,14.92,15.24,14.52,14.76,14.76,11337600,14.92,15.24,14.52,14.76,1.0,15.24,14.52,0,11337600,34163,169355992.0,1,02,010,BRMRVEACNOR2,112,ON      NM,MRV
2017-04-17,MRVE3,MRVE3,14.76,15.62,14.76,15.43,15.43,11093100,14.76,15.62,14.76,15.43,1.0,15.62,14.76,0,11093100,38920,169625575.0,1,02,010,BRMRVEACNOR2,112,ON      NM,MRV
