date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,MULT3,MULT3,19.60333333333333,19.733333333333334,19.47,19.733333333333334,19.733333333333334,519063,58.81,59.2,58.41,59.2,0.3333333333333333,59.2,58.41,0,173021,1297,10185111.51,1,02,010,BRMULTACNOR5,116,ON      N2,MULTIPLAN,621,67,36516.51,consolidated_010_020
2017-01-03,MULT3,MULT3,19.93,20.466666666666665,19.75,20.396666666666665,20.396666666666665,1828506,59.79,61.4,59.25,61.19,0.3333333333333333,61.4,59.25,0,609502,4858,37013547.2,1,02,010,BRMULTACNOR5,116,ON      N2,MULTIPLAN,2302,89,139634.2,consolidated_010_020
2017-01-04,MULT3,MULT3,20.203333333333333,20.80333333333333,20.203333333333333,20.706666666666663,20.706666666666663,1008702,60.61,62.41,60.61,62.12,0.3333333333333333,62.41,60.61,0,336234,2632,20784997.98,1,02,010,BRMULTACNOR5,116,ON      N2,MULTIPLAN,1034,42,64092.98,consolidated_010_020
2017-01-05,MULT3,MULT3,20.583333333333332,20.909999999999997,20.369999999999997,20.793333333333333,20.793333333333333,1153059,61.75,62.73,61.11,62.38,0.3333333333333333,62.73,61.11,0,384353,2794,23896815.4,1,02,010,BRMULTACNOR5,116,ON      N2,MULTIPLAN,753,32,46811.4,consolidated_010_020
2017-01-06,MULT3,MULT3,20.646666666666665,20.97,20.513333333333332,20.663333333333334,20.663333333333334,1400514,61.94,62.91,61.54,61.99,0.3333333333333333,62.91,61.54,0,466838,2248,28950045.95,1,02,010,BRMULTACNOR5,116,ON      N2,MULTIPLAN,238,19,14838.95,consolidated_010_020
2017-01-09,MULT3,MULT3,20.743333333333332,20.93,20.596666666666664,20.759999999999998,20.759999999999998,1401987,62.23,62.79,61.79,62.28,0.3333333333333333,62.79,61.79,0,467329,2589,29105961.67,1,02,010,BRMULTACNOR5,116,ON      N2,MULTIPLAN,629,31,39273.67,consolidated_010_020
2017-01-10,MULT3,MULT3,20.663333333333334,20.663333333333334,19.983333333333334,20.30333333333333,20.30333333333333,3231663,61.99,61.99,59.95,60.91,0.3333333333333333,61.99,59.95,0,1077221,3821,65443556.92,1,02,010,BRMULTACNOR5,116,ON      N2,MULTIPLAN,1921,75,117463.92,consolidated_010_020
2017-01-11,MULT3,MULT3,20.43333333333333,20.476666666666667,20.0,20.306666666666665,20.306666666666665,17393922,61.3,61.43,60.0,60.92,0.3333333333333333,61.43,60.0,0,5797974,4346,351425471.71,1,02,010,BRMULTACNOR5,116,ON      N2,MULTIPLAN,974,38,59160.71,consolidated_010_020
2017-01-12,MULT3,MULT3,21.0,21.72,21.0,21.616666666666664,21.616666666666664,4429806,63.0,65.16,63.0,64.85,0.3333333333333333,65.16,63.0,0,1476602,10177,94905435.15,1,02,010,BRMULTACNOR5,116,ON      N2,MULTIPLAN,5802,154,372791.15,consolidated_010_020
2017-01-13,MULT3,MULT3,21.54,21.733333333333334,21.266666666666666,21.546666666666667,21.546666666666667,1989825,64.62,65.2,63.8,64.64,0.3333333333333333,65.2,63.8,0,663275,3809,42703735.3,1,02,010,BRMULTACNOR5,117,ON  ES  N2,MULTIPLAN,775,34,50074.3,consolidated_010_020
2017-01-16,MULT3,MULT3,21.356666666666662,21.65333333333333,21.316666666666666,21.5,21.5,1027428,64.07,64.96,63.95,64.5,0.3333333333333333,64.96,63.95,0,342476,1324,22105948.16,1,02,010,BRMULTACNOR5,117,ON  ES  N2,MULTIPLAN,476,22,30814.16,consolidated_010_020
2017-01-17,MULT3,MULT3,21.566666666666666,21.566666666666666,21.196666666666665,21.333333333333332,21.333333333333332,2342808,64.7,64.7,63.59,64.0,0.3333333333333333,64.7,63.59,0,780936,3315,50133786.21,1,02,010,BRMULTACNOR5,117,ON  ES  N2,MULTIPLAN,936,33,59945.21,consolidated_010_020
