date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,QUAL3,QUAL3,19.13,19.18,18.72,18.82,18.82,512499,19.13,19.18,18.72,18.82,1.0,19.18,18.72,0,512499,2902,9692638.28,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,399,38,7581.28,consolidated_010_020
2017-01-03,QUAL3,QUAL3,18.96,19.85,18.86,19.64,19.64,2710085,18.96,19.85,18.86,19.64,1.0,19.85,18.86,0,2710085,7776,53069161.34,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1885,48,36813.34,consolidated_010_020
2017-01-04,QUAL3,QUAL3,19.4,20.11,19.4,19.81,19.81,881660,19.4,20.11,19.4,19.81,1.0,20.11,19.4,0,881660,5501,17454391.41,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1160,44,22990.41,consolidated_010_020
2017-01-05,QUAL3,QUAL3,20.0,20.14,19.43,19.69,19.69,1302623,20.0,20.14,19.43,19.69,1.0,20.14,19.43,0,1302623,6771,25727850.62,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,923,29,18309.62,consolidated_010_020
2017-01-06,QUAL3,QUAL3,19.55,19.59,19.05,19.49,19.49,1152595,19.55,19.59,19.05,19.49,1.0,19.59,19.05,0,1152595,8004,22242707.78,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1095,44,21187.78,consolidated_010_020
2017-01-09,QUAL3,QUAL3,19.41,20.19,19.35,19.71,19.71,999717,19.41,20.19,19.35,19.71,1.0,20.19,19.35,0,999717,5872,19740040.88,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,717,24,14151.88,consolidated_010_020
2017-01-10,QUAL3,QUAL3,19.92,19.92,19.21,19.22,19.22,1365814,19.92,19.92,19.21,19.22,1.0,19.92,19.21,0,1365814,4443,26363366.87,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1014,37,19652.87,consolidated_010_020
2017-01-11,QUAL3,QUAL3,19.3,19.87,18.88,19.86,19.86,1030525,19.3,19.87,18.88,19.86,1.0,19.87,18.88,0,1030525,6031,20176474.1,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,825,31,16129.1,consolidated_010_020
2017-01-12,QUAL3,QUAL3,20.43,20.68,20.02,20.08,20.08,6292950,20.43,20.68,20.02,20.08,1.0,20.68,20.02,0,6292950,6917,127787015.24,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1650,59,33538.24,consolidated_010_020
2017-01-13,QUAL3,QUAL3,20.19,20.49,18.98,19.3,19.3,1282890,20.19,20.49,18.98,19.3,1.0,20.49,18.98,0,1282890,6932,25165517.15,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,990,32,19322.15,consolidated_010_020
2017-01-16,QUAL3,QUAL3,19.3,19.7,18.9,19.48,19.48,1124276,19.3,19.7,18.9,19.48,1.0,19.7,18.9,0,1124276,7119,21733067.6,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1176,49,22891.6,consolidated_010_020
2017-01-17,QUAL3,QUAL3,19.37,20.0,19.37,19.87,19.87,1735109,19.37,20.0,19.37,19.87,1.0,20.0,19.37,0,1735109,7485,34242504.65,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,709,24,14003.65,consolidated_010_020
2017-01-18,QUAL3,QUAL3,19.95,20.1,19.7,19.72,19.72,1492659,19.95,20.1,19.7,19.72,1.0,20.1,19.7,0,1492659,8046,29771846.17,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,659,23,13052.17,consolidated_010_020
2017-01-19,QUAL3,QUAL3,19.82,19.92,19.03,19.49,19.49,1318908,19.82,19.92,19.03,19.49,1.0,19.92,19.03,0,1318908,8789,25639829.35,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,708,23,13817.35,consolidated_010_020
2017-01-20,QUAL3,QUAL3,19.29,20.11,19.19,19.75,19.75,1675294,19.29,20.11,19.19,19.75,1.0,20.11,19.19,0,1675294,9430,32953793.63,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,994,34,19613.63,consolidated_010_020
2017-01-23,QUAL3,QUAL3,19.75,20.85,19.53,20.85,20.85,3181433,19.75,20.85,19.53,20.85,1.0,20.85,19.53,0,3181433,6380,64964758.84,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1133,47,22955.84,consolidated_010_020
2017-01-24,QUAL3,QUAL3,20.81,20.88,20.34,20.8,20.8,1015312,20.81,20.88,20.34,20.8,1.0,20.88,20.34,0,1015312,4187,20872981.92,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,712,25,14677.92,consolidated_010_020
2017-01-26,QUAL3,QUAL3,20.85,21.33,20.55,20.75,20.75,1363507,20.85,21.33,20.55,20.75,1.0,21.33,20.55,0,1363507,6344,28363107.82,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1107,47,23071.82,consolidated_010_020
2017-01-27,QUAL3,QUAL3,20.58,21.12,20.5,20.65,20.65,734934,20.58,21.12,20.5,20.65,1.0,21.12,20.5,0,734934,4417,15194066.31,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,934,29,19337.31,consolidated_010_020
2017-01-30,QUAL3,QUAL3,20.65,20.9,20.06,20.08,20.08,849461,20.65,20.9,20.06,20.08,1.0,20.9,20.06,0,849461,5749,17259195.24,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1661,61,33647.24,consolidated_010_020
2017-01-31,QUAL3,QUAL3,20.31,20.85,20.05,20.61,20.61,930041,20.31,20.85,20.05,20.61,1.0,20.85,20.05,0,930041,4933,19155328.54,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1341,48,27515.54,consolidated_010_020
2017-02-01,QUAL3,QUAL3,20.82,20.82,19.87,19.87,19.87,1555608,20.82,20.82,19.87,19.87,1.0,20.82,19.87,0,1555608,7281,31246598.59,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1708,59,34385.59,consolidated_010_020
2017-02-02,QUAL3,QUAL3,19.9,20.38,19.68,19.79,19.79,1592329,19.9,20.38,19.68,19.79,1.0,20.38,19.68,0,1592329,9007,31802440.17,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1329,55,26426.17,consolidated_010_020
2017-02-03,QUAL3,QUAL3,19.9,20.58,19.79,20.17,20.17,2509665,19.9,20.58,19.79,20.17,1.0,20.58,19.79,0,2509665,13180,51109229.4,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,2765,92,56407.4,consolidated_010_020
2017-02-06,QUAL3,QUAL3,20.35,20.78,19.81,19.96,19.96,1057726,20.35,20.78,19.81,19.96,1.0,20.78,19.81,0,1057726,6265,21325607.76,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,1326,55,26756.76,consolidated_010_020
2017-02-07,QUAL3,QUAL3,20.25,20.25,19.38,19.53,19.53,1663602,20.25,20.25,19.38,19.53,1.0,20.25,19.38,0,1663602,9106,32672289.39,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,802,45,15924.39,consolidated_010_020
2017-02-08,QUAL3,QUAL3,19.66,20.22,19.37,20.0,20.0,1821749,19.66,20.22,19.37,20.0,1.0,20.22,19.37,0,1821749,9233,36278465.21,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,849,38,17042.21,consolidated_010_020
2017-02-09,QUAL3,QUAL3,20.07,20.28,19.8,19.99,19.99,796657,20.07,20.28,19.8,19.99,1.0,20.28,19.8,0,796657,5458,15952108.41,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,757,29,15147.41,consolidated_010_020
2017-02-10,QUAL3,QUAL3,19.88,19.97,19.6,19.9,19.9,863743,19.88,19.97,19.6,19.9,1.0,19.97,19.6,0,863743,4624,17107430.64,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,2143,74,42586.64,consolidated_010_020
2017-02-13,QUAL3,QUAL3,20.19,20.75,19.74,20.55,20.55,1491606,20.19,20.75,19.74,20.55,1.0,20.75,19.74,0,1491606,7875,30330793.86,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP,2006,63,40891.86,consolidated_010_020
