date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,QUAL3,QUAL3,19.13,20.14,18.72,19.49,19.49,6554000,19.13,20.14,18.72,19.49,1.0,20.14,18.72,0,6554000,30751,128079867.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-01-09,QUAL3,QUAL3,19.41,20.68,18.88,19.3,19.3,10966700,19.41,20.68,18.88,19.3,1.0,20.68,18.88,0,10966700,30012,219129620.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-01-16,QUAL3,QUAL3,19.3,20.11,18.9,19.75,19.75,7342000,19.3,20.11,18.9,19.75,1.0,20.11,18.9,0,7342000,40716,144257663.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-01-23,QUAL3,QUAL3,19.75,21.33,19.53,20.65,20.65,6291300,19.75,21.33,19.53,20.65,1.0,21.33,19.53,0,6291300,21180,129314872.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-01-30,QUAL3,QUAL3,20.65,20.9,19.68,20.17,20.17,7428300,20.65,20.9,19.68,20.17,1.0,20.9,19.68,0,7428300,39835,150394410.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-02-06,QUAL3,QUAL3,20.35,20.78,19.37,19.9,19.9,6197600,20.35,20.78,19.37,19.9,1.0,20.78,19.37,0,6197600,34445,123218444.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-02-13,QUAL3,QUAL3,20.19,20.75,19.52,19.85,19.85,6357000,20.19,20.75,19.52,19.85,1.0,20.75,19.52,0,6357000,33658,127484968.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-02-20,QUAL3,QUAL3,19.92,20.43,19.38,19.71,19.71,5897300,19.92,20.43,19.38,19.71,1.0,20.43,19.38,0,5897300,25705,117591843.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-03-01,QUAL3,QUAL3,19.98,20.93,19.61,20.05,20.05,4587000,19.98,20.93,19.61,20.05,1.0,20.93,19.61,0,4587000,26793,92983992.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-03-06,QUAL3,QUAL3,20.05,20.4,18.39,18.65,18.65,5942900,20.05,20.4,18.39,18.65,1.0,20.4,18.39,0,5942900,32143,114386154.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-03-13,QUAL3,QUAL3,18.89,19.62,18.23,18.75,18.75,8165500,18.89,19.62,18.23,18.75,1.0,19.62,18.23,0,8165500,30821,154076417.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-03-20,QUAL3,QUAL3,18.82,19.65,17.9,19.4,19.4,9772400,18.82,19.65,17.9,19.4,1.0,19.65,17.9,0,9772400,42254,183944576.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
2017-03-27,QUAL3,QUAL3,19.41,20.8,19.21,20.65,20.65,9753000,19.41,20.8,19.21,20.65,1.0,20.8,19.21,0,9753000,37988,195916814.0,1,02,010,BRQUALACNOR6,104,ON      NM,QUALICORP
