date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-03-13,RAIL3,RAIL3,8.7,9.06,8.36,9.0,9.0,24901600,8.7,9.06,8.36,9.0,1.0,9.06,8.36,0,24901600,42309,219990378.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-03-20,RAIL3,RAIL3,8.91,9.13,8.16,8.55,8.55,39403200,8.91,9.13,8.16,8.55,1.0,9.13,8.16,0,39403200,53457,343532570.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-03-27,RAIL3,RAIL3,8.45,8.6,8.28,8.55,8.55,16717400,8.45,8.6,8.28,8.55,1.0,8.6,8.28,0,16717400,34041,142232360.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-04-03,RAIL3,RAIL3,8.55,9.04,8.46,8.75,8.75,70642700,8.55,9.04,8.46,8.75,1.0,9.04,8.46,0,70642700,56596,615991566.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-04-10,RAIL3,RAIL3,8.82,8.99,8.61,8.61,8.61,29865100,8.82,8.99,8.61,8.61,1.0,8.99,8.61,0,29865100,36775,262758169.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-04-17,RAIL3,RAIL3,8.65,9.18,8.56,8.69,8.69,21937100,8.65,9.18,8.56,8.69,1.0,9.18,8.56,0,21937100,35692,194585884.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-04-24,RAIL3,RAIL3,8.87,8.89,8.32,8.73,8.73,25475600,8.87,8.89,8.32,8.73,1.0,8.89,8.32,0,25475600,38632,219499401.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-05-02,RAIL3,RAIL3,8.75,9.5,8.75,9.23,9.23,28137600,8.75,9.5,8.75,9.23,1.0,9.5,8.75,0,28137600,60787,258383592.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-05-08,RAIL3,RAIL3,9.2,10.05,9.1,9.92,9.92,38031000,9.2,10.05,9.1,9.92,1.0,10.05,9.1,0,38031000,61520,369357127.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-05-15,RAIL3,RAIL3,9.85,10.55,7.65,8.87,8.87,77844400,9.85,10.55,7.65,8.87,1.0,10.55,7.65,0,77844400,129591,709734502.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-05-22,RAIL3,RAIL3,8.7,8.94,7.65,8.78,8.78,89526600,8.7,8.94,7.65,8.78,1.0,8.94,7.65,0,89526600,141527,742055438.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-05-29,RAIL3,RAIL3,8.7,8.73,8.05,8.18,8.18,37732600,8.7,8.73,8.05,8.18,1.0,8.73,8.05,0,37732600,60150,317852298.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-06-05,RAIL3,RAIL3,8.08,8.33,7.68,7.88,7.88,45293900,8.08,8.33,7.68,7.88,1.0,8.33,7.68,0,45293900,70684,357267585.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-06-12,RAIL3,RAIL3,7.9,8.3,7.5,8.3,8.3,33891400,7.9,8.3,7.5,8.3,1.0,8.3,7.5,0,33891400,46814,269761562.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-06-19,RAIL3,RAIL3,8.25,8.45,7.97,8.25,8.25,31357800,8.25,8.45,7.97,8.25,1.0,8.45,7.97,0,31357800,45650,256403935.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-06-26,RAIL3,RAIL3,8.28,8.65,8.1,8.65,8.65,25851300,8.28,8.65,8.1,8.65,1.0,8.65,8.1,0,25851300,50590,215862934.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-07-03,RAIL3,RAIL3,8.66,9.0,8.54,8.8,8.8,21811800,8.66,9.0,8.54,8.8,1.0,9.0,8.54,0,21811800,43907,191774404.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-07-10,RAIL3,RAIL3,8.82,9.68,8.67,9.59,9.59,37555700,8.82,9.68,8.67,9.59,1.0,9.68,8.67,0,37555700,53386,346763701.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-07-17,RAIL3,RAIL3,9.55,9.95,9.32,9.95,9.95,26760500,9.55,9.95,9.32,9.95,1.0,9.95,9.32,0,26760500,35350,257192955.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-07-24,RAIL3,RAIL3,9.97,10.42,9.87,10.42,10.42,32191300,9.97,10.42,9.87,10.42,1.0,10.42,9.87,0,32191300,48224,327126688.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-07-31,RAIL3,RAIL3,10.42,10.97,10.13,10.83,10.83,44770900,10.42,10.97,10.13,10.83,1.0,10.97,10.13,0,44770900,80601,472470804.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-08-07,RAIL3,RAIL3,10.84,10.95,10.15,10.38,10.38,27217000,10.84,10.95,10.15,10.38,1.0,10.95,10.15,0,27217000,51975,290262449.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-08-14,RAIL3,RAIL3,10.4,10.5,10.01,10.23,10.23,30476000,10.4,10.5,10.01,10.23,1.0,10.5,10.01,0,30476000,89558,311617261.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-08-21,RAIL3,RAIL3,10.25,10.58,9.82,10.32,10.32,30025600,10.25,10.58,9.82,10.32,1.0,10.58,9.82,0,30025600,63729,309129088.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-08-28,RAIL3,RAIL3,10.3,10.53,10.17,10.35,10.35,31723300,10.3,10.53,10.17,10.35,1.0,10.53,10.17,0,31723300,42342,328849040.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-09-04,RAIL3,RAIL3,10.31,10.37,9.35,9.86,9.86,57816900,10.31,10.37,9.35,9.86,1.0,10.37,9.35,0,57816900,88291,569345534.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-09-11,RAIL3,RAIL3,9.87,10.25,9.73,10.2,10.2,42355300,9.87,10.25,9.73,10.2,1.0,10.25,9.73,0,42355300,57573,421290180.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-09-18,RAIL3,RAIL3,10.3,11.08,10.11,10.84,10.84,85236000,10.3,11.08,10.11,10.84,1.0,11.08,10.11,0,85236000,105282,898725584.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-09-25,RAIL3,RAIL3,10.85,12.14,10.85,12.09,12.09,77841900,10.85,12.14,10.85,12.09,1.0,12.14,10.85,0,77841900,93979,887998534.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-10-02,RAIL3,RAIL3,12.01,12.95,11.91,12.15,12.15,81686800,12.01,12.95,11.91,12.15,1.0,12.95,11.91,0,81686800,111537,1010799654.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-10-09,RAIL3,RAIL3,12.2,13.2,12.12,13.08,13.08,82663400,12.2,13.2,12.12,13.08,1.0,13.2,12.12,0,82663400,84294,1064278939.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-10-16,RAIL3,RAIL3,13.12,13.55,12.9,13.52,13.52,60519900,13.12,13.55,12.9,13.52,1.0,13.55,12.9,0,60519900,78156,795801554.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-10-23,RAIL3,RAIL3,13.55,13.57,12.75,13.27,13.27,36197100,13.55,13.57,12.75,13.27,1.0,13.57,12.75,0,36197100,64252,480685020.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-10-30,RAIL3,RAIL3,13.27,13.27,12.12,12.3,12.3,50624900,13.27,13.27,12.12,12.3,1.0,13.27,12.12,0,50624900,97139,634710712.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-11-06,RAIL3,RAIL3,12.3,12.76,11.45,11.45,11.45,39620000,12.3,12.76,11.45,11.45,1.0,12.76,11.45,0,39620000,89113,480206929.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
2017-11-13,RAIL3,RAIL3,11.53,12.54,11.07,12.25,12.25,30933100,11.53,12.54,11.07,12.25,1.0,12.54,11.07,0,30933100,65808,370409352.0,1,02,010,BRRAILACNOR9,100,ON      NM,RUMO S.A.
