date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,RENT3,RENT3,9.869830034130901,10.219204548613412,9.823246765533234,10.172621280015742,10.172621280015742,1901314,33.9,35.1,33.74,34.94,0.2911454287354248,35.1,33.74,0,553559,3907,19163946.01,1,02,010,BRRENTACNOR4,160,ON  EJ  NM,LOCALIZA,859,53,29408.01,consolidated_010_020
2017-01-03,RENT3,RENT3,10.265787817211079,10.612250877406236,10.175532734303099,10.600605060256816,10.600605060256816,4032401,35.26,36.45,34.95,36.41,0.2911454287354248,36.45,34.95,0,1174015,8459,42139803.42,1,02,010,BRRENTACNOR4,160,ON  EJ  NM,LOCALIZA,1515,51,54464.42,consolidated_010_020
2017-01-04,RENT3,RENT3,10.495792705912065,10.810229768946325,10.428829257302917,10.769469408923365,10.769469408923365,3898306,36.05,37.13,35.82,36.99,0.2911454287354248,37.13,35.82,0,1134974,7225,41579461.39,1,02,010,BRRENTACNOR4,160,ON  EJ  NM,LOCALIZA,974,48,35889.39,consolidated_010_020
2017-01-05,RENT3,RENT3,10.859724491831345,10.865547400406054,10.519084340210899,10.606427968831525,10.606427968831525,3120461,37.3,37.32,36.13,36.43,0.2911454287354248,37.32,36.13,0,908508,5847,33205476.28,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1308,52,47846.28,consolidated_010_020
2017-01-06,RENT3,RENT3,10.606427968831525,10.606427968831525,10.440475074452333,10.603516514544172,10.603516514544172,2004689,36.43,36.43,35.86,36.42,0.2911454287354248,36.43,35.86,0,583656,4595,21137178.48,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,956,31,34573.48,consolidated_010_020
2017-01-09,RENT3,RENT3,10.658834146003903,11.078083563382913,10.53946452022238,10.728709048900404,10.728709048900404,5067646,36.61,38.05,36.2,36.85,0.2911454287354248,38.05,36.2,0,1475422,8878,54891704.01,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,2222,90,82575.01,consolidated_010_020
2017-01-10,RENT3,RENT3,10.813141223233679,10.848078674681927,10.597693605969463,10.641365420279776,10.641365420279776,7383527,37.14,37.26,36.4,36.55,0.2911454287354248,37.26,36.4,0,2149680,4980,79295853.69,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,2080,49,76511.69,consolidated_010_020
2017-01-11,RENT3,RENT3,10.620985240268297,10.72579759461305,10.379334534417895,10.594782151682109,10.594782151682109,3437176,36.48,36.84,35.65,36.39,0.2911454287354248,36.84,35.65,0,1000718,6598,36193642.96,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1118,39,40350.96,consolidated_010_020
2017-01-12,RENT3,RENT3,10.987828480474933,11.444926803589551,10.947068120451974,11.354671720681567,11.354671720681567,12316161,37.74,39.31,37.6,39.0,0.2911454287354248,39.31,37.6,0,3585794,11832,138884595.17,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,3494,98,135524.17,consolidated_010_020
2017-01-13,RENT3,RENT3,11.299354089221838,11.340114449244798,10.97909411761287,11.124666831980582,11.124666831980582,5531610,38.81,38.95,37.71,38.21,0.2911454287354248,38.95,37.71,0,1610503,7595,61524340.22,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1803,63,68649.22,consolidated_010_020
2017-01-16,RENT3,RENT3,11.15086992056677,11.206187552026503,10.982005571900224,11.057703383371434,11.057703383371434,2173505,38.3,38.49,37.72,37.98,0.2911454287354248,38.49,37.72,0,632806,1844,24086709.58,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,406,24,15509.58,consolidated_010_020
2017-01-17,RENT3,RENT3,11.0344117490726,11.107198106256456,10.90339630614166,10.990739934762287,10.990739934762287,5072874,37.9,38.15,37.45,37.75,0.2911454287354248,38.15,37.45,0,1476944,8553,55735714.27,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,944,33,35567.27,consolidated_010_020
2017-01-18,RENT3,RENT3,11.031500294785246,11.051880474796727,10.609339423118879,10.699594506026862,10.699594506026862,5178821,37.89,37.96,36.44,36.75,0.2911454287354248,37.96,36.44,0,1507790,8344,55562424.46,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1790,70,65918.46,consolidated_010_020
2017-01-19,RENT3,RENT3,10.749089228911885,10.865547400406054,10.504527068774127,10.772380863210719,10.772380863210719,5050778,36.92,37.32,36.08,37.0,0.2911454287354248,37.32,36.08,0,1470511,9411,53970101.43,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1511,56,55620.43,consolidated_010_020
2017-01-20,RENT3,RENT3,10.845167220394574,10.874281763268117,10.562756154521212,10.728709048900404,10.728709048900404,5154709,37.25,37.35,36.28,36.85,0.2911454287354248,37.35,36.28,0,1500770,6583,55087866.6,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,770,26,28222.6,consolidated_010_020
2017-01-23,RENT3,RENT3,10.728709048900404,10.830609948957804,10.565667608808566,10.626808148843006,10.626808148843006,8314652,36.85,37.2,36.29,36.5,0.2911454287354248,37.2,36.29,0,2420773,8140,88665296.61,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1973,53,72300.61,consolidated_010_020
2017-01-24,RENT3,RENT3,10.612250877406236,11.147958466279416,10.562756154521212,10.947068120451974,10.947068120451974,8037327,36.45,38.29,36.28,37.6,0.2911454287354248,38.29,36.28,0,2340031,10808,87844999.16,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,2031,58,76485.16,consolidated_010_020
2017-01-26,RENT3,RENT3,11.005297206199057,11.40416644356659,11.005297206199057,11.194541734877085,11.194541734877085,8205477,37.8,39.17,37.8,38.45,0.2911454287354248,39.17,37.8,0,2388987,11457,92155657.23,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1687,57,65071.23,consolidated_010_020
2017-01-27,RENT3,RENT3,11.209099006313856,11.235302094900044,10.95289102902668,11.063526291946143,11.063526291946143,3025193,38.5,38.59,37.62,38.0,0.2911454287354248,38.59,37.62,0,880771,5104,33399586.5,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1071,38,40611.5,consolidated_010_020
2017-01-30,RENT3,RENT3,10.967448300463454,10.97909411761287,10.626808148843006,10.702505960314216,10.702505960314216,2750588,37.67,37.71,36.5,36.76,0.2911454287354248,37.71,36.5,0,800821,4194,29549436.23,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1221,59,44901.23,consolidated_010_020
2017-01-31,RENT3,RENT3,10.612250877406236,10.909219214716368,10.524907248785606,10.728709048900404,10.728709048900404,3239460,36.45,37.47,36.15,36.85,0.2911454287354248,37.47,36.15,0,943154,7187,34585317.12,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,954,35,35117.12,consolidated_010_020
2017-02-01,RENT3,RENT3,10.859724491831345,11.0344117490726,10.784026680360135,11.025677386210537,11.025677386210537,4538443,37.3,37.9,37.04,37.87,0.2911454287354248,37.9,37.04,0,1321347,8581,49595341.96,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1247,42,46880.96,consolidated_010_020
2017-02-02,RENT3,RENT3,11.016943023348476,11.389609172129818,10.824787040383095,11.360494629256277,11.360494629256277,5039475,37.84,39.12,37.18,39.02,0.2911454287354248,39.12,37.18,0,1467220,9045,56432592.19,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,2220,72,85587.19,consolidated_010_020
2017-02-03,RENT3,RENT3,11.325557177808024,11.351760266394214,10.88301612613018,11.139224103417353,11.139224103417353,8260961,38.9,38.99,37.38,38.26,0.2911454287354248,38.99,37.38,0,2405141,11634,91147434.17,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,3541,105,134158.17,consolidated_010_020
2017-02-06,RENT3,RENT3,11.19163028058973,11.19163028058973,10.699594506026862,10.699594506026862,10.699594506026862,6050718,38.44,38.44,36.75,36.75,0.2911454287354248,38.44,36.75,0,1761639,9460,65256227.08,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1739,64,64348.08,consolidated_010_020
2017-02-07,RENT3,RENT3,10.789849588934844,11.011120114773767,10.650099783141838,10.990739934762287,10.990739934762287,3996429,37.06,37.82,36.58,37.75,0.2911454287354248,37.82,36.58,0,1163542,5500,43267467.53,1,02,010,BRRENTACNOR4,160,ON      NM,LOCALIZA,1742,67,65031.53,consolidated_010_020
