date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,SANB11,SANB11,29.53,30.69,28.92,29.33,29.33,4966600,29.53,30.69,28.92,29.33,1.0,30.69,28.92,0,4966600,25211,148567437.0,1,02,010,BRSANBCDAM13,132,UNT EDJ,SANTANDER BR
2017-01-09,SANB11,SANB11,29.03,31.69,28.6,31.27,31.27,6723900,29.03,31.69,28.6,31.27,1.0,31.69,28.6,0,6723900,29373,203306515.0,1,02,010,BRSANBCDAM13,132,UNT EDJ,SANTANDER BR
2017-01-16,SANB11,SANB11,31.41,32.69,30.2,30.84,30.84,6329500,31.41,32.69,30.2,30.84,1.0,32.69,30.2,0,6329500,28694,199081417.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-01-23,SANB11,SANB11,31.08,32.2,30.88,31.61,31.61,4022800,31.08,32.2,30.88,31.61,1.0,32.2,30.88,0,4022800,18917,126931316.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-01-30,SANB11,SANB11,31.61,32.55,30.4,32.29,32.29,3705900,31.61,32.55,30.4,32.29,1.0,32.55,30.4,0,3705900,19643,117585869.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-02-06,SANB11,SANB11,32.45,34.74,31.19,34.49,34.49,5096900,32.45,34.74,31.19,34.49,1.0,34.74,31.19,0,5096900,24201,166711187.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-02-13,SANB11,SANB11,34.69,36.13,34.22,34.56,34.56,7101200,34.69,36.13,34.22,34.56,1.0,36.13,34.22,0,7101200,34339,249122931.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-02-20,SANB11,SANB11,34.24,35.93,33.81,34.36,34.36,6711400,34.24,35.93,33.81,34.36,1.0,35.93,33.81,0,6711400,25208,232715300.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-03-01,SANB11,SANB11,34.93,35.06,33.86,34.71,34.71,3674400,34.93,35.06,33.86,34.71,1.0,35.06,33.86,0,3674400,19544,126512081.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-03-06,SANB11,SANB11,34.4,35.09,31.49,31.68,31.68,7197600,34.4,35.09,31.49,31.68,1.0,35.09,31.49,0,7197600,31988,236695519.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-03-13,SANB11,SANB11,31.83,32.88,31.15,31.15,31.15,8151200,31.83,32.88,31.15,31.15,1.0,32.88,31.15,0,8151200,35049,259980130.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-03-20,SANB11,SANB11,30.96,32.29,30.16,30.7,30.7,8471400,30.96,32.29,30.16,30.7,1.0,32.29,30.16,0,8471400,39708,260977416.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
2017-03-27,SANB11,SANB11,30.7,30.9,27.42,27.65,27.65,15543500,30.7,30.9,27.42,27.65,1.0,30.9,27.42,0,15543500,67046,442812557.0,1,02,010,BRSANBCDAM13,132,UNT,SANTANDER BR
