date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-11-10,SUZB3,SUZB3,21.12,21.32,19.8,20.56,20.56,2196310,21.12,21.32,19.8,20.56,1.0,21.32,19.8,0,2196310,6738,44302599.14,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,810,33,16567.14,consolidated_010_020
2017-11-13,SUZB3,SUZB3,20.44,20.44,19.67,20.14,20.14,2408139,20.44,20.44,19.67,20.14,1.0,20.44,19.67,0,2408139,7802,47975716.82,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,839,36,16707.82,consolidated_010_020
2017-11-14,SUZB3,SUZB3,20.27,20.27,19.01,19.7,19.7,3745177,20.27,20.27,19.01,19.7,1.0,20.27,19.01,0,3745177,11755,73116323.02,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,1277,55,24884.02,consolidated_010_020
2017-11-16,SUZB3,SUZB3,19.64,20.18,19.58,20.0,20.0,2808296,19.64,20.18,19.58,20.0,1.0,20.18,19.58,0,2808296,10670,56096377.41,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,1496,54,29831.41,consolidated_010_020
2017-11-17,SUZB3,SUZB3,20.19,20.45,19.96,20.39,20.39,1773043,20.19,20.45,19.96,20.39,1.0,20.45,19.96,0,1773043,7297,35826404.61,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,1043,38,21015.61,consolidated_010_020
2017-11-21,SUZB3,SUZB3,20.38,20.93,20.17,20.6,20.6,2764765,20.38,20.93,20.17,20.6,1.0,20.93,20.17,0,2764765,10269,57204780.11,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,1365,61,28292.11,consolidated_010_020
2017-11-22,SUZB3,SUZB3,20.56,20.6,19.76,19.8,19.8,3062785,20.56,20.6,19.76,19.8,1.0,20.6,19.76,0,3062785,11467,61474231.83,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,1485,53,29990.83,consolidated_010_020
2017-11-23,SUZB3,SUZB3,19.86,19.95,19.5,19.52,19.52,3540891,19.86,19.95,19.5,19.52,1.0,19.95,19.5,0,3540891,6852,69506032.38,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,1291,43,25412.38,consolidated_010_020
2017-11-24,SUZB3,SUZB3,19.42,19.61,19.08,19.35,19.35,2034831,19.42,19.61,19.08,19.35,1.0,19.61,19.08,0,2034831,6412,39384012.33,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,1531,52,29845.33,consolidated_010_020
2017-11-27,SUZB3,SUZB3,19.19,19.34,18.91,19.13,19.13,1614833,19.19,19.34,18.91,19.13,1.0,19.34,18.91,0,1614833,6468,30863726.1,1,02,010,BRSUZBACNOR0,121,ON      NM,SUZANO PAPEL,1233,53,23558.1,consolidated_010_020
