date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,TAEE11,TAEE11,20.71,21.4,20.6,21.4,21.4,572300,20.71,21.4,20.6,21.4,1.0,21.4,20.6,0,572300,1981,12066849.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-03,TAEE11,TAEE11,21.43,21.49,21.06,21.44,21.44,1292700,21.43,21.49,21.06,21.44,1.0,21.49,21.06,0,1292700,5729,27501844.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-04,TAEE11,TAEE11,21.41,21.45,21.07,21.25,21.25,1173400,21.41,21.45,21.07,21.25,1.0,21.45,21.07,0,1173400,6901,24922296.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-05,TAEE11,TAEE11,21.21,21.46,20.95,21.35,21.35,1069600,21.21,21.46,20.95,21.35,1.0,21.46,20.95,0,1069600,5661,22738843.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-06,TAEE11,TAEE11,21.26,21.41,21.17,21.17,21.17,574100,21.26,21.41,21.17,21.17,1.0,21.41,21.17,0,574100,2626,12218407.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-09,TAEE11,TAEE11,21.25,21.26,20.53,20.79,20.79,1170600,21.25,21.26,20.53,20.79,1.0,21.26,20.53,0,1170600,5934,24360779.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-10,TAEE11,TAEE11,20.89,21.37,20.65,21.37,21.37,2158300,20.89,21.37,20.65,21.37,1.0,21.37,20.65,0,2158300,8012,45616334.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-11,TAEE11,TAEE11,21.37,21.77,21.06,21.06,21.06,1361300,21.37,21.77,21.06,21.06,1.0,21.77,21.06,0,1361300,7539,29041976.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-12,TAEE11,TAEE11,21.59,21.63,21.22,21.58,21.58,1966000,21.59,21.63,21.22,21.58,1.0,21.63,21.22,0,1966000,10506,42153042.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-13,TAEE11,TAEE11,21.59,22.01,21.4,21.94,21.94,1846800,21.59,22.01,21.4,21.94,1.0,22.01,21.4,0,1846800,9495,40334653.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-16,TAEE11,TAEE11,22.04,22.14,21.42,21.9,21.9,1055100,22.04,22.14,21.42,21.9,1.0,22.14,21.42,0,1055100,4705,23072101.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-17,TAEE11,TAEE11,22.0,22.0,21.77,21.95,21.95,986600,22.0,22.0,21.77,21.95,1.0,22.0,21.77,0,986600,5119,21607340.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-18,TAEE11,TAEE11,21.95,22.2,21.9,22.1,22.1,819400,21.95,22.2,21.9,22.1,1.0,22.2,21.9,0,819400,2695,18118900.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-19,TAEE11,TAEE11,22.1,22.29,21.71,21.78,21.78,878700,22.1,22.29,21.71,21.78,1.0,22.29,21.71,0,878700,4305,19248371.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-20,TAEE11,TAEE11,21.75,22.16,21.75,22.0,22.0,1044100,21.75,22.16,21.75,22.0,1.0,22.16,21.75,0,1044100,4735,22961099.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-23,TAEE11,TAEE11,22.0,22.0,21.55,21.7,21.7,2210200,22.0,22.0,21.55,21.7,1.0,22.0,21.55,0,2210200,6289,47941653.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-24,TAEE11,TAEE11,21.73,21.98,21.66,21.76,21.76,1904500,21.73,21.98,21.66,21.76,1.0,21.98,21.66,0,1904500,3661,41556114.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-26,TAEE11,TAEE11,21.84,21.98,21.82,21.85,21.85,1594000,21.84,21.98,21.82,21.85,1.0,21.98,21.82,0,1594000,3704,34884492.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-27,TAEE11,TAEE11,21.9,22.18,21.78,22.01,22.01,1364600,21.9,22.18,21.78,22.01,1.0,22.18,21.78,0,1364600,4893,30012929.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-30,TAEE11,TAEE11,22.01,22.04,21.35,21.65,21.65,988200,22.01,22.04,21.35,21.65,1.0,22.04,21.35,0,988200,4914,21278520.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-01-31,TAEE11,TAEE11,21.65,21.75,21.26,21.46,21.46,1001500,21.65,21.75,21.26,21.46,1.0,21.75,21.26,0,1001500,4682,21540324.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-01,TAEE11,TAEE11,21.6,21.82,21.45,21.75,21.75,1509600,21.6,21.82,21.45,21.75,1.0,21.82,21.45,0,1509600,4910,32655620.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-02,TAEE11,TAEE11,21.73,22.09,21.52,21.93,21.93,1052400,21.73,22.09,21.52,21.93,1.0,22.09,21.52,0,1052400,3974,23020971.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-03,TAEE11,TAEE11,22.1,22.13,21.93,21.97,21.97,707000,22.1,22.13,21.93,21.97,1.0,22.13,21.93,0,707000,3757,15575462.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-06,TAEE11,TAEE11,21.95,21.95,21.52,21.69,21.69,1061800,21.95,21.95,21.52,21.69,1.0,21.95,21.52,0,1061800,5724,23005675.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-07,TAEE11,TAEE11,21.74,21.83,21.5,21.55,21.55,748100,21.74,21.83,21.5,21.55,1.0,21.83,21.5,0,748100,3011,16131543.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-08,TAEE11,TAEE11,21.55,21.67,20.96,21.28,21.28,1149500,21.55,21.67,20.96,21.28,1.0,21.67,20.96,0,1149500,4906,24508901.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-09,TAEE11,TAEE11,21.21,21.44,21.1,21.32,21.32,1408600,21.21,21.44,21.1,21.32,1.0,21.44,21.1,0,1408600,4696,29885826.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-10,TAEE11,TAEE11,21.3,21.44,21.04,21.3,21.3,1474000,21.3,21.44,21.04,21.3,1.0,21.44,21.04,0,1474000,8105,31329801.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-13,TAEE11,TAEE11,21.3,22.0,21.23,21.86,21.86,1680200,21.3,22.0,21.23,21.86,1.0,22.0,21.23,0,1680200,9150,36247860.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-14,TAEE11,TAEE11,21.99,22.09,21.4,21.45,21.45,1402100,21.99,22.09,21.4,21.45,1.0,22.09,21.4,0,1402100,7947,30223387.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-15,TAEE11,TAEE11,21.5,21.71,21.45,21.54,21.54,1371700,21.5,21.71,21.45,21.54,1.0,21.71,21.45,0,1371700,7754,29591417.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-16,TAEE11,TAEE11,21.54,21.96,21.5,21.83,21.83,1282800,21.54,21.96,21.5,21.83,1.0,21.96,21.5,0,1282800,7939,27823189.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-17,TAEE11,TAEE11,21.83,22.46,21.72,22.07,22.07,1696200,21.83,22.46,21.72,22.07,1.0,22.46,21.72,0,1696200,10234,37366462.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-20,TAEE11,TAEE11,22.3,22.4,22.13,22.13,22.13,740200,22.3,22.4,22.13,22.13,1.0,22.4,22.13,0,740200,3868,16451163.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-21,TAEE11,TAEE11,22.3,22.32,21.85,22.05,22.05,982000,22.3,22.32,21.85,22.05,1.0,22.32,21.85,0,982000,5454,21622051.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-22,TAEE11,TAEE11,22.12,22.4,22.08,22.19,22.19,1140700,22.12,22.4,22.08,22.19,1.0,22.4,22.08,0,1140700,5091,25322484.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-23,TAEE11,TAEE11,22.29,22.38,21.73,22.05,22.05,1287600,22.29,22.38,21.73,22.05,1.0,22.38,21.73,0,1287600,7350,28474727.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-02-24,TAEE11,TAEE11,21.9,22.15,21.74,22.01,22.01,674400,21.9,22.15,21.74,22.01,1.0,22.15,21.74,0,674400,3126,14869993.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-03-01,TAEE11,TAEE11,22.01,22.82,22.01,22.82,22.82,1679500,22.01,22.82,22.01,22.82,1.0,22.82,22.01,0,1679500,9794,37918548.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
2017-03-02,TAEE11,TAEE11,22.86,23.15,22.59,22.59,22.59,2221100,22.86,23.15,22.59,22.59,1.0,23.15,22.59,0,2221100,9752,50730504.0,1,02,010,BRTAEECDAM10,114,UNT     N2,TAESA
