date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name,fractional_raw_volume,fractional_trades,fractional_financial_volume,volume_scope
2017-01-02,USIM5,USIM5,4.1,4.15,4.05,4.08,4.08,4124889,4.1,4.15,4.05,4.08,1.0,4.15,4.05,0,4124889,2273,16896653.62,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,1689,88,6938.62,consolidated_010_020
2017-01-03,USIM5,USIM5,4.15,4.29,4.15,4.29,4.29,16891998,4.15,4.29,4.15,4.29,1.0,4.29,4.15,0,16891998,7626,71363787.11,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,2298,104,9692.11,consolidated_010_020
2017-01-04,USIM5,USIM5,4.28,4.55,4.22,4.55,4.55,33951160,4.28,4.55,4.22,4.55,1.0,4.55,4.22,0,33951160,19984,150944762.06,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,4960,177,21998.06,consolidated_010_020
2017-01-05,USIM5,USIM5,4.57,4.66,4.51,4.6,4.6,15350598,4.57,4.66,4.51,4.6,1.0,4.66,4.51,0,15350598,7255,70642348.5,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,2498,113,11502.5,consolidated_010_020
2017-01-06,USIM5,USIM5,4.58,4.58,4.38,4.47,4.47,16018704,4.58,4.58,4.38,4.47,1.0,4.58,4.38,0,16018704,9940,71259085.34,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,2904,108,12927.34,consolidated_010_020
2017-01-09,USIM5,USIM5,4.54,4.63,4.5,4.5,4.5,14405349,4.54,4.63,4.5,4.5,1.0,4.63,4.5,0,14405349,13122,65871260.72,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,2449,97,11211.72,consolidated_010_020
2017-01-10,USIM5,USIM5,4.62,4.63,4.48,4.52,4.52,11349571,4.62,4.63,4.48,4.52,1.0,4.63,4.48,0,11349571,5054,51646965.06,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,1871,89,8541.06,consolidated_010_020
2017-01-11,USIM5,USIM5,4.43,4.44,4.25,4.43,4.43,39685586,4.43,4.44,4.25,4.43,1.0,4.44,4.25,0,39685586,16724,172444783.04,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,4086,130,17747.04,consolidated_010_020
2017-01-12,USIM5,USIM5,4.55,4.6,4.5,4.54,4.54,20099913,4.55,4.6,4.5,4.54,1.0,4.6,4.5,0,20099913,18477,91469962.83,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,3013,121,13703.83,consolidated_010_020
2017-01-13,USIM5,USIM5,4.49,4.57,4.48,4.55,4.55,10672375,4.49,4.57,4.48,4.55,1.0,4.57,4.48,0,10672375,10020,48413418.97,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,1675,75,7585.97,consolidated_010_020
2017-01-16,USIM5,USIM5,4.57,4.78,4.55,4.78,4.78,21883553,4.57,4.78,4.55,4.78,1.0,4.78,4.55,0,21883553,8592,102765005.38,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,3853,159,18042.38,consolidated_010_020
2017-01-17,USIM5,USIM5,4.78,4.83,4.64,4.72,4.72,18156933,4.78,4.83,4.64,4.72,1.0,4.83,4.64,0,18156933,8456,86153568.22,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,2533,101,12033.22,consolidated_010_020
2017-01-18,USIM5,USIM5,4.79,4.91,4.57,4.63,4.63,24104909,4.79,4.91,4.57,4.63,1.0,4.91,4.57,0,24104909,10198,115720104.95,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,4009,151,19300.95,consolidated_010_020
2017-01-19,USIM5,USIM5,4.68,4.7,4.52,4.58,4.58,12859388,4.68,4.7,4.52,4.58,1.0,4.7,4.52,0,12859388,9698,59322786.16,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,2688,92,12381.16,consolidated_010_020
2017-01-20,USIM5,USIM5,4.57,4.82,4.56,4.82,4.82,18608146,4.57,4.82,4.56,4.82,1.0,4.82,4.56,0,18608146,12726,87792410.72,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,4246,142,20058.72,consolidated_010_020
2017-01-23,USIM5,USIM5,4.85,5.22,4.85,5.22,5.22,31565263,4.85,5.22,4.85,5.22,1.0,5.22,4.85,0,31565263,33065,160251015.18,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS,7663,322,38896.18,consolidated_010_020
