date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,USIM5,USIM5,4.1,4.66,4.05,4.47,4.47,86323000,4.1,4.66,4.05,4.47,1.0,4.66,4.05,0,86323000,46488,381043578.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-01-09,USIM5,USIM5,4.54,4.63,4.25,4.55,4.55,96199700,4.54,4.63,4.25,4.55,1.0,4.63,4.25,0,96199700,62885,429787601.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-01-16,USIM5,USIM5,4.57,4.91,4.52,4.82,4.82,95595600,4.57,4.91,4.52,4.82,1.0,4.91,4.52,0,95595600,49025,451672059.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-01-23,USIM5,USIM5,4.85,5.38,4.85,5.19,5.19,91876700,4.85,5.38,4.85,5.19,1.0,5.38,4.85,0,91876700,71328,470847079.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-01-30,USIM5,USIM5,5.1,5.41,4.98,5.19,5.19,73642400,5.1,5.41,4.98,5.19,1.0,5.41,4.98,0,73642400,48194,383550759.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-02-06,USIM5,USIM5,5.2,5.4,4.99,5.37,5.37,59402100,5.2,5.4,4.99,5.37,1.0,5.4,4.99,0,59402100,51219,307667065.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-02-13,USIM5,USIM5,5.54,5.62,5.32,5.45,5.45,66947600,5.54,5.62,5.32,5.45,1.0,5.62,5.32,0,66947600,49795,366805647.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-02-20,USIM5,USIM5,5.51,5.57,4.83,4.93,4.93,80267400,5.51,5.57,4.83,4.93,1.0,5.57,4.83,0,80267400,63798,419087574.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-03-01,USIM5,USIM5,5.03,5.19,4.91,5.19,5.19,38115300,5.03,5.19,4.91,5.19,1.0,5.19,4.91,0,38115300,30017,190968103.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-03-06,USIM5,USIM5,5.25,5.31,4.57,4.64,4.64,90153000,5.25,5.31,4.57,4.64,1.0,5.31,4.57,0,90153000,57829,445650724.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-03-13,USIM5,USIM5,4.76,5.02,4.43,4.43,4.43,77505700,4.76,5.02,4.43,4.43,1.0,5.02,4.43,0,77505700,54263,362677882.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-03-20,USIM5,USIM5,4.4,4.51,3.98,4.05,4.05,77881600,4.4,4.51,3.98,4.05,1.0,4.51,3.98,0,77881600,53276,327973854.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-03-27,USIM5,USIM5,3.93,4.51,3.91,4.44,4.44,79822400,3.93,4.51,3.91,4.44,1.0,4.51,3.91,0,79822400,55436,346686924.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-04-03,USIM5,USIM5,4.46,4.48,3.84,4.02,4.02,67601800,4.46,4.48,3.84,4.02,1.0,4.48,3.84,0,67601800,45364,280912462.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-04-10,USIM5,USIM5,4.1,4.13,3.65,3.7,3.7,63695400,4.1,4.13,3.65,3.7,1.0,4.13,3.65,0,63695400,41687,247993129.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-04-17,USIM5,USIM5,3.77,4.19,3.77,4.04,4.04,92355500,3.77,4.19,3.77,4.04,1.0,4.19,3.77,0,92355500,51703,370937730.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-04-24,USIM5,USIM5,4.12,4.35,3.97,4.26,4.26,96047200,4.12,4.35,3.97,4.26,1.0,4.35,3.97,0,96047200,50443,399242034.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-05-02,USIM5,USIM5,4.34,4.44,3.97,4.18,4.18,72226800,4.34,4.44,3.97,4.18,1.0,4.44,3.97,0,72226800,44898,303856855.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
2017-05-08,USIM5,USIM5,4.14,4.35,4.07,4.14,4.14,60628900,4.14,4.35,4.07,4.14,1.0,4.35,4.07,0,60628900,38028,256043282.0,1,02,010,BRUSIMACNPA6,157,PNA     N1,USIMINAS
