date,ticker,source_symbol,dividend,split_ratio
2019-06-03,LOGG3,LOGG3.SA,0.139977,1.0
2020-05-20,LOGG3,LOGG3.SA,0.211742,1.0
2021-03-08,LOGG3,LOGG3.SA,0.325427,1.0
2022-02-15,LOGG3,LOGG3.SA,0.866635,1.0
2023-02-14,LOGG3,LOGG3.SA,0.917768,1.0
2024-02-14,LOGG3,LOGG3.SA,0.697624,1.0
2024-12-11,LOGG3,LOGG3.SA,1.717672,1.0
2025-05-06,LOGG3,LOGG3.SA,0.235626,1.0
2025-08-11,LOGG3,LOGG3.SA,0.23739,1.0
2025-11-11,LOGG3,LOGG3.SA,0.303718,1.0
2025-12-19,LOGG3,LOGG3.SA,3.187604,1.0
2026-05-14,LOGG3,LOGG3.SA,0.364167,1.0
2026-06-12,LOGG3,LOGG3.SA,2.859947,1.0
