date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2013-04-29,BBSE3,BBSE3,17.35,17.85,16.1,17.1625,17.1625,141621200,17.35,17.85,16.1,17.1625,1.0,17.85,16.1,0,141621200,105044,2391660454.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-05-06,BBSE3,BBSE3,17.25625,17.99,17.25625,17.737499999999997,17.737499999999997,54260700,17.25625,17.99,17.25625,17.737499999999997,1.0,17.99,17.25625,0,54260700,50488,963691411.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-05-13,BBSE3,BBSE3,17.496875,18.9,17.41,18.2375,18.2375,106313600,17.496875,18.9,17.41,18.2375,1.0,18.9,17.41,0,106313600,77049,1912174454.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-05-20,BBSE3,BBSE3,17.8671875,18.76,17.6,18.285,18.285,24417800,17.8671875,18.76,17.6,18.285,1.0,18.76,17.6,0,24417800,49348,441532605.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-05-27,BBSE3,BBSE3,18.07609375,18.47,17.72,18.1425,18.1425,21553800,18.07609375,18.47,17.72,18.1425,1.0,18.47,17.72,0,21553800,36918,391108746.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-06-03,BBSE3,BBSE3,18.109296875,18.44,17.52,18.055,18.055,31865900,18.109296875,18.44,17.52,18.055,1.0,18.44,17.52,0,31865900,50709,570378897.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-06-10,BBSE3,BBSE3,18.0821484375,18.3,16.5,17.6625,17.6625,27222100,18.0821484375,18.3,16.5,17.6625,1.0,18.3,16.5,0,27222100,46115,483391658.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-06-17,BBSE3,BBSE3,17.872324218750002,18.2,16.7,17.61,17.61,31254000,17.872324218750002,18.2,16.7,17.61,1.0,18.2,16.7,0,31254000,50504,547507806.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-06-24,BBSE3,BBSE3,17.741162109375,17.84,15.98,17.119999999999997,17.119999999999997,34536200,17.741162109375,17.84,15.98,17.119999999999997,1.0,17.84,15.98,0,34536200,52912,582541695.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-07-01,BBSE3,BBSE3,17.4305810546875,17.92,16.8,17.450000000000003,17.450000000000003,25119700,17.4305810546875,17.92,16.8,17.450000000000003,1.0,17.92,16.8,0,25119700,50402,439124337.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-07-08,BBSE3,BBSE3,17.440290527343752,18.08,17.440290527343752,17.72,17.72,15972000,17.440290527343752,18.08,17.440290527343752,17.72,1.0,18.08,17.440290527343752,0,15972000,38469,284143993.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-07-15,BBSE3,BBSE3,17.580145263671874,18.38,17.15,17.799999999999997,17.799999999999997,20687200,17.580145263671874,18.38,17.15,17.799999999999997,1.0,18.38,17.15,0,20687200,50592,365464795.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
2013-07-22,BBSE3,BBSE3,17.690072631835935,18.3,17.690072631835935,18.055,18.055,12243700,17.690072631835935,18.3,17.690072631835935,18.055,1.0,18.3,17.690072631835935,0,12243700,30444,220642577.0,1,02,010,BRBBSEACNOR5,100,ON      NM,BBSEGURIDADE
