date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2021-07-22,MLAS3,MLAS3,12.515,13.28,12.05,12.59,12.59,36165100,12.515,13.28,12.05,12.59,1.0,13.28,12.05,0,36165100,73787,453582451.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-07-26,MLAS3,MLAS3,12.5525,12.99,10.98,11.997499999999999,11.997499999999999,22139000,12.5525,12.99,10.98,11.997499999999999,1.0,12.99,10.98,0,22139000,37043,259379459.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-02,MLAS3,MLAS3,12.274999999999999,12.274999999999999,10.56,11.1175,11.1175,6989400,12.274999999999999,12.274999999999999,10.56,11.1175,1.0,12.274999999999999,10.56,0,6989400,17307,76515718.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-09,MLAS3,MLAS3,11.69625,11.69625,10.22,10.7475,10.7475,10751800,11.69625,11.69625,10.22,10.7475,1.0,11.69625,10.22,0,10751800,14911,113070882.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-16,MLAS3,MLAS3,11.221875,11.221875,8.15,9.585,9.585,31087900,11.221875,11.221875,8.15,9.585,1.0,11.221875,8.15,0,31087900,17093,279735476.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-23,MLAS3,MLAS3,10.4034375,10.4034375,8.8,9.252500000000001,9.252500000000001,5765200,10.4034375,10.4034375,8.8,9.252500000000001,1.0,10.4034375,8.8,0,5765200,8524,53398178.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-08-30,MLAS3,MLAS3,9.82796875,9.84,8.51,9.1175,9.1175,6337400,9.82796875,9.84,8.51,9.1175,1.0,9.84,8.51,0,6337400,16212,58313124.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-09-06,MLAS3,MLAS3,9.472734375,9.472734375,7.63,8.329999999999998,8.329999999999998,5952500,9.472734375,9.472734375,7.63,8.329999999999998,1.0,9.472734375,7.63,0,5952500,14042,48255796.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-09-13,MLAS3,MLAS3,8.9013671875,8.9013671875,7.32,7.9375,7.9375,12214900,8.9013671875,8.9013671875,7.32,7.9375,1.0,8.9013671875,7.32,0,12214900,12654,97046468.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-09-20,MLAS3,MLAS3,8.41943359375,8.41943359375,6.91,7.5200000000000005,7.5200000000000005,12448900,8.41943359375,8.41943359375,6.91,7.5200000000000005,1.0,8.41943359375,6.91,0,12448900,21874,92030651.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-09-27,MLAS3,MLAS3,7.969716796875,7.969716796875,7.12,7.67,7.67,9715300,7.969716796875,7.969716796875,7.12,7.67,1.0,7.969716796875,7.12,0,9715300,16459,71596682.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-10-04,MLAS3,MLAS3,7.8198583984375,8.3,6.91,7.710000000000001,7.710000000000001,37281400,7.8198583984375,8.3,6.91,7.710000000000001,1.0,8.3,6.91,0,37281400,41951,282040217.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-10-11,MLAS3,MLAS3,7.76492919921875,8.44,7.7,8.09,8.09,4381300,7.76492919921875,8.44,7.7,8.09,1.0,8.44,7.7,0,4381300,12457,35743863.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-10-18,MLAS3,MLAS3,7.927464599609375,8.27,6.53,7.4625,7.4625,13289500,7.927464599609375,8.27,6.53,7.4625,1.0,8.27,6.53,0,13289500,21173,96135629.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-10-25,MLAS3,MLAS3,7.694982299804687,7.694982299804687,6.27,6.72,6.72,13691100,7.694982299804687,7.694982299804687,6.27,6.72,1.0,7.694982299804687,6.27,0,13691100,16584,92172191.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-11-01,MLAS3,MLAS3,7.207491149902344,7.207491149902344,6.36,6.68,6.68,8557200,7.207491149902344,7.207491149902344,6.36,6.68,1.0,7.207491149902344,6.36,0,8557200,20558,56834961.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-11-08,MLAS3,MLAS3,6.943745574951172,7.57,6.5,7.075,7.075,8694400,6.943745574951172,7.57,6.5,7.075,1.0,7.57,6.5,0,8694400,24629,60418275.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-11-16,MLAS3,MLAS3,7.009372787475586,7.58,6.75,7.205,7.205,8392800,7.009372787475586,7.58,6.75,7.205,1.0,7.58,6.75,0,8392800,15392,58605977.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-11-22,MLAS3,MLAS3,7.107186393737793,7.45,6.79,7.125,7.125,7512400,7.107186393737793,7.45,6.79,7.125,1.0,7.45,6.79,0,7512400,19252,53188824.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2021-11-29,MLAS3,MLAS3,7.1160931968688965,7.5,6.22,7.015,7.015,18287700,7.1160931968688965,7.5,6.22,7.015,1.0,7.5,6.22,0,18287700,30513,124708672.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
