date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2003-01-06,TUPY3,TUPY3,4.455,4.455,4.455,4.455,4.455,1200,0.00891,0.00891,0.00891,0.00891,500.0,0.00891,0.00891,0,600000,3,5346.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-01-14,TUPY3,TUPY3,4.445,4.695,4.445,4.695,4.695,600,0.00889,0.00939,0.00889,0.00939,500.0,0.00939,0.00889,0,300000,3,2718.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-01-15,TUPY3,TUPY3,5.0,5.0,5.0,5.0,5.0,200,0.01,0.01,0.01,0.01,500.0,0.01,0.01,0,100000,1,1000.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-02-05,TUPY3,TUPY3,5.5,5.5,5.5,5.5,5.5,200,0.011,0.011,0.011,0.011,500.0,0.011,0.011,0,100000,1,1100.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-06-13,TUPY3,TUPY3,3.5,3.5,3.5,3.5,3.5,200,0.007,0.007,0.007,0.007,500.0,0.007,0.007,0,100000,1,700.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-07-01,TUPY3,TUPY3,3.25,3.25,3.25,3.25,3.25,2000,0.0065,0.0065,0.0065,0.0065,500.0,0.0065,0.0065,0,1000000,1,6500.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-07-18,TUPY3,TUPY3,3.245,3.245,3.245,3.245,3.245,510200,0.00649,0.00649,0.00649,0.00649,500.0,0.00649,0.00649,0,255100000,1,1655599.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-12-04,TUPY3,TUPY3,3.245,3.245,3.245,3.245,3.245,2400,0.00649,0.00649,0.00649,0.00649,500.0,0.00649,0.00649,0,1200000,3,7788.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-12-05,TUPY3,TUPY3,2.005,2.005,2.005,2.005,2.005,200,0.00401,0.00401,0.00401,0.00401,500.0,0.00401,0.00401,0,100000,1,401.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-12-08,TUPY3,TUPY3,2.75,2.75,2.75,2.75,2.75,1000,0.0055,0.0055,0.0055,0.0055,500.0,0.0055,0.0055,0,500000,1,2750.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-12-10,TUPY3,TUPY3,2.55,2.55,2.55,2.55,2.55,1000,0.0050999999999999995,0.0050999999999999995,0.0050999999999999995,0.0050999999999999995,500.0,0.0050999999999999995,0.0050999999999999995,0,500000,1,2550.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-12-15,TUPY3,TUPY3,2.75,2.75,2.75,2.75,2.75,1000,0.0055,0.0055,0.0055,0.0055,500.0,0.0055,0.0055,0,500000,1,2750.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
2003-12-22,TUPY3,TUPY3,2.75,2.75,2.75,2.75,2.75,2400,0.0055,0.0055,0.0055,0.0055,500.0,0.0055,0.0055,0,1200000,1,6600.0,1000,02,010,BRTUPYACNOR1,147,ON *,TUPY
