date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2005-01-03,GGBR3,GGBR3,7.319223985890651,7.3703703703703685,7.107583774250439,7.178130511463844,7.178130511463844,104895,41.5,41.79,40.3,40.7,0.17636684303350966,41.79,40.3,0,18500,37,754820.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
2005-01-04,GGBR3,GGBR3,7.179894179894179,7.179894179894179,6.881834215167547,7.054673721340387,7.054673721340387,72009,40.71,40.71,39.02,40.0,0.17636684303350966,40.71,39.02,0,12700,58,506696.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
2005-01-05,GGBR3,GGBR3,7.054673721340387,7.054673721340387,6.913580246913579,6.998236331569664,6.998236331569664,31752,40.0,40.0,39.2,39.68,0.17636684303350966,40.0,39.2,0,5600,30,221413.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
2005-01-06,GGBR3,GGBR3,7.052910052910052,7.052910052910052,6.843033509700175,6.940035273368605,6.940035273368605,52164,39.99,39.99,38.8,39.35,0.17636684303350966,39.99,38.8,0,9200,54,361627.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
2005-01-07,GGBR3,GGBR3,7.001763668430334,7.054673721340387,6.897707231040563,6.999999999999998,6.999999999999998,14175,39.7,40.0,39.11,39.69,0.17636684303350966,40.0,39.11,0,2500,12,99103.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
2005-01-10,GGBR3,GGBR3,7.037037037037035,7.037037037037035,6.790123456790122,6.999999999999998,6.999999999999998,27783,39.9,39.9,38.5,39.69,0.17636684303350966,39.9,38.5,0,4900,29,192241.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
2005-01-11,GGBR3,GGBR3,6.966490299823632,7.054673721340387,6.790123456790122,6.878306878306877,6.878306878306877,43092,39.5,40.0,38.5,39.0,0.17636684303350966,40.0,38.5,0,7600,43,295780.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
2005-01-12,GGBR3,GGBR3,6.878306878306877,6.878306878306877,6.701940035273367,6.8130511463844785,6.8130511463844785,49329,39.0,39.0,38.0,38.63,0.17636684303350966,39.0,38.0,0,8700,33,334212.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
2005-01-13,GGBR3,GGBR3,6.878306878306877,6.931216931216929,6.816578483245149,6.931216931216929,6.931216931216929,98658,39.0,39.3,38.65,39.3,0.17636684303350966,39.3,38.65,0,17400,70,677542.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
2005-01-14,GGBR3,GGBR3,6.719576719576718,6.999999999999998,6.719576719576718,6.999999999999998,6.999999999999998,27216,38.1,39.69,38.1,39.69,0.17636684303350966,39.69,38.1,0,4800,18,187816.0,1,02,010,BRGGBRACNOR1,115,ON      N1,GERDAU
