date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2006-01-05,TUPY3,TUPY3,4.035,4.035,4.035,4.035,4.035,1000,0.00807,0.00807,0.00807,0.00807,500.0,0.00807,0.00807,0,500000,2,4035.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-01-10,TUPY3,TUPY3,4.0,4.0,4.0,4.0,4.0,2600,0.008,0.008,0.008,0.008,500.0,0.008,0.008,0,1300000,1,10400.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-01-18,TUPY3,TUPY3,4.505,5.5,4.505,5.5,5.5,6800,0.00901,0.011,0.00901,0.011,500.0,0.011,0.00901,0,3400000,4,34571.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-01-24,TUPY3,TUPY3,5.8,5.97,5.8,5.97,5.97,600,0.0116,0.01194,0.0116,0.01194,500.0,0.01194,0.0116,0,300000,2,3514.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-01-31,TUPY3,TUPY3,6.15,6.15,5.005,5.005,5.005,400,0.0123,0.0123,0.01001,0.01001,500.0,0.0123,0.01001,0,200000,2,2231.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-02-21,TUPY3,TUPY3,5.0,5.0,5.0,5.0,5.0,200,0.01,0.01,0.01,0.01,500.0,0.01,0.01,0,100000,1,1000.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-03-14,TUPY3,TUPY3,4.995,4.995,4.9,4.995,4.995,5600,0.00999,0.00999,0.009800000000000001,0.00999,500.0,0.00999,0.009800000000000001,0,2800000,7,27801.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-03-21,TUPY3,TUPY3,4.97,4.97,4.97,4.97,4.97,28000,0.00994,0.00994,0.00994,0.00994,500.0,0.00994,0.00994,0,14000000,1,139160.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-03-31,TUPY3,TUPY3,4.95,4.97,4.95,4.97,4.97,6000,0.0099,0.00994,0.0099,0.00994,500.0,0.00994,0.0099,0,3000000,4,29740.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-04-03,TUPY3,TUPY3,4.95,5.0,4.6,4.85,4.85,6400,0.0099,0.01,0.0092,0.009699999999999999,500.0,0.01,0.0092,0,3200000,12,30542.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-04-11,TUPY3,TUPY3,4.55,4.55,4.4,4.4,4.4,9200,0.0091,0.0091,0.0088,0.0088,500.0,0.0091,0.0088,0,4600000,5,41080.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-04-17,TUPY3,TUPY3,4.45,4.5,4.45,4.5,4.5,2400,0.0089,0.009,0.0089,0.009,500.0,0.009,0.0089,0,1200000,4,10690.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-04-25,TUPY3,TUPY3,4.35,5.4,4.35,5.4,5.4,5200,0.0087,0.0108,0.0087,0.0108,500.0,0.0108,0.0087,0,2600000,7,25527.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-05-02,TUPY3,TUPY3,5.5,5.75,5.5,5.55,5.55,68000,0.011,0.0115,0.011,0.0111,500.0,0.0115,0.011,0,34000000,22,376982.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-05-08,TUPY3,TUPY3,5.5,5.995,5.5,5.995,5.995,6800,0.011,0.01199,0.011,0.01199,500.0,0.01199,0.011,0,3400000,12,38399.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-06-30,TUPY3,TUPY3,5.75,5.75,5.75,5.75,5.75,5200,0.0115,0.0115,0.0115,0.0115,500.0,0.0115,0.0115,0,2600000,5,29900.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-07-04,TUPY3,TUPY3,5.5,5.75,5.5,5.75,5.75,26400,0.011,0.0115,0.011,0.0115,500.0,0.0115,0.011,0,13200000,18,151544.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-07-14,TUPY3,TUPY3,5.35,5.35,5.35,5.35,5.35,200,0.0107,0.0107,0.0107,0.0107,500.0,0.0107,0.0107,0,100000,1,1070.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-07-19,TUPY3,TUPY3,5.0,5.5,5.0,5.5,5.5,15000,0.01,0.011,0.01,0.011,500.0,0.011,0.01,0,7500000,6,82325.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-07-26,TUPY3,TUPY3,5.495,6.5,5.495,6.5,6.5,21000,0.01099,0.013,0.01099,0.013,500.0,0.013,0.01099,0,10500000,14,120395.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-07-31,TUPY3,TUPY3,6.5,7.5,6.25,7.0,7.0,28200,0.013,0.015,0.0125,0.014,500.0,0.015,0.0125,0,14100000,30,197935.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-08-09,TUPY3,TUPY3,7.5,9.75,7.05,8.6,8.6,11200,0.015,0.0195,0.0141,0.0172,500.0,0.0195,0.0141,0,5600000,24,93942.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-08-15,TUPY3,TUPY3,8.05,9.5,8.05,8.75,8.75,28600,0.0161,0.019,0.0161,0.0175,500.0,0.019,0.0161,0,14300000,36,244319.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-08-21,TUPY3,TUPY3,8.595,8.75,8.0,8.0,8.0,44000,0.01719,0.0175,0.016,0.016,500.0,0.0175,0.016,0,22000000,46,370564.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-08-29,TUPY3,TUPY3,8.225,8.9,8.0,8.9,8.9,7600,0.01645,0.0178,0.016,0.0178,500.0,0.0178,0.016,0,3800000,13,62345.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-09-04,TUPY3,TUPY3,9.145,9.495,8.5,8.7,8.7,11400,0.01829,0.01899,0.017,0.0174,500.0,0.01899,0.017,0,5700000,23,100916.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-09-11,TUPY3,TUPY3,8.25,8.5,8.15,8.15,8.15,13600,0.0165,0.017,0.016300000000000002,0.016300000000000002,500.0,0.017,0.016300000000000002,0,6800000,20,112610.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-09-18,TUPY3,TUPY3,8.25,8.5,8.01,8.5,8.5,12000,0.0165,0.017,0.01602,0.017,500.0,0.017,0.01602,0,6000000,14,97764.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-09-25,TUPY3,TUPY3,8.25,8.75,8.005,8.75,8.75,14000,0.0165,0.0175,0.01601,0.0175,500.0,0.0175,0.01601,0,7000000,22,116480.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-10-02,TUPY3,TUPY3,8.5,8.65,8.5,8.65,8.65,9400,0.017,0.0173,0.017,0.0173,500.0,0.0173,0.017,0,4700000,12,80310.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-10-09,TUPY3,TUPY3,9.0,9.5,9.0,9.495,9.495,1800,0.018,0.019,0.018,0.01899,500.0,0.019,0.018,0,900000,5,16845.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-10-16,TUPY3,TUPY3,9.0,9.5,8.975,9.5,9.5,14200,0.018,0.019,0.01795,0.019,500.0,0.019,0.01795,0,7100000,22,130012.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-10-23,TUPY3,TUPY3,9.65,10.995,9.0,10.0,10.0,21000,0.0193,0.02199,0.018,0.02,500.0,0.02199,0.018,0,10500000,27,207142.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-10-30,TUPY3,TUPY3,10.0,11.5,10.0,10.75,10.75,4000,0.02,0.023,0.02,0.0215,500.0,0.023,0.02,0,2000000,7,42000.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-11-10,TUPY3,TUPY3,9.15,9.5,9.15,9.5,9.5,1000,0.0183,0.019,0.0183,0.019,500.0,0.019,0.0183,0,500000,3,9360.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-11-13,TUPY3,TUPY3,10.0,10.95,8.85,8.85,8.85,8800,0.02,0.0219,0.0177,0.0177,500.0,0.0219,0.0177,0,4400000,25,81766.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-11-21,TUPY3,TUPY3,8.75,8.75,8.55,8.55,8.55,16200,0.0175,0.0175,0.0171,0.0171,500.0,0.0175,0.0171,0,8100000,16,139354.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-11-27,TUPY3,TUPY3,8.55,8.75,8.25,8.25,8.25,15600,0.0171,0.0175,0.0165,0.0165,500.0,0.0175,0.0165,0,7800000,20,131782.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
2006-12-04,TUPY3,TUPY3,8.25,8.355,8.01,8.355,8.355,3800,0.0165,0.01671,0.01602,0.01671,500.0,0.01671,0.01602,0,1900000,5,30933.0,1000,02,010,BRTUPYACNOR1,151,ON *,TUPY
