date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2008-01-02,VALE3,VALE3,59.25,59.29,55.7,56.1,56.1,4461700,59.25,59.29,55.7,56.1,1.0,59.29,55.7,0,4461700,5217,256690763.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-01-07,VALE3,VALE3,56.48,57.2,53.68,56.1,56.1,18876200,56.48,57.2,53.68,56.1,1.0,57.2,53.68,0,18876200,15848,1057327139.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-01-14,VALE3,VALE3,56.1,57.0,49.5,51.59,51.59,24655700,56.1,57.0,49.5,51.59,1.0,57.0,49.5,0,24655700,22483,1307453160.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-01-21,VALE3,VALE3,48.0,50.9,43.85,50.12,50.12,21099400,48.0,50.9,43.85,50.12,1.0,50.9,43.85,0,21099400,20482,1003327554.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-01-28,VALE3,VALE3,49.01,55.0,47.49,54.9,54.9,17811400,49.01,55.0,47.49,54.9,1.0,55.0,47.49,0,17811400,21351,911108048.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-02-06,VALE3,VALE3,53.17,54.7,51.41,53.5,53.5,6580000,53.17,54.7,51.41,53.5,1.0,54.7,51.41,0,6580000,8788,349624912.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-02-11,VALE3,VALE3,53.4,57.8,53.4,55.22,55.22,11767800,53.4,57.8,53.4,55.22,1.0,57.8,53.4,0,11767800,14701,660527803.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-02-18,VALE3,VALE3,58.99,61.34,56.94,60.7,60.7,16955600,58.99,61.34,56.94,60.7,1.0,61.34,56.94,0,16955600,16027,1002288571.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-02-25,VALE3,VALE3,60.69,62.65,58.66,58.66,58.66,15970800,60.69,62.65,58.66,58.66,1.0,62.65,58.66,0,15970800,18791,969564336.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-03-03,VALE3,VALE3,58.85,59.35,55.66,56.02,56.02,13881400,58.85,59.35,55.66,56.02,1.0,59.35,55.66,0,13881400,17432,802213499.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-03-10,VALE3,VALE3,55.69,58.9,53.68,58.9,58.9,15564100,55.69,58.9,53.68,58.9,1.0,58.9,53.68,0,15564100,20813,881118243.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-03-17,VALE3,VALE3,56.7,57.16,51.9,52.73,52.73,10367400,56.7,57.16,51.9,52.73,1.0,57.16,51.9,0,10367400,13187,570473631.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-03-24,VALE3,VALE3,53.71,60.9,53.6,59.8,59.8,10036000,53.71,60.9,53.6,59.8,1.0,60.9,53.6,0,10036000,13951,588637178.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-03-31,VALE3,VALE3,59.39,62.93,59.33,62.51,62.51,10501900,59.39,62.93,59.33,62.51,1.0,62.93,59.33,0,10501900,14970,645434406.0,1,02,010,BRVALEACNOR0,173,ON      N1,VALE R DOCE
2008-04-07,VALE3,VALE3,63.0,65.12,59.9,60.11,60.11,14051500,63.0,65.12,59.9,60.11,1.0,65.12,59.9,0,14051500,16965,876003457.0,1,02,010,BRVALEACNOR0,174,ON  EDJ N1,VALE R DOCE
2008-04-14,VALE3,VALE3,59.89,63.3,58.93,63.2,63.2,8810500,59.89,63.3,58.93,63.2,1.0,63.3,58.93,0,8810500,11282,543298058.0,1,02,010,BRVALEACNOR0,174,ON  EDJ N1,VALE R DOCE
2008-04-22,VALE3,VALE3,64.5,66.1,61.0,63.0,63.0,13645400,64.5,66.1,61.0,63.0,1.0,66.1,61.0,0,13645400,15678,872906561.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-04-28,VALE3,VALE3,63.3,66.4,62.3,65.4,65.4,8552800,63.3,66.4,62.3,65.4,1.0,66.4,62.3,0,8552800,11362,551988482.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-05-05,VALE3,VALE3,66.21,68.2,65.7,66.41,66.41,10618300,66.21,68.2,65.7,66.41,1.0,68.2,65.7,0,10618300,15841,711949012.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-05-12,VALE3,VALE3,66.71,72.09,65.92,72.09,72.09,9410100,66.71,72.09,65.92,72.09,1.0,72.09,65.92,0,9410100,12990,647434016.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-05-19,VALE3,VALE3,72.3,72.65,66.37,68.25,68.25,7674000,72.3,72.65,66.37,68.25,1.0,72.65,66.37,0,7674000,12592,539905890.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-05-26,VALE3,VALE3,68.2,68.88,64.45,65.51,65.51,10914200,68.2,68.88,64.45,65.51,1.0,68.88,64.45,0,10914200,14949,719413067.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-06-02,VALE3,VALE3,65.0,66.58,60.36,61.79,61.79,13778100,65.0,66.58,60.36,61.79,1.0,66.58,60.36,0,13778100,16545,867184038.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-06-09,VALE3,VALE3,61.98,61.98,55.9,56.76,56.76,13670100,61.98,61.98,55.9,56.76,1.0,61.98,55.9,0,13670100,16287,791386060.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-06-16,VALE3,VALE3,56.5,59.02,55.27,55.44,55.44,14772500,56.5,59.02,55.27,55.44,1.0,59.02,55.27,0,14772500,15304,852488474.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-06-23,VALE3,VALE3,56.1,59.6,55.85,56.23,56.23,10607900,56.1,59.6,55.85,56.23,1.0,59.6,55.85,0,10607900,11562,609221663.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-06-30,VALE3,VALE3,56.6,57.83,50.3,51.5,51.5,8253400,56.6,57.83,50.3,51.5,1.0,57.83,50.3,0,8253400,11335,443452443.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-07-07,VALE3,VALE3,52.0,53.67,49.4,50.17,50.17,9591200,52.0,53.67,49.4,50.17,1.0,53.67,49.4,0,9591200,12475,489867317.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-07-14,VALE3,VALE3,51.2,51.7,45.33,46.01,46.01,33121500,51.2,51.7,45.33,46.01,1.0,51.7,45.33,0,33121500,27753,1592368307.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-07-21,VALE3,VALE3,47.06,47.7,41.34,43.5,43.5,24431200,47.06,47.7,41.34,43.5,1.0,47.7,41.34,0,24431200,23556,1104882981.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-07-28,VALE3,VALE3,44.58,48.51,43.74,44.39,44.39,19829700,44.58,48.51,43.74,44.39,1.0,48.51,43.74,0,19829700,18241,904261026.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-08-04,VALE3,VALE3,43.8,43.8,40.45,41.69,41.69,14890700,43.8,43.8,40.45,41.69,1.0,43.8,40.45,0,14890700,15461,624132556.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-08-11,VALE3,VALE3,42.0,43.01,39.32,41.4,41.4,18006500,42.0,43.01,39.32,41.4,1.0,43.01,39.32,0,18006500,21936,739932736.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-08-18,VALE3,VALE3,41.6,44.85,39.25,43.48,43.48,13858800,41.6,44.85,39.25,43.48,1.0,44.85,39.25,0,13858800,15460,592870264.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-08-25,VALE3,VALE3,43.61,44.5,41.66,43.47,43.47,12043800,43.61,44.5,41.66,43.47,1.0,44.5,41.66,0,12043800,12980,520306809.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-09-01,VALE3,VALE3,42.99,43.7,38.74,40.79,40.79,13750100,42.99,43.7,38.74,40.79,1.0,43.7,38.74,0,13750100,15412,568401602.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-09-08,VALE3,VALE3,42.11,43.24,37.26,42.66,42.66,20211400,42.11,43.24,37.26,42.66,1.0,43.24,37.26,0,20211400,25789,804771420.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-09-15,VALE3,VALE3,40.3,43.95,36.35,43.1,43.1,20597300,40.3,43.95,36.35,43.1,1.0,43.95,36.35,0,20597300,29642,814886234.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-09-22,VALE3,VALE3,43.15,43.4,37.63,38.5,38.5,25192400,43.15,43.4,37.63,38.5,1.0,43.4,37.63,0,25192400,32920,1002506440.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-09-29,VALE3,VALE3,36.8,37.0,31.75,32.74,32.74,32755300,36.8,37.0,31.75,32.74,1.0,37.0,31.75,0,32755300,40191,1128381930.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-10-06,VALE3,VALE3,29.79,31.9,24.65,28.3,28.3,38914400,29.79,31.9,24.65,28.3,1.0,31.9,24.65,0,38914400,47364,1130770665.0,1,02,010,BRVALEACNOR0,174,ON      N1,VALE R DOCE
2008-10-13,VALE3,VALE3,30.65,34.47,22.83,25.2,25.2,48665700,30.65,34.47,22.83,25.2,1.0,34.47,22.83,0,48665700,54719,1341144139.0,1,02,010,BRVALEACNOR0,175,ON  EDJ N1,VALE R DOCE
2008-10-20,VALE3,VALE3,26.0,29.96,23.71,24.39,24.39,31762400,26.0,29.96,23.71,24.39,1.0,29.96,23.71,0,31762400,37313,852661231.0,1,02,010,BRVALEACNOR0,175,ON  EDJ N1,VALE R DOCE
2008-10-27,VALE3,VALE3,24.0,28.53,22.1,28.39,28.39,34049700,24.0,28.53,22.1,28.39,1.0,28.53,22.1,0,34049700,37317,887655711.0,1,02,010,BRVALEACNOR0,175,ON      N1,VALE R DOCE
2008-11-03,VALE3,VALE3,28.46,31.65,26.1,26.65,26.65,31162300,28.46,31.65,26.1,26.65,1.0,31.65,26.1,0,31162300,28782,896591524.0,1,02,010,BRVALEACNOR0,175,ON      N1,VALE R DOCE
2008-11-10,VALE3,VALE3,28.6,29.47,25.29,27.05,27.05,21830000,28.6,29.47,25.29,27.05,1.0,29.47,25.29,0,21830000,25203,595053497.0,1,02,010,BRVALEACNOR0,175,ON      N1,VALE R DOCE
2008-11-17,VALE3,VALE3,25.76,27.43,22.52,22.8,22.8,12453200,25.76,27.43,22.52,22.8,1.0,27.43,22.52,0,12453200,15392,310747307.0,1,02,010,BRVALEACNOR0,175,ON      N1,VALE R DOCE
