date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2011-01-03,JHSF3,JHSF3,3.337813887232361,3.52,3.337813887232361,3.4624999999999995,3.4624999999999995,1309400,3.337813887232361,3.52,3.337813887232361,3.4624999999999995,1.0,3.52,3.337813887232361,0,1309400,1243,4551712.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-01-10,JHSF3,JHSF3,3.4001569436161803,3.55,3.39,3.4475000000000002,3.4475000000000002,1724300,3.4001569436161803,3.55,3.39,3.4475000000000002,1.0,3.55,3.39,0,1724300,1411,6020267.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-01-17,JHSF3,JHSF3,3.4238284718080902,3.51,3.35,3.43,3.43,3123600,3.4238284718080902,3.51,3.35,3.43,1.0,3.51,3.35,0,3123600,2413,10759430.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-01-24,JHSF3,JHSF3,3.426914235904045,3.53,3.18,3.36,3.36,3244700,3.426914235904045,3.53,3.18,3.36,1.0,3.53,3.18,0,3244700,3444,11077322.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-01-31,JHSF3,JHSF3,3.3934571179520225,3.3934571179520225,3.12,3.1975000000000002,3.1975000000000002,2298500,3.3934571179520225,3.3934571179520225,3.12,3.1975000000000002,1.0,3.3934571179520225,3.12,0,2298500,3633,7350590.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-02-07,JHSF3,JHSF3,3.2954785589760114,3.35,3.17,3.2474999999999996,3.2474999999999996,4622600,3.2954785589760114,3.35,3.17,3.2474999999999996,1.0,3.35,3.17,0,4622600,3472,15196655.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-02-14,JHSF3,JHSF3,3.2714892794880055,3.33,3.18,3.285,3.285,1891400,3.2714892794880055,3.33,3.18,3.285,1.0,3.33,3.18,0,1891400,1438,6162402.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-02-21,JHSF3,JHSF3,3.2782446397440026,3.33,3.06,3.2325,3.2325,1009600,3.2782446397440026,3.33,3.06,3.2325,1.0,3.33,3.06,0,1009600,1942,3237480.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-02-28,JHSF3,JHSF3,3.2553723198720013,3.49,3.12,3.3025,3.3025,1950000,3.2553723198720013,3.49,3.12,3.3025,1.0,3.49,3.12,0,1950000,1994,6416598.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-03-09,JHSF3,JHSF3,3.2789361599360007,3.68,3.2789361599360007,3.5525,3.5525,1512500,3.2789361599360007,3.68,3.2789361599360007,3.5525,1.0,3.68,3.2789361599360007,0,1512500,1675,5344556.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-03-14,JHSF3,JHSF3,3.4157180799680003,4.11,3.4157180799680003,3.835,3.835,5438900,3.4157180799680003,4.11,3.4157180799680003,3.835,1.0,4.11,3.4157180799680003,0,5438900,3545,20835625.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-03-21,JHSF3,JHSF3,3.625359039984,4.14,3.625359039984,4.01,4.01,1923300,3.625359039984,4.14,3.625359039984,4.01,1.0,4.14,3.625359039984,0,1923300,2202,7702778.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-03-28,JHSF3,JHSF3,3.8176795199919997,4.4,3.8176795199919997,4.1625,4.1625,2107900,3.8176795199919997,4.4,3.8176795199919997,4.1625,1.0,4.4,3.8176795199919997,0,2107900,2731,8748591.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-04-04,JHSF3,JHSF3,3.9900897599959997,4.57,3.9900897599959997,4.41,4.41,1611400,3.9900897599959997,4.57,3.9900897599959997,4.41,1.0,4.57,3.9900897599959997,0,1611400,1878,7053932.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-04-11,JHSF3,JHSF3,4.200044879998,4.41,4.02,4.2475000000000005,4.2475000000000005,2336100,4.200044879998,4.41,4.02,4.2475000000000005,1.0,4.41,4.02,0,2336100,1981,9843296.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-04-18,JHSF3,JHSF3,4.223772439999,4.27,3.93,4.115,4.115,728100,4.223772439999,4.27,3.93,4.115,1.0,4.27,3.93,0,728100,875,2971749.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-04-25,JHSF3,JHSF3,4.169386219999501,4.29,3.98,4.175000000000001,4.175000000000001,900700,4.169386219999501,4.29,3.98,4.175000000000001,1.0,4.29,3.98,0,900700,1328,3760112.0,1,02,010,BRJHSFACNOR2,105,ON      NM,JHSF PART
2011-05-02,JHSF3,JHSF3,4.172193109999751,4.25,3.63,4.0424999999999995,4.0424999999999995,775700,4.172193109999751,4.25,3.63,4.0424999999999995,1.0,4.25,3.63,0,775700,1624,3042880.0,1,02,010,BRJHSFACNOR2,106,ON  ED  NM,JHSF PART
2011-05-09,JHSF3,JHSF3,4.107346554999875,4.29,3.91,4.0975,4.0975,686200,4.107346554999875,4.29,3.91,4.0975,1.0,4.29,3.91,0,686200,1499,2807986.0,1,02,010,BRJHSFACNOR2,106,ON      NM,JHSF PART
2011-05-16,JHSF3,JHSF3,4.102423277499938,4.57,4.01,4.295,4.295,1648300,4.102423277499938,4.57,4.01,4.295,1.0,4.57,4.01,0,1648300,2292,7209382.0,1,02,010,BRJHSFACNOR2,106,ON      NM,JHSF PART
