date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2011-01-03,TUPY3,TUPY3,12.704931280783917,12.995,12.4,12.743749999999999,12.743749999999999,93600,25.40986136005391,25.99,24.8,25.487499999999997,0.5,25.99,24.8,0,46800,12,1213552.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-01-12,TUPY3,TUPY3,12.724340640391958,12.724340640391958,11.75,12.225,12.225,221800,25.448680680026953,25.448680680026953,23.5,24.45,0.5,25.448680680026953,23.5,0,110900,53,2714368.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-01-17,TUPY3,TUPY3,12.47467032019598,12.47467032019598,11.95,12.135,12.135,151400,24.949340340013478,24.949340340013478,23.9,24.27,0.5,24.949340340013478,23.9,0,75700,40,1830355.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-01-24,TUPY3,TUPY3,12.30483516009799,12.30483516009799,11.95,12.169999999999998,12.169999999999998,141200,24.609670170006737,24.609670170006737,23.9,24.339999999999996,0.5,24.609670170006737,23.9,0,70600,28,1721816.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-01-31,TUPY3,TUPY3,12.237417580048994,12.495,11.9,12.194999999999999,12.194999999999999,62800,24.474835085003367,24.99,23.8,24.389999999999997,0.5,24.99,23.8,0,31400,47,775702.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-02-07,TUPY3,TUPY3,12.216208790024496,12.37,12.05,12.205,12.205,268400,24.432417542501682,24.74,24.1,24.41,0.5,24.74,24.1,0,134200,50,3272973.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-02-14,TUPY3,TUPY3,12.210604395012247,12.975,12.210604395012247,12.6125,12.6125,10800,24.42120877125084,25.95,24.42120877125084,25.225,0.5,25.95,24.42120877125084,0,5400,27,138089.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-02-21,TUPY3,TUPY3,12.411552197506124,13.225,12.411552197506124,12.80625,12.80625,49400,24.82310438562542,26.45,24.82310438562542,25.6125,0.5,26.45,24.82310438562542,0,24700,30,642998.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-02-28,TUPY3,TUPY3,12.608901098753062,13.205,12.555,12.92,12.92,23600,25.217802192812712,26.41,25.11,25.84,0.5,26.41,25.11,0,11800,30,303099.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-03-09,TUPY3,TUPY3,12.76445054937653,13.5,12.76445054937653,13.225000000000001,13.225000000000001,3800,25.528901096406358,27.0,25.528901096406358,26.450000000000003,0.5,27.0,25.528901096406358,0,1900,6,49690.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
2011-03-15,TUPY3,TUPY3,12.994725274688266,13.895,12.95,13.32375,13.32375,32600,25.98945054820318,27.79,25.9,26.6475,0.5,27.79,25.9,0,16300,7,451079.0,1,02,010,BRTUPYACNOR1,155,ON,TUPY
