date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2012-01-02,BBDC3,BBDC3,8.987394265123902,9.05153902990274,8.834159549263344,9.01946664751332,9.01946664751332,815749,25.22,25.4,24.79,25.31,0.3563598043268795,25.4,24.79,0,290700,609,7299370.0,1,02,010,BRBBDCACNOR1,579,ON      N1,BRADESCO
2012-01-03,BBDC3,BBDC3,9.037284637729664,9.122810990768116,8.980267069037364,9.05153902990274,9.05153902990274,1919689,25.36,25.6,25.2,25.4,0.3563598043268795,25.6,25.2,0,684100,1809,17382649.0,1,02,010,BRBBDCACNOR1,580,ON  ED  N1,BRADESCO
2012-01-04,BBDC3,BBDC3,9.02303024555659,9.05153902990274,8.919685902301795,9.05153902990274,9.05153902990274,1295320,25.32,25.4,25.03,25.4,0.3563598043268795,25.4,25.03,0,461600,1421,11668577.0,1,02,010,BRBBDCACNOR1,580,ON  ED  N1,BRADESCO
2012-01-05,BBDC3,BBDC3,8.908995108171988,8.998085059253707,8.759323990354698,8.983830667080634,8.983830667080634,987766,25.0,25.25,24.58,25.21,0.3563598043268795,25.25,24.58,0,352000,975,8793163.0,1,02,010,BRBBDCACNOR1,580,ON  ED  N1,BRADESCO
2012-01-06,BBDC3,BBDC3,9.015903049470053,9.14419257902773,8.998085059253707,9.119247392724848,9.119247392724848,764115,25.3,25.66,25.25,25.59,0.3563598043268795,25.66,25.25,0,272300,647,6940342.0,1,02,010,BRBBDCACNOR1,580,ON  ED  N1,BRADESCO
2012-01-09,BBDC3,BBDC3,9.087175010335429,9.172701363373879,9.015903049470053,9.16557416728734,9.16557416728734,1661523,25.5,25.74,25.3,25.72,0.3563598043268795,25.74,25.3,0,592100,907,15179333.0,1,02,010,BRBBDCACNOR1,580,ON  ED  N1,BRADESCO
2012-01-10,BBDC3,BBDC3,9.190519353590222,9.279609304671942,9.158446971200803,9.211900941849835,9.211900941849835,1761703,25.79,26.04,25.7,25.85,0.3563598043268795,26.04,25.7,0,627800,1346,16223451.0,1,02,010,BRBBDCACNOR1,580,ON  ED  N1,BRADESCO
2012-01-11,BBDC3,BBDC3,9.208337343806567,9.25466411836906,9.087175010335429,9.222591735979641,9.222591735979641,1405602,25.84,25.97,25.5,25.88,0.3563598043268795,25.97,25.5,0,500900,1100,12888529.0,1,02,010,BRBBDCACNOR1,580,ON  ED  N1,BRADESCO
2012-01-12,BBDC3,BBDC3,9.265354912498868,9.265354912498868,9.069357020119083,9.211900941849835,9.211900941849835,1084859,26.0,26.0,25.45,25.85,0.3563598043268795,26.0,25.45,0,386600,1104,9926829.0,1,02,010,BRBBDCACNOR1,580,ON  ED  N1,BRADESCO
2012-01-13,BBDC3,BBDC3,9.215464539893105,9.215464539893105,8.955321882734482,9.001648657296977,9.001648657296977,1399990,25.86,25.86,25.13,25.26,0.3563598043268795,25.86,25.13,0,498900,834,12639387.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-16,BBDC3,BBDC3,9.01946664751332,9.407898834229618,8.973139872950826,9.407898834229618,9.407898834229618,3891011,25.31,26.4,25.18,26.4,0.3563598043268795,26.4,25.18,0,1386600,3324,35981225.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-17,BBDC3,BBDC3,9.443534814662307,9.568260746176716,9.300990892931557,9.504115981397877,9.504115981397877,4151142,26.5,26.85,26.1,26.67,0.3563598043268795,26.85,26.1,0,1479300,3107,39437389.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-18,BBDC3,BBDC3,9.49698878531134,9.625278314869016,9.443534814662307,9.589642334436329,9.589642334436329,2913067,26.65,27.01,26.5,26.91,0.3563598043268795,27.01,26.5,0,1038100,2458,27791047.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-19,BBDC3,BBDC3,9.61102392269594,9.621714716825748,9.397208040099814,9.493425187268071,9.493425187268071,3582896,26.97,27.0,26.37,26.64,0.3563598043268795,27.0,26.37,0,1276800,1762,33997165.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-20,BBDC3,BBDC3,9.46491640292192,9.571824344219984,9.390080844013276,9.514806775527683,9.514806775527683,1534404,26.56,26.86,26.35,26.7,0.3563598043268795,26.86,26.35,0,546800,1123,14564641.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-23,BBDC3,BBDC3,9.43640761857577,9.514806775527683,9.283172902715211,9.43640761857577,9.43640761857577,1405882,26.48,26.7,26.05,26.48,0.3563598043268795,26.7,26.05,0,501000,1701,13189842.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-24,BBDC3,BBDC3,9.336626873364244,9.479170795094996,9.268918510542138,9.443534814662307,9.443534814662307,1067460,26.2,26.6,26.01,26.5,0.3563598043268795,26.6,26.01,0,380400,1263,10016605.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-26,BBDC3,BBDC3,9.49698878531134,9.618151118782478,9.425716824445963,9.52193397161422,9.52193397161422,1798463,26.65,26.99,26.45,26.72,0.3563598043268795,26.99,26.45,0,640900,1861,17124269.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-27,BBDC3,BBDC3,9.518370373570953,9.650223501171897,9.439971216619037,9.593205932479597,9.593205932479597,918454,26.71,27.08,26.49,26.92,0.3563598043268795,27.08,26.49,0,327300,941,8805685.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-30,BBDC3,BBDC3,9.49698878531134,9.49698878531134,9.325936079234438,9.479170795094996,9.479170795094996,1635145,26.65,26.65,26.17,26.6,0.3563598043268795,26.65,26.17,0,582700,1090,15407520.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-01-31,BBDC3,BBDC3,9.443534814662307,9.443534814662307,9.162010569244073,9.243973324239255,9.243973324239255,1346953,26.5,26.5,25.71,25.94,0.3563598043268795,26.5,25.71,0,480000,1128,12427822.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-02-01,BBDC3,BBDC3,9.265354912498868,9.34731766749405,9.05510262794601,9.272482108585406,9.272482108585406,2955159,26.0,26.23,25.41,26.02,0.3563598043268795,26.23,25.41,0,1053100,2838,27157814.0,1,02,010,BRBBDCACNOR1,580,ON      N1,BRADESCO
2012-02-02,BBDC3,BBDC3,9.229718932066179,9.272482108585406,9.126374588811384,9.251100520325792,9.251100520325792,1734483,25.9,26.02,25.61,25.96,0.3563598043268795,26.02,25.61,0,618100,1953,15968264.0,1,02,010,BRBBDCACNOR1,581,ON  ED  N1,BRADESCO
2012-02-03,BBDC3,BBDC3,9.16913776533061,9.336626873364244,9.158446971200803,9.333063275320976,9.333063275320976,1069705,25.73,26.2,25.7,26.19,0.3563598043268795,26.2,25.7,0,381200,1665,9927422.0,1,02,010,BRBBDCACNOR1,581,ON  ED  N1,BRADESCO
2012-02-06,BBDC3,BBDC3,9.318808883147899,9.318808883147899,9.194082951633492,9.283172902715211,9.283172902715211,697610,26.15,26.15,25.8,26.05,0.3563598043268795,26.15,25.8,0,248600,920,6451466.0,1,02,010,BRBBDCACNOR1,581,ON  ED  N1,BRADESCO
2012-02-07,BBDC3,BBDC3,9.226155334022911,9.322372481191168,9.179828559460416,9.300990892931557,9.300990892931557,982995,25.89,26.16,25.76,26.1,0.3563598043268795,26.16,25.76,0,350300,859,9106044.0,1,02,010,BRBBDCACNOR1,581,ON  ED  N1,BRADESCO
2012-02-08,BBDC3,BBDC3,9.304554490974825,9.400771638143082,9.208337343806567,9.297427294888287,9.297427294888287,1007128,26.11,26.38,25.84,26.09,0.3563598043268795,26.38,25.84,0,358900,888,9353769.0,1,02,010,BRBBDCACNOR1,581,ON  ED  N1,BRADESCO
2012-02-09,BBDC3,BBDC3,9.300990892931557,9.34375406945078,9.158446971200803,9.20121014772003,9.20121014772003,1037996,26.1,26.22,25.7,25.82,0.3563598043268795,26.22,25.7,0,369900,1233,9572093.0,1,02,010,BRBBDCACNOR1,581,ON  ED  N1,BRADESCO
2012-02-10,BBDC3,BBDC3,9.087175010335429,9.151319775114267,9.065793422075815,9.14062898098446,9.14062898098446,1619711,25.5,25.68,25.44,25.65,0.3563598043268795,25.68,25.44,0,577200,1162,14761255.0,1,02,010,BRBBDCACNOR1,581,ON  ED  N1,BRADESCO
2012-02-13,BBDC3,BBDC3,9.219028137936373,9.439971216619037,9.14419257902773,9.300990892931557,9.300990892931557,1483332,25.87,26.49,25.66,26.1,0.3563598043268795,26.49,25.66,0,528600,1490,13757603.0,1,02,010,BRBBDCACNOR1,582,ON  ED  N1,BRADESCO
2012-02-14,BBDC3,BBDC3,9.318808883147899,9.358008461623857,9.137065382941191,9.208337343806567,9.208337343806567,1424122,26.15,26.26,25.64,25.84,0.3563598043268795,26.26,25.64,0,507500,1348,13091350.0,1,02,010,BRBBDCACNOR1,582,ON  ED  N1,BRADESCO
2012-02-15,BBDC3,BBDC3,9.265354912498868,9.268918510542138,9.14062898098446,9.229718932066179,9.229718932066179,6267823,26.0,26.01,25.65,25.9,0.3563598043268795,26.01,25.65,0,2233600,1814,57685377.0,1,02,010,BRBBDCACNOR1,582,ON  ED  N1,BRADESCO
2012-02-16,BBDC3,BBDC3,9.229718932066179,9.329499677277706,9.087175010335429,9.329499677277706,9.329499677277706,1513919,25.9,26.18,25.5,26.18,0.3563598043268795,26.18,25.5,0,539500,1297,13948545.0,1,02,010,BRBBDCACNOR1,582,ON  ED  N1,BRADESCO
2012-02-17,BBDC3,BBDC3,9.333063275320976,9.372262853796931,9.204773745763298,9.297427294888287,9.297427294888287,407734,26.19,26.3,25.83,26.09,0.3563598043268795,26.3,25.83,0,145300,314,3783954.0,1,02,010,BRBBDCACNOR1,582,ON  ED  N1,BRADESCO
2012-02-22,BBDC3,BBDC3,9.372262853796931,9.372262853796931,9.194082951633492,9.25822771641233,9.25822771641233,5658326,26.3,26.3,25.8,25.98,0.3563598043268795,26.3,25.8,0,2016400,406,52865869.0,1,02,010,BRBBDCACNOR1,582,ON  ED  N1,BRADESCO
2012-02-23,BBDC3,BBDC3,9.229718932066179,9.261791314455598,9.065793422075815,9.16913776533061,9.16913776533061,4419129,25.9,25.99,25.44,25.73,0.3563598043268795,25.99,25.44,0,1574800,1704,40615876.0,1,02,010,BRBBDCACNOR1,582,ON  ED  N1,BRADESCO
2012-02-24,BBDC3,BBDC3,9.186955755546954,9.19764654967676,9.119247392724848,9.172701363373879,9.172701363373879,1762544,25.78,25.81,25.59,25.74,0.3563598043268795,25.81,25.59,0,628100,639,16147552.0,1,02,010,BRBBDCACNOR1,582,ON  ED  N1,BRADESCO
2012-02-27,BBDC3,BBDC3,9.158446971200803,9.158446971200803,9.030157441643127,9.129938186854654,9.129938186854654,1377260,25.7,25.7,25.34,25.62,0.3563598043268795,25.7,25.34,0,490800,1226,12506215.0,1,02,010,BRBBDCACNOR1,582,ON      N1,BRADESCO
2012-02-28,BBDC3,BBDC3,9.158446971200803,9.372262853796931,9.072920618162353,9.372262853796931,9.372262853796931,4847629,25.7,26.3,25.46,26.3,0.3563598043268795,26.3,25.46,0,1727500,1089,45166473.0,1,02,010,BRBBDCACNOR1,582,ON      N1,BRADESCO
2012-02-29,BBDC3,BBDC3,9.368699255753663,9.532624765744027,9.318808883147899,9.49698878531134,9.49698878531134,7294594,26.29,26.75,26.15,26.65,0.3563598043268795,26.75,26.15,0,2599500,1968,69025407.0,1,02,010,BRBBDCACNOR1,582,ON      N1,BRADESCO
2012-03-01,BBDC3,BBDC3,9.504115981397877,9.621714716825748,9.504115981397877,9.589642334436329,9.589642334436329,1521496,26.67,27.0,26.67,26.91,0.3563598043268795,27.0,26.67,0,542200,1421,14572938.0,1,02,010,BRBBDCACNOR1,582,ON      N1,BRADESCO
2012-03-02,BBDC3,BBDC3,9.607460324652672,9.814149011162263,9.578951540306521,9.728622658123811,9.728622658123811,1550119,26.96,27.54,26.88,27.3,0.3563598043268795,27.54,26.88,0,552400,1387,15069425.0,1,02,010,BRBBDCACNOR1,583,ON  ED  N1,BRADESCO
2012-03-05,BBDC3,BBDC3,9.639532707042092,9.689423079647854,9.539751961830564,9.603896726609403,9.603896726609403,724268,27.05,27.19,26.77,26.95,0.3563598043268795,27.19,26.77,0,258100,666,6938620.0,1,02,010,BRBBDCACNOR1,583,ON  ED  N1,BRADESCO
2012-03-06,BBDC3,BBDC3,9.546879157917102,9.550442755960372,9.34375406945078,9.372262853796931,9.372262853796931,5395109,26.79,26.8,26.22,26.3,0.3563598043268795,26.8,26.22,0,1922600,2614,50834930.0,1,02,010,BRBBDCACNOR1,583,ON  ED  N1,BRADESCO
2012-03-07,BBDC3,BBDC3,9.493425187268071,9.639532707042092,9.407898834229618,9.628841912912284,9.628841912912284,11822882,26.64,27.05,26.4,27.02,0.3563598043268795,27.05,26.4,0,4213200,1759,112036113.0,1,02,010,BRBBDCACNOR1,583,ON  ED  N1,BRADESCO
2012-03-08,BBDC3,BBDC3,9.732186256167079,9.885420972027637,9.685859481604586,9.846221393551682,9.846221393551682,5153780,27.31,27.74,27.18,27.63,0.3563598043268795,27.74,27.18,0,1836600,2184,50563252.0,1,02,010,BRBBDCACNOR1,583,ON  ED  N1,BRADESCO
2012-03-09,BBDC3,BBDC3,9.853348589638218,10.049346482018002,9.799894618989187,9.995892511368972,9.995892511368972,1787239,27.65,28.2,27.5,28.05,0.3563598043268795,28.2,27.5,0,636900,1084,17828840.0,1,02,010,BRBBDCACNOR1,583,ON  ED  N1,BRADESCO
2012-03-12,BBDC3,BBDC3,9.995892511368972,9.995892511368972,9.824839805292068,9.90680256028725,9.90680256028725,901056,28.05,28.05,27.57,27.8,0.3563598043268795,28.05,27.57,0,321100,928,8901442.0,1,02,010,BRBBDCACNOR1,583,ON  ED  N1,BRADESCO
2012-03-13,BBDC3,BBDC3,10.003019707455508,10.156254423316067,9.99945610941224,10.084982462450691,10.084982462450691,5001686,28.07,28.5,28.06,28.3,0.3563598043268795,28.5,28.06,0,1782400,1652,50563722.0,1,02,010,BRBBDCACNOR1,583,ON  ED  N1,BRADESCO
2012-03-14,BBDC3,BBDC3,10.08854606049396,10.11705484484011,9.931747746590133,10.045782883974734,10.045782883974734,2128467,28.31,28.39,27.87,28.19,0.3563598043268795,28.39,27.87,0,758500,1577,21325598.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-15,BBDC3,BBDC3,9.935311344633401,10.084982462450691,9.885420972027637,10.031528491801659,10.031528491801659,2744978,27.88,28.3,27.74,28.15,0.3563598043268795,28.3,27.74,0,978200,1093,27481314.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-16,BBDC3,BBDC3,10.102800452667035,10.195454001792022,10.031528491801659,10.102800452667035,10.102800452667035,1993210,28.35,28.61,28.15,28.35,0.3563598043268795,28.61,28.15,0,710300,1058,20147561.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-19,BBDC3,BBDC3,10.084982462450691,10.11349124679684,9.956692932893015,9.974510923109356,9.974510923109356,799192,28.3,28.38,27.94,27.99,0.3563598043268795,28.38,27.94,0,284800,695,8021346.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-20,BBDC3,BBDC3,9.942438540719937,9.96738372702282,9.803458217032457,9.853348589638218,9.853348589638218,403525,27.9,27.97,27.51,27.65,0.3563598043268795,27.97,27.51,0,143800,538,3976172.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-21,BBDC3,BBDC3,9.871166579854563,9.899675364200714,9.785640226816112,9.835530599421876,9.835530599421876,526995,27.7,27.78,27.46,27.6,0.3563598043268795,27.78,27.46,0,187800,411,5190073.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-22,BBDC3,BBDC3,9.799894618989187,9.896111766157444,9.696550275734392,9.853348589638218,9.853348589638218,763554,27.5,27.77,27.21,27.65,0.3563598043268795,27.77,27.21,0,272100,882,7476378.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-23,BBDC3,BBDC3,9.881857373984369,10.003019707455508,9.846221393551682,10.003019707455508,10.003019707455508,1224605,27.73,28.07,27.63,28.07,0.3563598043268795,28.07,27.63,0,436400,1373,12152996.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-26,BBDC3,BBDC3,10.010146903542045,10.084982462450691,9.96738372702282,10.049346482018002,10.049346482018002,1295881,28.09,28.3,27.97,28.2,0.3563598043268795,28.3,27.97,0,461800,1616,12991004.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-27,BBDC3,BBDC3,9.995892511368972,10.049346482018002,9.871166579854563,9.871166579854563,9.871166579854563,683298,28.05,28.2,27.7,27.7,0.3563598043268795,28.2,27.7,0,243500,676,6795681.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-28,BBDC3,BBDC3,9.888984570070907,9.913929756373788,9.692986677691122,9.835530599421876,9.835530599421876,1496802,27.75,27.82,27.2,27.6,0.3563598043268795,27.82,27.2,0,533400,1123,14608875.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-29,BBDC3,BBDC3,9.774949432686306,9.774949432686306,9.589642334436329,9.742877050296887,9.742877050296887,755697,27.43,27.43,26.91,27.34,0.3563598043268795,27.43,26.91,0,269300,1361,7292596.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-03-30,BBDC3,BBDC3,9.778513030729574,9.867602981811295,9.578951540306521,9.735749854210349,9.735749854210349,1318331,27.44,27.69,26.88,27.32,0.3563598043268795,27.69,26.88,0,469800,1336,12750972.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-04-02,BBDC3,BBDC3,9.735749854210349,9.774949432686306,9.657350697258435,9.728622658123811,9.728622658123811,941745,27.32,27.43,27.1,27.3,0.3563598043268795,27.43,27.1,0,335600,846,9169855.0,1,02,010,BRBBDCACNOR1,583,ON      N1,BRADESCO
2012-04-03,BBDC3,BBDC3,9.732186256167079,9.75713144246996,9.61458752073921,9.639532707042092,9.639532707042092,1327030,27.31,27.38,26.98,27.05,0.3563598043268795,27.38,26.98,0,472900,824,12827038.0,1,02,010,BRBBDCACNOR1,584,ON  ED  N1,BRADESCO
2012-04-04,BBDC3,BBDC3,9.52193397161422,9.568260746176716,9.322372481191168,9.322372481191168,9.322372481191168,2140533,26.72,26.85,26.16,26.16,0.3563598043268795,26.85,26.16,0,762800,1193,20211351.0,1,02,010,BRBBDCACNOR1,584,ON  ED  N1,BRADESCO
2012-04-05,BBDC3,BBDC3,9.34375406945078,9.43640761857577,9.229718932066179,9.31168168706136,9.31168168706136,1672186,26.22,26.48,25.9,26.13,0.3563598043268795,26.48,25.9,0,595900,1371,15547380.0,1,02,010,BRBBDCACNOR1,584,ON  ED  N1,BRADESCO
2012-04-09,BBDC3,BBDC3,9.265354912498868,9.265354912498868,9.14419257902773,9.229718932066179,9.229718932066179,1068583,26.0,26.0,25.66,25.9,0.3563598043268795,26.0,25.66,0,380800,557,9808570.0,1,02,010,BRBBDCACNOR1,584,ON  ED  N1,BRADESCO
2012-04-10,BBDC3,BBDC3,9.222591735979641,9.329499677277706,9.069357020119083,9.233282530109449,9.233282530109449,1343586,25.88,26.18,25.45,25.91,0.3563598043268795,26.18,25.45,0,478800,1201,12339257.0,1,02,010,BRBBDCACNOR1,584,ON  ED  N1,BRADESCO
2012-04-11,BBDC3,BBDC3,9.325936079234438,9.368699255753663,9.265354912498868,9.265354912498868,9.265354912498868,1588282,26.17,26.29,26.0,26.0,0.3563598043268795,26.29,26.0,0,566000,1606,14813619.0,1,02,010,BRBBDCACNOR1,584,ON  ED  N1,BRADESCO
2012-04-12,BBDC3,BBDC3,9.268918510542138,9.493425187268071,9.265354912498868,9.493425187268071,9.493425187268071,1576216,26.01,26.64,26.0,26.64,0.3563598043268795,26.64,26.0,0,561700,1960,14823062.0,1,02,010,BRBBDCACNOR1,584,ON  ED  N1,BRADESCO
2012-04-13,BBDC3,BBDC3,9.415026030316158,9.415026030316158,9.19764654967676,9.300990892931557,9.300990892931557,1120777,26.42,26.42,25.81,26.1,0.3563598043268795,26.42,25.81,0,399400,1418,10401887.0,1,02,010,BRBBDCACNOR1,584,ON  ED  N1,BRADESCO
2012-04-16,BBDC3,BBDC3,9.336626873364244,9.34731766749405,9.208337343806567,9.293863696845017,9.293863696845017,936974,26.2,26.23,25.84,26.08,0.3563598043268795,26.23,25.84,0,333900,859,8700320.0,1,02,010,BRBBDCACNOR1,584,ON      N1,BRADESCO
2012-04-17,BBDC3,BBDC3,9.340190471407512,9.379390049883469,9.211900941849835,9.300990892931557,9.300990892931557,670951,26.21,26.32,25.85,26.1,0.3563598043268795,26.32,25.85,0,239100,770,6252049.0,1,02,010,BRBBDCACNOR1,584,ON      N1,BRADESCO
