date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2013-01-02,JHSF3,JHSF3,8.67,8.8,8.41,8.69,8.69,1364600,8.67,8.8,8.41,8.69,1.0,8.8,8.41,0,1364600,4637,11782615.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-01-07,JHSF3,JHSF3,8.7,8.8,8.49,8.68,8.68,2044800,8.7,8.8,8.49,8.68,1.0,8.8,8.49,0,2044800,8465,17693810.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-01-14,JHSF3,JHSF3,8.74,9.04,8.7,8.85,8.85,4111600,8.74,9.04,8.7,8.85,1.0,9.04,8.7,0,4111600,9014,36412660.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-01-21,JHSF3,JHSF3,8.91,9.23,8.59,8.8,8.8,2535200,8.91,9.23,8.59,8.8,1.0,9.23,8.59,0,2535200,8832,22931501.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-01-28,JHSF3,JHSF3,8.91,8.94,8.45,8.7,8.7,2524600,8.91,8.94,8.45,8.7,1.0,8.94,8.45,0,2524600,9950,21899093.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-02-04,JHSF3,JHSF3,8.78,8.81,8.41,8.46,8.46,2594900,8.78,8.81,8.41,8.46,1.0,8.81,8.41,0,2594900,8015,22275719.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-02-13,JHSF3,JHSF3,8.47,8.58,8.11,8.5,8.5,1939100,8.47,8.58,8.11,8.5,1.0,8.58,8.11,0,1939100,6070,16308940.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-02-18,JHSF3,JHSF3,8.43,8.69,8.14,8.45,8.45,2367800,8.43,8.69,8.14,8.45,1.0,8.69,8.14,0,2367800,9952,19966705.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-02-25,JHSF3,JHSF3,8.49,8.55,8.17,8.27,8.27,1581600,8.49,8.55,8.17,8.27,1.0,8.55,8.17,0,1581600,8362,13224146.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-03-04,JHSF3,JHSF3,8.18,8.29,7.71,8.14,8.14,2471500,8.18,8.29,7.71,8.14,1.0,8.29,7.71,0,2471500,9907,19775791.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-03-11,JHSF3,JHSF3,8.15,8.16,7.46,7.59,7.59,3113100,8.15,8.16,7.46,7.59,1.0,8.16,7.46,0,3113100,9858,24320805.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-03-18,JHSF3,JHSF3,7.54,8.27,7.41,7.65,7.65,2350200,7.54,8.27,7.41,7.65,1.0,8.27,7.41,0,2350200,11407,18498977.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
2013-03-25,JHSF3,JHSF3,7.74,7.86,7.46,7.7,7.7,2178100,7.74,7.86,7.46,7.7,1.0,7.86,7.46,0,2178100,7852,16716674.0,1,02,010,BRJHSFACNOR2,108,ON      NM,JHSF PART
