date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2014-01-06,BBSE3,BBSE3,23.55,23.7,22.37,23.03,23.03,29438500,23.55,23.7,22.37,23.03,1.0,23.7,22.37,0,29438500,66374,674513826.0,1,02,010,BRBBSEACNOR5,101,ON      NM,BBSEGURIDADE
2014-01-13,BBSE3,BBSE3,22.94,24.29,22.94,23.97,23.97,24598000,22.94,24.29,22.94,23.97,1.0,24.29,22.94,0,24598000,57031,583547643.0,1,02,010,BRBBSEACNOR5,101,ON      NM,BBSEGURIDADE
2014-01-20,BBSE3,BBSE3,23.89,24.34,22.97,23.29,23.29,23636200,23.89,24.34,22.97,23.29,1.0,24.34,22.97,0,23636200,50237,563268324.0,1,02,010,BRBBSEACNOR5,101,ON      NM,BBSEGURIDADE
2014-01-27,BBSE3,BBSE3,23.45,23.57,22.15,22.7,22.7,18849100,23.45,23.57,22.15,22.7,1.0,23.57,22.15,0,18849100,48337,431491126.0,1,02,010,BRBBSEACNOR5,101,ON      NM,BBSEGURIDADE
2014-02-03,BBSE3,BBSE3,22.6,23.89,21.54,23.35,23.35,27838900,22.6,23.89,21.54,23.35,1.0,23.89,21.54,0,27838900,72751,632756564.0,1,02,010,BRBBSEACNOR5,101,ON      NM,BBSEGURIDADE
2014-02-10,BBSE3,BBSE3,23.25,24.6,23.08,24.34,24.34,41229600,23.25,24.6,23.08,24.34,1.0,24.6,23.08,0,41229600,70071,990634744.0,1,02,010,BRBBSEACNOR5,101,ON      NM,BBSEGURIDADE
2014-02-17,BBSE3,BBSE3,23.85,23.9,22.68,23.5,23.5,15268600,23.85,23.9,22.68,23.5,1.0,23.9,22.68,0,15268600,51244,357494873.0,1,02,010,BRBBSEACNOR5,102,ON  EDR NM,BBSEGURIDADE
2014-02-24,BBSE3,BBSE3,23.38,23.76,23.01,23.3,23.3,16320200,23.38,23.76,23.01,23.3,1.0,23.76,23.01,0,16320200,51959,382731826.0,1,02,010,BRBBSEACNOR5,102,ON      NM,BBSEGURIDADE
2014-03-05,BBSE3,BBSE3,23.5,23.54,22.77,23.2,23.2,11224700,23.5,23.54,22.77,23.2,1.0,23.54,22.77,0,11224700,38546,261902313.0,1,02,010,BRBBSEACNOR5,102,ON      NM,BBSEGURIDADE
2014-03-10,BBSE3,BBSE3,23.08,23.15,22.07,22.37,22.37,37574900,23.08,23.15,22.07,22.37,1.0,23.15,22.07,0,37574900,87281,841883582.0,1,02,010,BRBBSEACNOR5,102,ON      NM,BBSEGURIDADE
2014-03-17,BBSE3,BBSE3,22.3,23.97,22.19,23.26,23.26,36799600,22.3,23.97,22.19,23.26,1.0,23.97,22.19,0,36799600,96799,852188505.0,1,02,010,BRBBSEACNOR5,102,ON      NM,BBSEGURIDADE
