date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2015-01-02,BBSE3,BBSE3,32.21108762679101,32.21108762679101,29.9,31.03,31.03,3518700,32.21108762679101,32.21108762679101,29.9,31.03,1.0,32.21108762679101,29.9,0,3518700,12922,107624272.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-05,BBSE3,BBSE3,31.620543813395507,31.620543813395507,28.98,29.8075,29.8075,4213200,31.620543813395507,31.620543813395507,28.98,29.8075,1.0,31.620543813395507,28.98,0,4213200,14611,124509922.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-06,BBSE3,BBSE3,30.714021906697752,30.714021906697752,29.39,30.04,30.04,5174300,30.714021906697752,30.714021906697752,29.39,30.04,1.0,30.714021906697752,29.39,0,5174300,11171,156385278.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-07,BBSE3,BBSE3,30.377010953348876,30.99,29.83,30.487499999999997,30.487499999999997,7304600,30.377010953348876,30.99,29.83,30.487499999999997,1.0,30.99,29.83,0,7304600,16296,221190712.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-08,BBSE3,BBSE3,30.432255476674435,30.59,29.55,30.2225,30.2225,5616800,30.432255476674435,30.59,29.55,30.2225,1.0,30.59,29.55,0,5616800,10270,169697466.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-09,BBSE3,BBSE3,30.32737773833722,30.32737773833722,29.0,29.5825,29.5825,5007200,30.32737773833722,30.32737773833722,29.0,29.5825,1.0,30.32737773833722,29.0,0,5007200,14148,146449211.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-12,BBSE3,BBSE3,29.954938869168608,30.14,28.89,29.545,29.545,7033000,29.954938869168608,30.14,28.89,29.545,1.0,30.14,28.89,0,7033000,13425,206326981.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-13,BBSE3,BBSE3,29.749969434584305,30.37,29.27,29.689999999999998,29.689999999999998,4686700,29.749969434584305,30.37,29.27,29.689999999999998,1.0,30.37,29.27,0,4686700,10865,139586430.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-14,BBSE3,BBSE3,29.71998471729215,29.71998471729215,28.35,28.782500000000002,28.782500000000002,6407300,29.71998471729215,29.71998471729215,28.35,28.782500000000002,1.0,29.71998471729215,28.35,0,6407300,19309,183734050.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-15,BBSE3,BBSE3,29.251242358646074,29.46,28.6,28.9525,28.9525,6303600,29.251242358646074,29.46,28.6,28.9525,1.0,29.46,28.6,0,6303600,15105,183163053.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-16,BBSE3,BBSE3,29.101871179323037,30.54,29.0,29.697499999999998,29.697499999999998,3790200,29.101871179323037,30.54,29.0,29.697499999999998,1.0,30.54,29.0,0,3790200,14528,113667103.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-19,BBSE3,BBSE3,29.399685589661516,30.37,29.399685589661516,29.915,29.915,3489100,29.399685589661516,30.37,29.399685589661516,29.915,1.0,30.37,29.399685589661516,0,3489100,8666,104600427.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-20,BBSE3,BBSE3,29.657342794830758,30.18,29.07,29.6175,29.6175,2925500,29.657342794830758,30.18,29.07,29.6175,1.0,30.18,29.07,0,2925500,7941,86775756.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-21,BBSE3,BBSE3,29.63742139741538,30.69,29.25,29.93,29.93,4285900,29.63742139741538,30.69,29.25,29.93,1.0,30.69,29.25,0,4285900,12470,129139896.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-22,BBSE3,BBSE3,29.78371069870769,31.0,29.45,30.335,30.335,4921300,29.78371069870769,31.0,29.45,30.335,1.0,31.0,29.45,0,4921300,10969,149764859.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-23,BBSE3,BBSE3,30.059355349353844,30.25,29.75,30.052500000000002,30.052500000000002,3896200,30.059355349353844,30.25,29.75,30.052500000000002,1.0,30.25,29.75,0,3896200,6289,117066587.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-26,BBSE3,BBSE3,30.055927674676923,30.36,29.61,29.975,29.975,4167300,30.055927674676923,30.36,29.61,29.975,1.0,30.36,29.61,0,4167300,8529,125501899.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-27,BBSE3,BBSE3,30.015463837338462,30.1,28.87,29.5925,29.5925,3821800,30.015463837338462,30.1,28.87,29.5925,1.0,30.1,28.87,0,3821800,9487,112404875.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-28,BBSE3,BBSE3,29.80398191866923,29.80398191866923,28.78,29.09,29.09,5110600,29.80398191866923,29.80398191866923,28.78,29.09,1.0,29.80398191866923,28.78,0,5110600,14693,148356829.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
2015-01-29,BBSE3,BBSE3,29.446990959334613,29.57,28.51,29.1075,29.1075,4119600,29.446990959334613,29.57,28.51,29.1075,1.0,29.57,28.51,0,4119600,12926,120099140.0,1,02,010,BRBBSEACNOR5,103,ON      NM,BBSEGURIDADE
