date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2016-01-04,BBDC3,BBDC3,10.1942714870509,10.1942714870509,8.92809599368391,9.285596149384636,9.285596149384636,15893878,21.671728547849774,21.671728547849774,18.98,19.74,0.4703949417114811,21.671728547849774,18.98,0,7476400,32581,148448230.0,1,02,010,BRBBDCACNOR1,643,ON  EJ  N1,BRADESCO
2016-01-11,BBDC3,BBDC3,9.739933818217768,9.739933818217768,8.55648398973184,8.902224271889779,8.902224271889779,18068648,20.705864273924888,20.705864273924888,18.19,18.925,0.470394941711481,20.705864273924888,18.19,0,8499400,26582,161090453.0,1,02,010,BRBBDCACNOR1,643,ON      N1,BRADESCO
2016-01-18,BBDC3,BBDC3,9.321079045053773,9.321079045053773,8.42006945663551,8.670554763096874,8.670554763096874,14258019,19.815432136962443,19.815432136962443,17.9,18.432499999999997,0.47039494171148105,19.815432136962443,17.9,0,6706900,24397,123583341.0,1,02,010,BRBBDCACNOR1,643,ON      N1,BRADESCO
2016-01-26,BBDC3,BBDC3,8.995816904075323,9.295004048218866,8.603523483902986,8.945735803998089,8.945735803998089,16802689,19.12396606848122,19.76,18.29,19.0175,0.470394941711481,19.76,18.29,0,7903900,25997,151082641.0,1,02,010,BRBBDCACNOR1,643,ON      N1,BRADESCO
2016-02-01,BBDC3,BBDC3,8.970776354036705,10.381616363572386,8.937503892518139,9.599584772977048,9.599584772977048,22329747,19.07073303424061,22.07,19.0,20.4075,0.470394941711481,22.07,19.0,0,10503800,34031,215747323.0,1,02,010,BRBBDCACNOR1,644,ON  EJ  N1,BRADESCO
2016-02-10,BBDC3,BBDC3,9.285180563506877,9.972372764283397,9.285180563506877,9.78068682553597,9.78068682553597,8951627,19.739116517120305,21.2,19.739116517120305,20.7925,0.47039494171148105,21.2,19.739116517120305,0,4210800,18209,87665677.0,1,02,010,BRBBDCACNOR1,644,ON  EJ  N1,BRADESCO
2016-02-15,BBDC3,BBDC3,9.532933694521423,10.508622997834486,9.532933694521423,10.094675449128383,10.094675449128383,17162387,20.265808258560153,22.34,20.265808258560153,21.46,0.470394941711481,22.34,20.265808258560153,0,8073100,34890,173975030.0,1,02,010,BRBBDCACNOR1,644,ON      N1,BRADESCO
2016-02-22,BBDC3,BBDC3,9.813804571824903,10.983721888963082,9.813804571824903,10.59447007469683,10.59447007469683,16355618,20.862904129280075,23.35,20.862904129280075,22.5225,0.47039494171148094,23.35,20.862904129280075,0,7693600,37264,173796156.0,1,02,010,BRBBDCACNOR1,644,ON      N1,BRADESCO
2016-02-29,BBDC3,BBDC3,10.204137323260866,13.500334827119504,10.204137323260866,12.051518406648144,12.051518406648144,30376390,21.692702064640038,28.7,21.692702064640038,25.619999999999997,0.4703949417114811,28.7,21.692702064640038,0,14288900,51585,362619407.0,1,02,010,BRBBDCACNOR1,645,ON  EJ  N1,BRADESCO
2016-03-07,BBDC3,BBDC3,11.127827864954504,14.1024403525102,11.127827864954504,13.592061840753244,13.592061840753244,29265409,23.656351032320018,29.98,23.656351032320018,28.895,0.47039494171148105,29.98,23.656351032320018,0,13766300,57112,392515187.0,1,02,010,BRBBDCACNOR1,645,ON  EJ  N1,BRADESCO
2016-03-14,BBDC3,BBDC3,12.359944852853875,14.676322181398207,12.359944852853875,13.907226451699934,13.907226451699934,30766063,26.275675516160007,31.2,26.275675516160007,29.564999999999998,0.470394941711481,31.2,26.275675516160007,0,14472200,64614,426318320.0,1,02,010,BRBBDCACNOR1,645,ON      N1,BRADESCO
2016-03-21,BBDC3,BBDC3,13.133585652276905,14.732769574403585,13.133585652276905,14.21063118910384,14.21063118910384,16152598,27.920337758080002,31.32,27.920337758080002,30.21,0.47039494171148094,31.32,27.920337758080002,0,7598100,28533,231816402.0,1,02,010,BRBBDCACNOR1,645,ON      N1,BRADESCO
2016-03-28,BBDC3,BBDC3,13.672108420690371,15.085565780687196,13.672108420690371,14.449356622022417,14.449356622022417,15285028,29.06516887904,32.07,29.06516887904,30.7175,0.470394941711481,32.07,29.06516887904,0,7190000,28872,220779618.0,1,02,010,BRBBDCACNOR1,645,ON      N1,BRADESCO
2016-04-04,BBDC3,BBDC3,14.060732521356394,14.51168395179919,13.603821714296032,14.177703543184037,14.177703543184037,12220370,29.89133443952,30.85,28.92,30.14,0.470394941711481,30.85,28.92,0,5748400,23629,172083247.0,1,02,010,BRBBDCACNOR1,646,ON  EJ  N1,BRADESCO
2016-04-11,BBDC3,BBDC3,14.119218032270215,15.598296267152708,14.119218032270215,14.915047614316784,14.915047614316784,18003169,30.01566721976,33.16,30.01566721976,31.7075,0.470394941711481,33.16,30.01566721976,0,8468600,35247,271206677.0,1,02,010,BRBBDCACNOR1,646,ON      N1,BRADESCO
2016-04-18,BBDC3,BBDC3,14.5171328232935,15.155654627002209,14.213923953695822,14.666679085093122,14.666679085093122,18648739,30.86158360988,30.86158360988,27.47,28.345,0.5174344358826292,30.86158360988,27.47,0,9649500,29970,274639149.0,1,02,010,BRBBDCACNOR1,647,ON  EB  N1,BRADESCO
2016-04-25,BBDC3,BBDC3,14.591905954193312,15.134957249566902,14.022473212419252,14.541201234391586,14.541201234391586,14282582,29.60329180494,29.60329180494,27.1,28.1025,0.5174344358826292,29.60329180494,27.1,0,7390300,29148,208974899.0,1,02,010,BRBBDCACNOR1,647,ON      N1,BRADESCO
2016-05-02,BBDC3,BBDC3,14.566553594292449,14.726184045219627,13.836196815501504,14.35492483747384,14.35492483747384,9123088,28.85289590247,28.85289590247,26.74,27.7425,0.5174344358826292,28.85289590247,26.74,0,4720600,22049,129571072.0,1,02,010,BRBBDCACNOR1,648,ON  EJ  N1,BRADESCO
2016-05-09,BBDC3,BBDC3,14.460739215883144,15.316059302125824,13.60335131935432,14.36268635401208,14.36268635401208,15425722,28.297697951235,29.6,26.29,27.757499999999997,0.5174344358826293,29.6,26.29,0,7981800,39967,226256940.0,1,02,010,BRBBDCACNOR1,648,ON      N1,BRADESCO
2016-05-16,BBDC3,BBDC3,14.411712784947612,14.586476747531316,13.489515743460142,13.999188662804531,13.999188662804531,9184159,28.0275989756175,28.19,26.07,27.055000000000003,0.517434435882629,28.19,26.07,0,4752200,21179,127789134.0,1,02,010,BRBBDCACNOR1,648,ON      N1,BRADESCO
2016-05-23,BBDC3,BBDC3,14.205450723876073,14.205450723876073,13.096265572189344,13.299358588273275,13.299358588273275,7112399,27.54129948780875,27.54129948780875,25.31,25.7025,0.5174344358826292,27.54129948780875,25.31,0,3680200,18279,95592088.0,1,02,010,BRBBDCACNOR1,648,ON      N1,BRADESCO
