date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2017-01-02,PETR4,PETR4,14.631182802123774,14.7,14.6,14.649999999999999,14.649999999999999,7525700,14.631182802123774,14.7,14.6,14.649999999999999,1.0,14.7,14.6,0,7525700,6897,110251594.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-03,PETR4,PETR4,14.640591401061887,15.65,14.640591401061887,15.2625,15.2625,39947800,14.640591401061887,15.65,14.640591401061887,15.2625,1.0,15.65,14.640591401061887,0,39947800,37364,613726454.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-04,PETR4,PETR4,14.951545700530943,15.68,14.951545700530943,15.485,15.485,37071700,14.951545700530943,15.68,14.951545700530943,15.485,1.0,15.68,14.951545700530943,0,37071700,32250,574660470.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-05,PETR4,PETR4,15.218272850265471,15.91,15.218272850265471,15.745,15.745,47586300,15.218272850265471,15.91,15.218272850265471,15.745,1.0,15.91,15.218272850265471,0,47586300,34266,750416010.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-06,PETR4,PETR4,15.481636425132734,15.92,15.481636425132734,15.715,15.715,25592000,15.481636425132734,15.92,15.481636425132734,15.715,1.0,15.92,15.481636425132734,0,25592000,28712,401383340.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-09,PETR4,PETR4,15.598318212566367,15.6,15.33,15.44,15.44,25599000,15.598318212566367,15.6,15.33,15.44,1.0,15.6,15.33,0,25599000,20548,395853062.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-10,PETR4,PETR4,15.519159106283183,15.68,15.39,15.537500000000001,15.537500000000001,26239900,15.519159106283183,15.68,15.39,15.537500000000001,1.0,15.68,15.39,0,26239900,31187,408290348.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-11,PETR4,PETR4,15.528329553141592,15.68,15.27,15.5625,15.5625,34399300,15.528329553141592,15.68,15.27,15.5625,1.0,15.68,15.27,0,34399300,27680,533930096.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-12,PETR4,PETR4,15.545414776570796,16.25,15.545414776570796,16.05,16.05,49890300,15.545414776570796,16.25,15.545414776570796,16.05,1.0,16.25,15.545414776570796,0,49890300,43412,800242399.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-13,PETR4,PETR4,15.7977073882854,15.95,15.57,15.7425,15.7425,34450000,15.7977073882854,15.95,15.57,15.7425,1.0,15.95,15.57,0,34450000,30285,540794917.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-16,PETR4,PETR4,15.7701036941427,15.7701036941427,15.58,15.695,15.695,20069600,15.7701036941427,15.7701036941427,15.58,15.695,1.0,15.7701036941427,15.58,0,20069600,13728,315096558.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-17,PETR4,PETR4,15.732551847071349,15.97,15.72,15.81,15.81,28663300,15.732551847071349,15.97,15.72,15.81,1.0,15.97,15.72,0,28663300,24438,455286006.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-18,PETR4,PETR4,15.771275923535676,15.93,15.71,15.8075,15.8075,24725200,15.771275923535676,15.93,15.71,15.8075,1.0,15.93,15.71,0,24725200,24053,391422264.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-19,PETR4,PETR4,15.789387961767837,15.88,15.58,15.7625,15.7625,21677600,15.789387961767837,15.88,15.58,15.7625,1.0,15.88,15.58,0,21677600,20572,341918356.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-20,PETR4,PETR4,15.775943980883918,16.19,15.775943980883918,15.96,15.96,34863500,15.775943980883918,16.19,15.775943980883918,15.96,1.0,16.19,15.775943980883918,0,34863500,37513,558667203.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-23,PETR4,PETR4,15.867971990441958,16.09,15.79,15.9525,15.9525,25139100,15.867971990441958,16.09,15.79,15.9525,1.0,16.09,15.79,0,25139100,27681,401372150.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-24,PETR4,PETR4,15.91023599522098,16.43,15.91023599522098,16.14,16.14,49710600,15.91023599522098,16.43,15.91023599522098,16.14,1.0,16.43,15.91023599522098,0,49710600,50520,805622019.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-26,PETR4,PETR4,16.02511799761049,16.19,15.8,15.985,15.985,37391900,16.02511799761049,16.19,15.8,15.985,1.0,16.19,15.8,0,37391900,41385,597099756.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-27,PETR4,PETR4,16.005058998805247,16.005058998805247,15.54,15.69,15.69,23275300,16.005058998805247,16.005058998805247,15.54,15.69,1.0,16.005058998805247,15.54,0,23275300,30818,364881549.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-30,PETR4,PETR4,15.847529499402622,15.847529499402622,14.84,15.18,15.18,26779500,15.847529499402622,15.847529499402622,14.84,15.18,1.0,15.847529499402622,14.84,0,26779500,41856,404592675.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
2017-01-31,PETR4,PETR4,15.513764749701311,15.513764749701311,14.9,15.07,15.07,30807200,15.513764749701311,15.513764749701311,14.9,15.07,1.0,15.513764749701311,14.9,0,30807200,37108,466453226.0,1,02,010,BRPETRACNPR6,186,PN,PETROBRAS
