date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2018-01-02,FLRY3,FLRY3,28.295238095238094,28.514285714285712,28.00952380952381,28.285714285714285,28.285714285714285,2254245,29.71,29.94,29.41,29.7,0.9523809523809523,29.94,29.41,0,2146900,8770,63819048.0,1,02,010,BRFLRYACNOR5,119,ON      NM,FLEURY
2018-01-03,FLRY3,FLRY3,28.276190476190475,28.485714285714284,27.438095238095237,27.609523809523807,27.609523809523807,1614795,29.69,29.91,28.81,28.99,0.9523809523809523,29.91,28.81,0,1537900,6316,44892459.0,1,02,010,BRFLRYACNOR5,120,ON  EJ  NM,FLEURY
2018-01-04,FLRY3,FLRY3,27.952380952380953,27.97142857142857,27.028571428571425,27.057142857142857,27.057142857142857,1929795,29.35,29.37,28.38,28.41,0.9523809523809523,29.37,28.38,0,1837900,7491,52969646.0,1,02,010,BRFLRYACNOR5,120,ON  EJ  NM,FLEURY
2018-01-05,FLRY3,FLRY3,27.142857142857142,27.447619047619046,26.847619047619048,27.447619047619046,27.447619047619046,1499820,28.5,28.82,28.19,28.82,0.9523809523809523,28.82,28.19,0,1428400,5457,40760519.0,1,02,010,BRFLRYACNOR5,120,ON  EJ  NM,FLEURY
2018-01-08,FLRY3,FLRY3,27.419047619047618,27.419047619047618,26.73333333333333,26.73333333333333,26.73333333333333,1625295,28.79,28.79,28.07,28.07,0.9523809523809523,28.79,28.07,0,1547900,6423,43711641.0,1,02,010,BRFLRYACNOR5,120,ON  EJ  NM,FLEURY
2018-01-09,FLRY3,FLRY3,26.761904761904763,26.895238095238092,25.952380952380953,25.961904761904762,25.961904761904762,1645875,28.1,28.24,27.25,27.26,0.9523809523809523,28.24,27.25,0,1567500,7163,43140795.0,1,02,010,BRFLRYACNOR5,120,ON  EJ  NM,FLEURY
2018-01-10,FLRY3,FLRY3,25.961904761904762,26.809523809523807,25.80952380952381,26.809523809523807,26.809523809523807,1572270,27.26,28.15,27.1,28.15,0.9523809523809523,28.15,27.1,0,1497400,7593,41583760.0,1,02,010,BRFLRYACNOR5,120,ON  EJ  NM,FLEURY
2018-01-11,FLRY3,FLRY3,26.809523809523807,26.838095238095235,26.009523809523806,26.266666666666662,26.266666666666662,1623510,28.15,28.18,27.31,27.58,0.9523809523809523,28.18,27.31,0,1546200,7045,42609315.0,1,02,010,BRFLRYACNOR5,120,ON  EJ  NM,FLEURY
2018-01-12,FLRY3,FLRY3,26.19047619047619,26.314285714285713,25.80952380952381,26.104761904761904,26.104761904761904,1078455,27.5,27.63,27.1,27.41,0.9523809523809523,27.63,27.1,0,1027100,6217,28114301.0,1,02,010,BRFLRYACNOR5,120,ON  EJ  NM,FLEURY
2018-01-15,FLRY3,FLRY3,26.152380952380952,26.97142857142857,25.9047619047619,26.53333333333333,26.53333333333333,1127280,27.46,28.32,27.2,27.86,0.9523809523809523,28.32,27.2,0,1073600,4048,29958881.0,1,02,010,BRFLRYACNOR5,120,ON      NM,FLEURY
2018-01-16,FLRY3,FLRY3,26.53333333333333,26.74285714285714,26.304761904761904,26.38095238095238,26.38095238095238,1330035,27.86,28.08,27.62,27.7,0.9523809523809523,28.08,27.62,0,1266700,4510,35164191.0,1,02,010,BRFLRYACNOR5,120,ON      NM,FLEURY
2018-01-17,FLRY3,FLRY3,26.4,26.666666666666664,26.333333333333332,26.53333333333333,26.53333333333333,1220310,27.72,28.0,27.65,27.86,0.9523809523809523,28.0,27.65,0,1162200,6491,32348740.0,1,02,010,BRFLRYACNOR5,120,ON      NM,FLEURY
