date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2019-01-02,PETR4,PETR4,22.55,24.94,22.28,24.72,24.72,271861000,22.55,24.94,22.28,24.72,1.0,24.94,22.28,0,271861000,245966,6564738153.0,1,02,010,BRPETRACNPR6,191,PN  EJ  N2,PETROBRAS
2019-01-07,PETR4,PETR4,24.85,25.92,24.7,24.99,24.99,369395700,24.85,25.92,24.7,24.99,1.0,25.92,24.7,0,369395700,419373,9308730790.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-01-14,PETR4,PETR4,24.82,25.56,24.66,25.4,25.4,258114500,24.82,25.56,24.66,25.4,1.0,25.56,24.66,0,258114500,236672,6465222186.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-01-21,PETR4,PETR4,25.31,25.54,25.02,25.54,25.54,199684100,25.31,25.54,25.02,25.54,1.0,25.54,25.02,0,199684100,167880,5059582695.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-01-28,PETR4,PETR4,25.29,25.96,24.74,25.8,25.8,298317600,25.29,25.96,24.74,25.8,1.0,25.96,24.74,0,298317600,297378,7606368907.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-02-04,PETR4,PETR4,25.84,26.12,24.66,25.13,25.13,255159000,25.84,26.12,24.66,25.13,1.0,26.12,24.66,0,255159000,218033,6517146077.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-02-11,PETR4,PETR4,25.17,27.02,24.54,26.84,26.84,326094000,25.17,27.02,24.54,26.84,1.0,27.02,24.54,0,326094000,298718,8506475370.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-02-18,PETR4,PETR4,26.59,27.7,26.41,27.13,27.13,239696800,26.59,27.7,26.41,27.13,1.0,27.7,26.41,0,239696800,238891,6503797597.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-02-25,PETR4,PETR4,27.0,27.75,26.57,26.7,26.7,284870200,27.0,27.75,26.57,26.7,1.0,27.75,26.57,0,284870200,202280,7673031822.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-03-06,PETR4,PETR4,26.55,26.91,26.22,26.67,26.67,100823100,26.55,26.91,26.22,26.67,1.0,26.91,26.22,0,100823100,122053,2680788441.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-03-11,PETR4,PETR4,27.02,28.39,27.01,28.25,28.25,295903700,27.02,28.39,27.01,28.25,1.0,28.39,27.01,0,295903700,326349,8245654005.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-03-18,PETR4,PETR4,28.35,29.6,27.0,27.0,27.0,415074600,28.35,29.6,27.0,27.0,1.0,29.6,27.0,0,415074600,269106,11803682126.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-03-25,PETR4,PETR4,26.83,28.68,26.82,28.06,28.06,383737500,26.83,28.68,26.82,28.06,1.0,28.68,26.82,0,383737500,324937,10651676712.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-04-01,PETR4,PETR4,28.4,28.89,27.37,28.78,28.78,242828300,28.4,28.89,27.37,28.78,1.0,28.89,27.37,0,242828300,259567,6858211559.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-04-08,PETR4,PETR4,29.06,29.57,25.57,25.83,25.83,444572900,29.06,29.57,25.57,25.83,1.0,29.57,25.57,0,444572900,300539,12242552084.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-04-15,PETR4,PETR4,26.35,27.89,25.55,27.6,27.6,417647000,26.35,27.89,25.55,27.6,1.0,27.89,25.55,0,417647000,179044,11184247980.0,1,02,010,BRPETRACNPR6,191,PN      N2,PETROBRAS
2019-04-22,PETR4,PETR4,27.69,28.07,27.06,27.25,27.25,263044400,27.69,28.07,27.06,27.25,1.0,28.07,27.06,0,263044400,293211,7268436612.0,1,02,010,BRPETRACNPR6,192,PN  ED  N2,PETROBRAS
2019-04-29,PETR4,PETR4,27.55,27.66,26.52,26.85,26.85,138415600,27.55,27.66,26.52,26.85,1.0,27.66,26.52,0,138415600,159203,3744431907.0,1,02,010,BRPETRACNPR6,192,PN  ED  N2,PETROBRAS
2019-05-06,PETR4,PETR4,26.39,27.47,26.12,26.68,26.68,235949900,26.39,27.47,26.12,26.68,1.0,27.47,26.12,0,235949900,263323,6317844334.0,1,02,010,BRPETRACNPR6,192,PN      N2,PETROBRAS
2019-05-13,PETR4,PETR4,26.21,26.47,24.47,24.68,24.68,228962000,26.21,26.47,24.47,24.68,1.0,26.47,24.47,0,228962000,259662,5869495921.0,1,02,010,BRPETRACNPR6,192,PN      N2,PETROBRAS
