date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2019-01-02,IRBR3,IRBR3,793.4307768178792,849.9,793.4307768178792,825.3,825.3,331370,79.34307768178793,84.99,79.34307768178793,82.53,10.0,84.99,79.34307768178793,0,3313700,17673,273066321.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
2019-01-07,IRBR3,IRBR3,809.3653884089396,836.5999999999999,793.1999999999999,810.4499999999999,810.4499999999999,737270,80.93653884089397,83.66,79.32,81.045,9.999999999999998,83.66,79.32,0,7372700,30721,601142211.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
2019-01-14,IRBR3,IRBR3,809.9076942044697,863.1,783.0,825.9499999999999,825.9499999999999,807720,80.99076942044698,86.31,78.3,82.595,10.0,86.31,78.3,0,8077200,32006,662390314.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
2019-01-21,IRBR3,IRBR3,817.9288471022348,879.3000000000001,817.9288471022348,868.9250000000001,868.9250000000001,182840,81.79288471022349,87.93,81.79288471022349,86.8925,10.000000000000002,87.93,81.79288471022349,0,1828400,9064,158251104.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
2019-01-28,IRBR3,IRBR3,843.4269235511174,907.0999999999999,837.0999999999999,865.8499999999999,865.8499999999999,660450,84.34269235511175,90.71,83.71,86.585,10.0,90.71,83.71,0,6604500,34100,572750062.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
2019-02-04,IRBR3,IRBR3,854.6384617755587,892.0999999999999,840.1,874.775,874.775,577620,85.46384617755587,89.21,84.01,87.47749999999999,10.0,89.21,84.01,0,5776200,27906,502045908.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
2019-02-11,IRBR3,IRBR3,864.7067308877793,932.0999999999999,864.7067308877793,904.3249999999999,904.3249999999999,755810,86.47067308877793,93.21,86.47067308877793,90.4325,9.999999999999998,93.21,86.47067308877793,0,7558100,34578,688286497.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
2019-02-18,IRBR3,IRBR3,884.5158654438897,954.7,884.5158654438897,927.95,927.95,639530,88.45158654438896,95.47,88.45158654438896,92.79499999999999,10.000000000000002,95.47,88.45158654438896,0,6395300,24949,592479404.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
2019-02-25,IRBR3,IRBR3,906.2329327219448,946.2,883.1,918.1999999999999,918.1999999999999,1022410,90.62329327219447,94.62,88.31,91.82000000000001,9.999999999999998,94.62,88.31,0,10224100,39517,931296897.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
2019-03-06,IRBR3,IRBR3,912.2164663609724,914.9,838.1,892.9,892.9,855040,91.22164663609723,91.49,83.81,89.28999999999999,10.0,91.49,83.81,0,8550400,30545,756254449.0,1,02,010,BRIRBRACNOR4,103,ON      NM,IRBBRASIL RE
