date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2021-01-04,LOGG3,LOGG3,34.37,34.62,33.45,33.68,33.68,390300,34.37,34.62,33.45,33.68,1.0,34.62,33.45,0,390300,2536,13210909.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-05,LOGG3,LOGG3,33.68,33.68,32.56,33.0,33.0,308300,33.68,33.68,32.56,33.0,1.0,33.68,32.56,0,308300,2179,10189026.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-06,LOGG3,LOGG3,33.06,33.46,32.65,33.07,33.07,324500,33.06,33.46,32.65,33.07,1.0,33.46,32.65,0,324500,1993,10745228.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-07,LOGG3,LOGG3,33.59,33.6,32.43,32.62,32.62,332000,33.59,33.6,32.43,32.62,1.0,33.6,32.43,0,332000,2341,10937874.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-08,LOGG3,LOGG3,32.89,35.35,32.83,34.79,34.79,525800,32.89,35.35,32.83,34.79,1.0,35.35,32.83,0,525800,2546,18014681.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-11,LOGG3,LOGG3,34.67,34.67,33.23,33.29,33.29,478600,34.67,34.67,33.23,33.29,1.0,34.67,33.23,0,478600,2935,16086441.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-12,LOGG3,LOGG3,33.31,34.47,33.3,33.62,33.62,270100,33.31,34.47,33.3,33.62,1.0,34.47,33.3,0,270100,1889,9149649.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-13,LOGG3,LOGG3,33.85,33.99,33.45,33.57,33.57,229000,33.85,33.99,33.45,33.57,1.0,33.99,33.45,0,229000,1546,7691849.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-14,LOGG3,LOGG3,33.77,34.47,33.54,34.47,34.47,219600,33.77,34.47,33.54,34.47,1.0,34.47,33.54,0,219600,1249,7471519.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-15,LOGG3,LOGG3,34.45,34.45,33.68,33.85,33.85,184700,34.45,34.45,33.68,33.85,1.0,34.45,33.68,0,184700,1125,6257207.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-18,LOGG3,LOGG3,33.8,34.65,33.8,34.08,34.08,153500,33.8,34.65,33.8,34.08,1.0,34.65,33.8,0,153500,1066,5255477.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-19,LOGG3,LOGG3,34.34,34.39,33.47,33.64,33.64,179700,34.34,34.39,33.47,33.64,1.0,34.39,33.47,0,179700,1147,6042575.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-20,LOGG3,LOGG3,33.7,34.26,33.5,33.75,33.75,252000,33.7,34.26,33.5,33.75,1.0,34.26,33.5,0,252000,1335,8528123.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-21,LOGG3,LOGG3,33.73,34.3,33.17,34.17,34.17,318600,33.73,34.3,33.17,34.17,1.0,34.3,33.17,0,318600,1818,10686681.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
2021-01-22,LOGG3,LOGG3,33.71,33.71,33.18,33.48,33.48,243200,33.71,33.71,33.18,33.48,1.0,33.71,33.18,0,243200,1447,8124678.0,1,02,010,BRLOGGACNOR7,103,ON      NM,LOG COM PROP
