date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2021-01-04,GGBR3,GGBR3,16.1031746031746,19.71428571428571,16.1031746031746,19.246031746031743,19.246031746031743,1168776,20.29,24.84,20.29,24.25,0.7936507936507936,24.84,20.29,0,927600,2830,21298502.0,1,02,010,BRGGBRACNOR1,175,ON      N1,GERDAU
2021-01-11,GGBR3,GGBR3,19.1984126984127,19.214285714285715,17.174603174603174,17.444444444444443,17.444444444444443,919422,24.19,24.21,21.64,21.98,0.7936507936507936,24.21,21.64,0,729700,2644,16577527.0,1,02,010,BRGGBRACNOR1,175,ON      N1,GERDAU
2021-01-18,GGBR3,GGBR3,17.65079365079365,17.936507936507937,16.039682539682538,16.817460317460316,16.817460317460316,586656,22.24,22.6,20.21,21.19,0.7936507936507936,22.6,20.21,0,465600,1574,9950753.0,1,02,010,BRGGBRACNOR1,175,ON      N1,GERDAU
2021-01-26,GGBR3,GGBR3,17.055555555555554,17.063492063492063,15.111111111111109,15.674603174603174,15.674603174603174,753354,21.49,21.5,19.04,19.75,0.7936507936507936,21.5,19.04,0,597900,1872,12065500.0,1,02,010,BRGGBRACNOR1,175,ON      N1,GERDAU
2021-02-01,GGBR3,GGBR3,15.8015873015873,16.46031746031746,15.38888888888889,16.182539682539684,16.182539682539684,590058,19.91,20.74,19.39,20.39,0.7936507936507936,20.74,19.39,0,468300,1419,9330873.0,1,02,010,BRGGBRACNOR1,175,ON      N1,GERDAU
2021-02-08,GGBR3,GGBR3,16.19047619047619,16.658730158730158,15.682539682539684,16.07936507936508,16.07936507936508,469602,20.4,20.99,19.76,20.26,0.7936507936507936,20.99,19.76,0,372700,1219,7609561.0,1,02,010,BRGGBRACNOR1,175,ON      N1,GERDAU
2021-02-17,GGBR3,GGBR3,15.833333333333332,16.626984126984127,15.833333333333332,16.428571428571427,16.428571428571427,232722,19.95,20.95,19.95,20.7,0.7936507936507936,20.95,19.95,0,184700,623,3769762.0,1,02,010,BRGGBRACNOR1,175,ON      N1,GERDAU
2021-02-22,GGBR3,GGBR3,16.428571428571427,18.333333333333332,15.523809523809522,16.849206349206348,16.849206349206348,2255778,20.7,23.1,19.56,21.23,0.7936507936507936,23.1,19.56,0,1790300,6337,38921019.0,1,02,010,BRGGBRACNOR1,175,ON      N1,GERDAU
2021-03-01,GGBR3,GGBR3,17.07936507936508,18.158730158730158,16.642857142857142,17.87301587301587,17.87301587301587,1013670,21.52,22.88,20.97,22.52,0.7936507936507936,22.88,20.97,0,804500,3533,17646288.0,1,02,010,BRGGBRACNOR1,175,ON      N1,GERDAU
2021-03-08,GGBR3,GGBR3,17.777777777777775,18.357142857142854,16.904761904761905,17.666666666666668,17.666666666666668,930258,22.4,23.13,21.3,22.26,0.7936507936507936,23.13,21.3,0,738300,3395,16517702.0,1,02,010,BRGGBRACNOR1,176,ON  EJ  N1,GERDAU
2021-03-15,GGBR3,GGBR3,17.896825396825395,19.03174603174603,17.476190476190474,18.444444444444443,18.444444444444443,877086,22.55,23.98,22.02,23.24,0.7936507936507936,23.98,22.02,0,696100,2984,16209721.0,1,02,010,BRGGBRACNOR1,176,ON  EJ  N1,GERDAU
2021-03-22,GGBR3,GGBR3,18.49206349206349,18.57142857142857,16.98412698412698,18.41269841269841,18.41269841269841,793674,23.3,23.4,21.4,23.2,0.7936507936507936,23.4,21.4,0,629900,3239,14056411.0,1,02,010,BRGGBRACNOR1,176,ON      N1,GERDAU
2021-03-29,GGBR3,GGBR3,18.41269841269841,19.658730158730158,18.41269841269841,18.95238095238095,18.95238095238095,649026,23.2,24.77,23.2,23.88,0.7936507936507936,24.77,23.2,0,515100,2402,12314636.0,1,02,010,BRGGBRACNOR1,176,ON      N1,GERDAU
2021-04-05,GGBR3,GGBR3,19.047619047619047,20.436507936507937,18.95238095238095,20.404761904761905,20.404761904761905,1235808,24.0,25.75,23.88,25.71,0.7936507936507936,25.75,23.88,0,980800,4628,24446724.0,1,02,010,BRGGBRACNOR1,176,ON      N1,GERDAU
2021-04-12,GGBR3,GGBR3,20.404761904761905,21.91269841269841,20.142857142857142,21.547619047619044,21.547619047619044,1283310,25.71,27.61,25.38,27.15,0.7936507936507936,27.61,25.38,0,1018500,5636,26997018.0,1,02,010,BRGGBRACNOR1,176,ON      N1,GERDAU
2021-04-19,GGBR3,GGBR3,21.587301587301585,22.539682539682538,20.984126984126984,22.07142857142857,22.07142857142857,971208,27.2,28.4,26.44,27.81,0.7936507936507936,28.4,26.44,0,770800,3680,20963701.0,1,02,010,BRGGBRACNOR1,176,ON      N1,GERDAU
2021-04-26,GGBR3,GGBR3,22.134920634920633,23.1031746031746,21.857142857142854,21.928571428571427,21.928571428571427,876708,27.89,29.11,27.54,27.63,0.7936507936507936,29.11,27.54,0,695800,3891,19668962.0,1,02,010,BRGGBRACNOR1,176,ON      N1,GERDAU
2021-05-03,GGBR3,GGBR3,22.38095238095238,24.15079365079365,21.15079365079365,23.817460317460316,23.817460317460316,1282302,28.2,30.43,26.65,30.01,0.7936507936507936,30.43,26.65,0,1017700,5356,29169820.0,1,02,010,BRGGBRACNOR1,176,ON      N1,GERDAU
2021-05-10,GGBR3,GGBR3,24.277777777777775,24.642857142857142,22.38095238095238,22.619047619047617,22.619047619047617,1312290,30.59,31.05,28.2,28.5,0.7936507936507936,31.05,28.2,0,1041500,5369,31098558.0,1,02,010,BRGGBRACNOR1,176,ON      N1,GERDAU
2021-05-17,GGBR3,GGBR3,22.38095238095238,23.595238095238095,21.650793650793652,22.619047619047617,22.619047619047617,770490,28.2,29.73,27.28,28.5,0.7936507936507936,29.73,27.28,0,611500,3382,17656339.0,1,02,010,BRGGBRACNOR1,177,ON  ED  N1,GERDAU
2021-05-24,GGBR3,GGBR3,22.69047619047619,22.69047619047619,21.325396825396826,21.80952380952381,21.80952380952381,1000944,28.59,28.59,26.87,27.48,0.7936507936507936,28.59,26.87,0,794400,4065,21886271.0,1,02,010,BRGGBRACNOR1,177,ON      N1,GERDAU
2021-05-31,GGBR3,GGBR3,22.047619047619047,22.857142857142858,21.753968253968253,21.896825396825395,21.896825396825395,896112,27.78,28.8,27.41,27.59,0.7936507936507936,28.8,27.41,0,711200,3037,20009874.0,1,02,010,BRGGBRACNOR1,177,ON      N1,GERDAU
2021-06-07,GGBR3,GGBR3,21.936507936507937,22.134920634920633,21.055555555555554,22.103174603174605,22.103174603174605,703584,27.64,27.89,26.53,27.85,0.7936507936507936,27.89,26.53,0,558400,2766,15224750.0,1,02,010,BRGGBRACNOR1,177,ON      N1,GERDAU
2021-06-14,GGBR3,GGBR3,22.158730158730158,22.3015873015873,19.523809523809526,19.849206349206348,19.849206349206348,1380330,27.92,28.1,24.6,25.01,0.7936507936507936,28.1,24.6,0,1095500,5145,28264968.0,1,02,010,BRGGBRACNOR1,177,ON      N1,GERDAU
2021-06-21,GGBR3,GGBR3,19.936507936507937,21.158730158730158,19.452380952380953,20.865079365079364,20.865079365079364,794556,25.12,26.66,24.51,26.29,0.7936507936507936,26.66,24.51,0,630600,3239,16297488.0,1,02,010,BRGGBRACNOR1,177,ON      N1,GERDAU
2021-06-28,GGBR3,GGBR3,21.119047619047617,21.277777777777775,19.857142857142854,20.476190476190474,20.476190476190474,1032192,26.61,26.81,25.02,25.8,0.7936507936507936,26.81,25.02,0,819200,3608,21059366.0,1,02,010,BRGGBRACNOR1,177,ON      N1,GERDAU
2021-07-05,GGBR3,GGBR3,20.539682539682538,21.007936507936506,20.07142857142857,20.3015873015873,20.3015873015873,569898,25.88,26.47,25.29,25.58,0.7936507936507936,26.47,25.29,0,452300,2031,11696674.0,1,02,010,BRGGBRACNOR1,177,ON      N1,GERDAU
