date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2022-01-03,IRBR3,IRBR3,121.5,122.99999999999999,116.39999999999999,117.30000000000001,117.30000000000001,405303,4.05,4.1,3.88,3.91,30.0,4.1,3.88,0,12159100,14785,47958976.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-04,IRBR3,IRBR3,121.5,121.5,113.7,114.0,114.0,462757,4.05,4.05,3.79,3.8,30.0,4.05,3.79,0,13882700,14844,53764152.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-05,IRBR3,IRBR3,113.39999999999999,114.6,109.2,109.2,109.2,416013,3.78,3.82,3.64,3.64,30.0,3.82,3.64,0,12480400,14440,46517179.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-06,IRBR3,IRBR3,109.5,111.0,107.4,108.0,108.0,436637,3.65,3.7,3.58,3.6,30.0,3.7,3.58,0,13099100,13809,47637328.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-07,IRBR3,IRBR3,108.3,111.0,106.8,109.5,109.5,348373,3.61,3.7,3.56,3.65,30.0,3.7,3.56,0,10451200,12501,38081402.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-10,IRBR3,IRBR3,109.5,110.4,105.6,106.2,106.2,377260,3.65,3.68,3.52,3.54,30.0,3.68,3.52,0,11317800,11856,40607983.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-11,IRBR3,IRBR3,106.5,109.2,105.89999999999999,107.69999999999999,107.69999999999999,323110,3.55,3.64,3.53,3.59,30.0,3.64,3.53,0,9693300,13522,34918458.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-12,IRBR3,IRBR3,108.0,111.0,108.0,108.89999999999999,108.89999999999999,277667,3.6,3.7,3.6,3.63,30.0,3.7,3.6,0,8330000,13517,30388656.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-13,IRBR3,IRBR3,108.60000000000001,109.80000000000001,105.89999999999999,105.89999999999999,105.89999999999999,377913,3.62,3.66,3.53,3.53,30.0,3.66,3.53,0,11337400,10802,40486454.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-14,IRBR3,IRBR3,105.89999999999999,107.1,104.4,106.2,106.2,382497,3.53,3.57,3.48,3.54,30.0,3.57,3.48,0,11474900,10682,40324985.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-17,IRBR3,IRBR3,105.3,107.4,104.10000000000001,104.4,104.4,387013,3.51,3.58,3.47,3.48,30.0,3.58,3.47,0,11610400,10839,40615487.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-18,IRBR3,IRBR3,103.5,104.10000000000001,99.9,100.5,100.5,484740,3.45,3.47,3.33,3.35,30.0,3.47,3.33,0,14542200,16787,49443351.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-19,IRBR3,IRBR3,100.8,103.2,100.5,101.10000000000001,101.10000000000001,350750,3.36,3.44,3.35,3.37,30.0,3.44,3.35,0,10522500,9905,35661241.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-20,IRBR3,IRBR3,100.8,106.8,100.8,105.6,105.6,558327,3.36,3.56,3.36,3.52,30.0,3.56,3.36,0,16749800,13438,58333239.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-21,IRBR3,IRBR3,105.0,105.3,99.9,100.19999999999999,100.19999999999999,668733,3.5,3.51,3.33,3.34,30.0,3.51,3.33,0,20062000,15764,68142362.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-24,IRBR3,IRBR3,99.3,99.6,94.80000000000001,94.80000000000001,94.80000000000001,819440,3.31,3.32,3.16,3.16,30.0,3.32,3.16,0,24583200,25973,78539042.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
2022-01-25,IRBR3,IRBR3,94.2,98.39999999999999,93.3,98.39999999999999,98.39999999999999,580650,3.14,3.28,3.11,3.28,30.0,3.28,3.11,0,17419500,21853,56218860.0,1,02,010,BRIRBRACNOR4,108,ON      NM,IRBBRASIL RE
