date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2022-01-03,PETR4,PETR4,28.54,29.22,28.53,29.09,29.09,52704700,28.54,29.22,28.53,29.09,1.0,29.22,28.53,0,52704700,82479,1528429387.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-04,PETR4,PETR4,29.16,29.4,28.91,29.2,29.2,51739200,29.16,29.4,28.91,29.2,1.0,29.4,28.91,0,51739200,78612,1509760280.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-05,PETR4,PETR4,29.19,29.27,27.94,28.07,28.07,78459800,29.19,29.27,27.94,28.07,1.0,29.27,27.94,0,78459800,91935,2237838346.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-06,PETR4,PETR4,28.29,28.65,27.84,28.05,28.05,61163100,28.29,28.65,27.84,28.05,1.0,28.65,27.84,0,61163100,94987,1725720847.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-07,PETR4,PETR4,28.11,28.29,27.82,28.18,28.18,47507600,28.11,28.29,27.82,28.18,1.0,28.29,27.82,0,47507600,67969,1333669227.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-10,PETR4,PETR4,27.99,28.24,27.72,28.01,28.01,37455200,27.99,28.24,27.72,28.01,1.0,28.24,27.72,0,37455200,59090,1046038320.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-11,PETR4,PETR4,28.1,29.07,27.85,28.84,28.84,73623800,28.1,29.07,27.85,28.84,1.0,29.07,27.85,0,73623800,91662,2105958275.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-12,PETR4,PETR4,28.95,29.91,28.95,29.72,29.72,81378200,28.95,29.91,28.95,29.72,1.0,29.91,28.95,0,81378200,97204,2403560001.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-13,PETR4,PETR4,29.53,30.63,29.5,30.32,30.32,76717500,29.53,30.63,29.5,30.32,1.0,30.63,29.5,0,76717500,19754,2323514943.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-14,PETR4,PETR4,30.28,31.6,30.24,31.45,31.45,96458800,30.28,31.6,30.24,31.45,1.0,31.6,30.24,0,96458800,51684,2998196772.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-17,PETR4,PETR4,31.4,31.81,31.25,31.5,31.5,35675900,31.4,31.81,31.25,31.5,1.0,31.81,31.25,0,35675900,72570,1126405138.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-18,PETR4,PETR4,31.56,31.98,30.97,31.64,31.64,78198800,31.56,31.98,30.97,31.64,1.0,31.98,30.97,0,78198800,10864,2467468144.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-19,PETR4,PETR4,31.9,32.21,31.44,31.49,31.49,77480200,31.9,32.21,31.44,31.49,1.0,32.21,31.44,0,77480200,31689,2467396214.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-20,PETR4,PETR4,31.5,32.0,31.11,31.72,31.72,85353100,31.5,32.0,31.11,31.72,1.0,32.0,31.11,0,85353100,45737,2705675667.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-21,PETR4,PETR4,31.57,31.88,31.53,31.77,31.77,61345400,31.57,31.88,31.53,31.77,1.0,31.88,31.53,0,61345400,86124,1945363450.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-24,PETR4,PETR4,31.69,32.25,31.04,31.95,31.95,79117100,31.69,32.25,31.04,31.95,1.0,32.25,31.04,0,79117100,26160,2501533202.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-25,PETR4,PETR4,31.7,33.23,31.58,32.99,32.99,98358500,31.7,33.23,31.58,32.99,1.0,33.23,31.58,0,98358500,21752,3198173864.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-26,PETR4,PETR4,33.3,34.27,33.3,33.87,33.87,98679900,33.3,34.27,33.3,33.87,1.0,34.27,33.3,0,98679900,33744,3350674370.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-27,PETR4,PETR4,34.25,34.64,33.17,33.88,33.88,90631000,34.25,34.64,33.17,33.88,1.0,34.64,33.17,0,90631000,34272,3080973780.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-28,PETR4,PETR4,33.8,34.35,32.2,32.54,32.54,117400500,33.8,34.35,32.2,32.54,1.0,34.35,32.2,0,117400500,39973,3903485549.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-01-31,PETR4,PETR4,32.5,33.0,32.07,32.35,32.35,62450300,32.5,33.0,32.07,32.35,1.0,33.0,32.07,0,62450300,8580,2024954468.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-01,PETR4,PETR4,32.35,33.32,31.95,33.0,33.0,57315200,32.35,33.32,31.95,33.0,1.0,33.32,31.95,0,57315200,92039,1882093876.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-02,PETR4,PETR4,33.41,33.49,32.36,32.52,32.52,36271700,33.41,33.49,32.36,32.52,1.0,33.49,32.36,0,36271700,80693,1184106881.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-03,PETR4,PETR4,32.35,32.92,31.62,32.07,32.07,51087800,32.35,32.92,31.62,32.07,1.0,32.92,31.62,0,51087800,92360,1636398167.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-04,PETR4,PETR4,32.41,33.23,31.88,32.63,32.63,59346800,32.41,33.23,31.88,32.63,1.0,33.23,31.88,0,59346800,94572,1945649554.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-07,PETR4,PETR4,32.55,32.78,32.13,32.15,32.15,48868100,32.55,32.78,32.13,32.15,1.0,32.78,32.13,0,48868100,76874,1581854629.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-08,PETR4,PETR4,31.9,31.95,31.26,31.83,31.83,62590000,31.9,31.95,31.26,31.83,1.0,31.95,31.26,0,62590000,18907,1978893011.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-09,PETR4,PETR4,31.74,32.69,31.65,31.95,31.95,50960500,31.74,32.69,31.65,31.95,1.0,32.69,31.65,0,50960500,78715,1642275764.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-10,PETR4,PETR4,32.3,32.9,31.94,32.44,32.44,49534600,32.3,32.9,31.94,32.44,1.0,32.9,31.94,0,49534600,86264,1611740438.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-11,PETR4,PETR4,32.77,33.91,32.63,33.76,33.76,88013400,32.77,33.91,32.63,33.76,1.0,33.91,32.63,0,88013400,22724,2948371631.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-14,PETR4,PETR4,33.86,33.94,32.82,33.0,33.0,55687000,33.86,33.94,32.82,33.0,1.0,33.94,32.82,0,55687000,85129,1846276707.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-15,PETR4,PETR4,32.66,32.68,31.89,32.48,32.48,65689000,32.66,32.68,31.89,32.48,1.0,32.68,31.89,0,65689000,90608,2125152132.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-16,PETR4,PETR4,32.83,33.7,32.77,32.93,32.93,65811600,32.83,33.7,32.77,32.93,1.0,33.7,32.77,0,65811600,15792,2194406813.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-17,PETR4,PETR4,32.85,33.29,32.55,32.8,32.8,43255200,32.85,33.29,32.55,32.8,1.0,33.29,32.55,0,43255200,71707,1419332439.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-18,PETR4,PETR4,32.57,33.09,32.27,33.0,33.0,60304700,32.57,33.09,32.27,33.0,1.0,33.09,32.27,0,60304700,89507,1974030941.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-21,PETR4,PETR4,33.05,34.0,33.0,33.85,33.85,51263800,33.05,34.0,33.0,33.85,1.0,34.0,33.0,0,51263800,97245,1725746454.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-22,PETR4,PETR4,34.22,34.68,33.21,33.74,33.74,80206700,34.22,34.68,33.21,33.74,1.0,34.68,33.21,0,80206700,14319,2713600538.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-23,PETR4,PETR4,34.18,34.6,33.8,34.22,34.22,86530100,34.18,34.6,33.8,34.22,1.0,34.6,33.8,0,86530100,34273,2966170489.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-24,PETR4,PETR4,34.8,35.29,32.68,33.39,33.39,139674100,34.8,35.29,32.68,33.39,1.0,35.29,32.68,0,139674100,2607,4734199084.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-02-25,PETR4,PETR4,33.45,34.0,32.9,34.0,34.0,86189100,33.45,34.0,32.9,34.0,1.0,34.0,32.9,0,86189100,23291,2893397042.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-02,PETR4,PETR4,35.26,35.29,34.39,34.67,34.67,58071800,35.26,35.29,34.39,34.67,1.0,35.29,34.39,0,58071800,96221,2021707298.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-03,PETR4,PETR4,34.82,34.93,34.16,34.24,34.24,69237400,34.82,34.93,34.16,34.24,1.0,34.93,34.16,0,69237400,96526,2386791989.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-04,PETR4,PETR4,34.08,34.68,33.82,34.23,34.23,55418000,34.08,34.68,33.82,34.23,1.0,34.68,33.82,0,55418000,88573,1891421704.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-07,PETR4,PETR4,34.5,34.6,31.63,31.8,31.8,110339900,34.5,34.6,31.63,31.8,1.0,34.6,31.63,0,110339900,71930,3643474331.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-08,PETR4,PETR4,32.0,32.97,31.51,32.46,32.46,111633500,32.0,32.97,31.51,32.46,1.0,32.97,31.51,0,111633500,83190,3613062115.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-09,PETR4,PETR4,32.6,32.82,31.74,32.56,32.56,87779300,32.6,32.82,31.74,32.56,1.0,32.82,31.74,0,87779300,25013,2829457311.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-10,PETR4,PETR4,32.6,34.6,32.52,33.7,33.7,136437700,32.6,34.6,32.52,33.7,1.0,34.6,32.52,0,136437700,91305,4593436211.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-11,PETR4,PETR4,33.91,34.38,32.07,32.49,32.49,92153700,33.91,34.38,32.07,32.49,1.0,34.38,32.07,0,92153700,33004,3069909759.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-14,PETR4,PETR4,32.43,32.89,31.52,31.87,31.87,52274100,32.43,32.89,31.52,31.87,1.0,32.89,31.52,0,52274100,94595,1672770251.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-15,PETR4,PETR4,31.14,31.54,30.47,31.1,31.1,66272000,31.14,31.54,30.47,31.1,1.0,31.54,30.47,0,66272000,22461,2056613829.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-16,PETR4,PETR4,31.5,31.54,30.37,30.83,30.83,72034900,31.5,31.54,30.37,30.83,1.0,31.54,30.37,0,72034900,14773,2223091057.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-17,PETR4,PETR4,31.25,31.4,29.5,30.01,30.01,178319300,31.25,31.4,29.5,30.01,1.0,31.4,29.5,0,178319300,277,5386490985.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-18,PETR4,PETR4,30.09,30.82,29.86,30.61,30.61,93097100,30.09,30.82,29.86,30.61,1.0,30.82,29.86,0,93097100,7187,2842892965.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-21,PETR4,PETR4,30.91,32.09,30.64,31.76,31.76,67700800,30.91,32.09,30.64,31.76,1.0,32.09,30.64,0,67700800,14948,2136387959.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-22,PETR4,PETR4,31.99,32.1,31.35,31.62,31.62,56128600,31.99,32.1,31.35,31.62,1.0,32.1,31.35,0,56128600,10424,1773719649.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-23,PETR4,PETR4,31.93,32.47,31.69,32.05,32.05,52956100,31.93,32.47,31.69,32.05,1.0,32.47,31.69,0,52956100,88453,1701925047.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-24,PETR4,PETR4,32.05,32.6,31.67,32.42,32.42,49402800,32.05,32.6,31.67,32.42,1.0,32.6,31.67,0,49402800,92960,1594409716.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-25,PETR4,PETR4,32.15,32.55,31.92,32.3,32.3,51780100,32.15,32.55,31.92,32.3,1.0,32.55,31.92,0,51780100,95871,1672923227.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-28,PETR4,PETR4,32.06,32.08,30.98,31.6,31.6,68610500,32.06,32.08,30.98,31.6,1.0,32.08,30.98,0,68610500,7982,2163021712.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-29,PETR4,PETR4,32.13,32.76,31.92,32.3,32.3,93809000,32.13,32.76,31.92,32.3,1.0,32.76,31.92,0,93809000,37730,3030153612.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-30,PETR4,PETR4,32.5,32.99,32.38,32.99,32.99,69648400,32.5,32.99,32.38,32.99,1.0,32.99,32.38,0,69648400,14048,2282456846.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-03-31,PETR4,PETR4,32.57,33.57,32.5,33.45,33.45,94269500,32.57,33.57,32.5,33.45,1.0,33.57,32.5,0,94269500,3209,3125721111.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-04-01,PETR4,PETR4,33.55,33.79,32.91,33.01,33.01,72545400,33.55,33.79,32.91,33.01,1.0,33.79,32.91,0,72545400,98770,2417159471.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
2022-04-04,PETR4,PETR4,32.9,32.9,32.25,32.7,32.7,56053000,32.9,32.9,32.25,32.7,1.0,32.9,32.25,0,56053000,92825,1826908043.0,1,02,010,BRPETRACNPR6,201,PN      N2,PETROBRAS
