date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2022-01-03,MLAS3,MLAS3,8.272671404591943,8.52,8.02,8.29,8.29,1121100,8.272671404591943,8.52,8.02,8.29,1.0,8.52,8.02,0,1121100,4796,9180154.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-04,MLAS3,MLAS3,8.281335702295971,8.281335702295971,7.51,7.844999999999999,7.844999999999999,747900,8.281335702295971,8.281335702295971,7.51,7.844999999999999,1.0,8.281335702295971,7.51,0,747900,2175,5760422.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-05,MLAS3,MLAS3,8.063167851147984,8.063167851147984,7.03,7.3325,7.3325,894600,8.063167851147984,8.063167851147984,7.03,7.3325,1.0,8.063167851147984,7.03,0,894600,2577,6498594.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-06,MLAS3,MLAS3,7.697833925573992,7.697833925573992,6.93,7.145,7.145,4447000,7.697833925573992,7.697833925573992,6.93,7.145,1.0,7.697833925573992,6.93,0,4447000,4589,31258972.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-07,MLAS3,MLAS3,7.421416962786996,7.421416962786996,6.86,7.09,7.09,765900,7.421416962786996,7.421416962786996,6.86,7.09,1.0,7.421416962786996,6.86,0,765900,2274,5396683.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-10,MLAS3,MLAS3,7.255708481393498,7.255708481393498,6.59,6.8275,6.8275,2901900,7.255708481393498,7.255708481393498,6.59,6.8275,1.0,7.255708481393498,6.59,0,2901900,2357,19291895.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-11,MLAS3,MLAS3,7.041604240696749,7.2,6.71,6.9775,6.9775,840500,7.041604240696749,7.2,6.71,6.9775,1.0,7.2,6.71,0,840500,3770,5888627.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-12,MLAS3,MLAS3,7.009552120348374,7.38,7.009552120348374,7.235,7.235,803300,7.009552120348374,7.38,7.009552120348374,7.235,1.0,7.38,7.009552120348374,0,803300,3019,5830624.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-13,MLAS3,MLAS3,7.122276060174187,7.28,6.88,7.075,7.075,606300,7.122276060174187,7.28,6.88,7.075,1.0,7.28,6.88,0,606300,2056,4256449.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-14,MLAS3,MLAS3,7.098638030087093,7.1,6.75,6.970000000000001,6.970000000000001,612400,7.098638030087093,7.1,6.75,6.970000000000001,1.0,7.1,6.75,0,612400,1571,4259143.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-17,MLAS3,MLAS3,7.034319015043547,7.25,6.9,7.095000000000001,7.095000000000001,294200,7.034319015043547,7.25,6.9,7.095000000000001,1.0,7.25,6.9,0,294200,943,2066302.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-18,MLAS3,MLAS3,7.064659507521774,7.064659507521774,6.62,6.8025,6.8025,1069400,7.064659507521774,7.064659507521774,6.62,6.8025,1.0,7.064659507521774,6.62,0,1069400,4318,7205520.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-19,MLAS3,MLAS3,6.9335797537608865,6.99,6.73,6.830000000000001,6.830000000000001,405500,6.9335797537608865,6.99,6.73,6.830000000000001,1.0,6.99,6.73,0,405500,1456,2789333.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-20,MLAS3,MLAS3,6.881789876880443,7.24,6.86,7.0175,7.0175,1170900,6.881789876880443,7.24,6.86,7.0175,1.0,7.24,6.86,0,1170900,3849,8269507.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
2022-01-21,MLAS3,MLAS3,6.949644938440222,7.09,6.83,6.967499999999999,6.967499999999999,1255200,6.949644938440222,7.09,6.83,6.967499999999999,1.0,7.09,6.83,0,1255200,1840,8719708.0,1,02,010,BRMLASACNOR9,100,ON      NM,MULTILASER
