date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2023-01-02,MLAS3,MLAS3,3.92,3.99,3.68,3.8,3.8,1070400,3.92,3.99,3.68,3.8,1.0,3.99,3.68,0,1070400,4697,4059929.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2023-01-03,MLAS3,MLAS3,3.81,4.06,3.63,3.7,3.7,2701100,3.81,4.06,3.63,3.7,1.0,4.06,3.63,0,2701100,10080,10293401.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2023-01-04,MLAS3,MLAS3,3.72,3.79,3.61,3.62,3.62,1525500,3.72,3.79,3.61,3.62,1.0,3.79,3.61,0,1525500,5514,5629908.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2023-01-05,MLAS3,MLAS3,3.57,3.67,3.45,3.54,3.54,3608100,3.57,3.67,3.45,3.54,1.0,3.67,3.45,0,3608100,7320,12718837.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2023-01-06,MLAS3,MLAS3,3.53,3.65,3.48,3.55,3.55,2006800,3.53,3.65,3.48,3.55,1.0,3.65,3.48,0,2006800,7080,7124943.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2023-01-09,MLAS3,MLAS3,3.44,3.65,3.41,3.45,3.45,2544000,3.44,3.65,3.41,3.45,1.0,3.65,3.41,0,2544000,6974,8978067.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2023-01-10,MLAS3,MLAS3,3.46,3.6,3.43,3.53,3.53,3395700,3.46,3.6,3.43,3.53,1.0,3.6,3.43,0,3395700,8884,11925901.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2023-01-11,MLAS3,MLAS3,3.53,3.64,3.49,3.51,3.51,2217800,3.53,3.64,3.49,3.51,1.0,3.64,3.49,0,2217800,6100,7877047.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2023-01-12,MLAS3,MLAS3,3.5,3.6,3.36,3.42,3.42,1624100,3.5,3.6,3.36,3.42,1.0,3.6,3.36,0,1624100,5418,5636855.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2023-01-13,MLAS3,MLAS3,3.43,3.43,3.26,3.27,3.27,1408500,3.43,3.43,3.26,3.27,1.0,3.43,3.26,0,1408500,4886,4668493.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
