date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2023-01-02,VALE3,VALE3,88.68,89.9,88.53,89.4,89.4,12783800,88.68,89.9,88.53,89.4,1.0,89.9,88.53,0,12783800,41447,1143137603.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
2023-01-03,VALE3,VALE3,89.4,90.09,88.89,89.24,89.24,25332600,89.4,90.09,88.89,89.24,1.0,90.09,88.89,0,25332600,74838,2265047908.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
2023-01-04,VALE3,VALE3,89.3,89.65,87.94,89.4,89.4,26395300,89.3,89.65,87.94,89.4,1.0,89.65,87.94,0,26395300,71886,2346038611.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
2023-01-05,VALE3,VALE3,89.46,91.68,89.0,90.9,90.9,29085600,89.46,91.68,89.0,90.9,1.0,91.68,89.0,0,29085600,68379,2635650196.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
2023-01-06,VALE3,VALE3,91.0,92.74,91.0,92.34,92.34,31420600,91.0,92.74,91.0,92.34,1.0,92.74,91.0,0,31420600,75232,2894857755.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
2023-01-09,VALE3,VALE3,91.53,92.99,91.25,92.44,92.44,19285800,91.53,92.99,91.25,92.44,1.0,92.99,91.25,0,19285800,59578,1782778255.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
2023-01-10,VALE3,VALE3,92.49,93.9,92.34,93.58,93.58,19821100,92.49,93.9,92.34,93.58,1.0,93.9,92.34,0,19821100,58129,1851953717.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
2023-01-11,VALE3,VALE3,93.99,94.48,92.26,93.25,93.25,23834100,93.99,94.48,92.26,93.25,1.0,94.48,92.26,0,23834100,62434,2222630420.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
2023-01-12,VALE3,VALE3,93.48,94.3,92.94,93.74,93.74,18058600,93.48,94.3,92.94,93.74,1.0,94.3,92.94,0,18058600,51154,1692242791.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
2023-01-13,VALE3,VALE3,93.69,94.28,93.36,93.82,93.82,16905800,93.69,94.28,93.36,93.82,1.0,94.28,93.36,0,16905800,41230,1586533419.0,1,02,010,BRVALEACNOR0,206,ON      NM,VALE
