date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2023-01-02,CSMG3,CSMG3,15.46877832409704,15.71,14.75,15.355,15.355,6387100,15.46877832409704,15.71,14.75,15.355,1.0,15.71,14.75,0,6387100,30960,96423600.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
2023-01-09,CSMG3,CSMG3,15.41188916204852,15.89,14.89,15.2075,15.2075,4599600,15.41188916204852,15.89,14.89,15.2075,1.0,15.89,14.89,0,4599600,23370,70816979.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
2023-01-16,CSMG3,CSMG3,15.30969458102426,15.57,14.25,14.7825,14.7825,10093700,15.30969458102426,15.57,14.25,14.7825,1.0,15.57,14.25,0,10093700,25124,151587763.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
2023-01-23,CSMG3,CSMG3,15.04609729051213,15.04609729051213,14.02,14.365000000000002,14.365000000000002,7107900,15.04609729051213,15.04609729051213,14.02,14.365000000000002,1.0,15.04609729051213,14.02,0,7107900,27200,102518664.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
2023-01-30,CSMG3,CSMG3,14.705548645256066,15.06,14.23,14.52,14.52,8169300,14.705548645256066,15.06,14.23,14.52,1.0,15.06,14.23,0,8169300,26569,119578685.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
2023-02-06,CSMG3,CSMG3,14.612774322628033,14.612774322628033,13.78,14.145,14.145,9663600,14.612774322628033,14.612774322628033,13.78,14.145,1.0,14.612774322628033,13.78,0,9663600,28513,137790463.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
2023-02-13,CSMG3,CSMG3,14.378887161314015,14.77,14.0,14.357499999999998,14.357499999999998,5605000,14.378887161314015,14.77,14.0,14.357499999999998,1.0,14.77,14.0,0,5605000,24542,81258089.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
2023-02-22,CSMG3,CSMG3,14.368193580657007,14.84,14.18,14.5975,14.5975,6918800,14.368193580657007,14.84,14.18,14.5975,1.0,14.84,14.18,0,6918800,14480,100230576.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
2023-02-27,CSMG3,CSMG3,14.482846790328503,15.49,14.22,14.8475,14.8475,12539100,14.482846790328503,15.49,14.22,14.8475,1.0,15.49,14.22,0,12539100,36989,186289627.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
2023-03-06,CSMG3,CSMG3,14.665173395164253,15.25,14.66,14.932500000000001,14.932500000000001,8783000,14.665173395164253,15.25,14.66,14.932500000000001,1.0,15.25,14.66,0,8783000,25834,131316655.0,1,02,010,BRCSMGACNOR5,166,ON      NM,COPASA
