date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2024-01-02,CSMG3,CSMG3,20.49,20.68,20.1,20.2,20.2,1274500,20.49,20.68,20.1,20.2,1.0,20.68,20.1,0,1274500,7211,25907002.0,1,02,010,BRCSMGACNOR5,171,ON  EJ  NM,COPASA
2024-01-03,CSMG3,CSMG3,20.22,20.68,20.22,20.47,20.47,965800,20.22,20.68,20.22,20.47,1.0,20.68,20.22,0,965800,4343,19822205.0,1,02,010,BRCSMGACNOR5,171,ON  EJ  NM,COPASA
2024-01-04,CSMG3,CSMG3,20.48,20.56,20.08,20.44,20.44,931000,20.48,20.56,20.08,20.44,1.0,20.56,20.08,0,931000,3684,18928691.0,1,02,010,BRCSMGACNOR5,171,ON  EJ  NM,COPASA
2024-01-05,CSMG3,CSMG3,20.43,20.74,20.27,20.61,20.61,747900,20.43,20.74,20.27,20.61,1.0,20.74,20.27,0,747900,3762,15414689.0,1,02,010,BRCSMGACNOR5,171,ON  EJ  NM,COPASA
2024-01-08,CSMG3,CSMG3,20.62,21.07,20.47,21.07,21.07,756200,20.62,21.07,20.47,21.07,1.0,21.07,20.47,0,756200,3487,15810908.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-09,CSMG3,CSMG3,21.07,21.65,20.88,21.63,21.63,1337000,21.07,21.65,20.88,21.63,1.0,21.65,20.88,0,1337000,5240,28575214.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-10,CSMG3,CSMG3,21.62,22.0,21.54,21.81,21.81,1130300,21.62,22.0,21.54,21.81,1.0,22.0,21.54,0,1130300,5367,24682965.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-11,CSMG3,CSMG3,21.8,22.14,21.44,22.05,22.05,929200,21.8,22.14,21.44,22.05,1.0,22.14,21.44,0,929200,4133,20324621.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-12,CSMG3,CSMG3,22.06,22.39,21.65,22.22,22.22,1128200,22.06,22.39,21.65,22.22,1.0,22.39,21.65,0,1128200,4363,25023350.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-15,CSMG3,CSMG3,22.28,22.89,22.28,22.48,22.48,1179000,22.28,22.89,22.28,22.48,1.0,22.89,22.28,0,1179000,5741,26667381.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-16,CSMG3,CSMG3,22.48,22.57,21.94,22.36,22.36,1605900,22.48,22.57,21.94,22.36,1.0,22.57,21.94,0,1605900,6612,35805130.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-17,CSMG3,CSMG3,22.35,22.5,22.15,22.48,22.48,1104800,22.35,22.5,22.15,22.48,1.0,22.5,22.15,0,1104800,4794,24706226.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-18,CSMG3,CSMG3,22.49,22.53,22.13,22.44,22.44,1676400,22.49,22.53,22.13,22.44,1.0,22.53,22.13,0,1676400,7561,37466075.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-19,CSMG3,CSMG3,22.44,22.57,22.13,22.21,22.21,1813800,22.44,22.57,22.13,22.21,1.0,22.57,22.13,0,1813800,5892,40344176.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-22,CSMG3,CSMG3,22.14,22.4,22.08,22.29,22.29,925700,22.14,22.4,22.08,22.29,1.0,22.4,22.08,0,925700,3823,20583518.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
2024-01-23,CSMG3,CSMG3,22.5,22.72,22.26,22.65,22.65,766300,22.5,22.72,22.26,22.65,1.0,22.72,22.26,0,766300,3383,17300736.0,1,02,010,BRCSMGACNOR5,171,ON      NM,COPASA
