date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2024-01-02,MLAS3,MLAS3,2.197271653248437,2.197271653248437,1.93,2.0525,2.0525,14426600,2.197271653248437,2.197271653248437,1.93,2.0525,1.0,2.197271653248437,1.93,0,14426600,23870,29144726.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-01-08,MLAS3,MLAS3,2.1248858266242188,2.1248858266242188,1.91,2.02,2.02,17739400,2.1248858266242188,2.1248858266242188,1.91,2.02,1.0,2.1248858266242188,1.91,0,17739400,20108,35190101.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-01-15,MLAS3,MLAS3,2.072442913312109,2.072442913312109,1.83,1.9474999999999998,1.9474999999999998,15884000,2.072442913312109,2.072442913312109,1.83,1.9474999999999998,1.0,2.072442913312109,1.83,0,15884000,23637,30810828.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-01-22,MLAS3,MLAS3,2.0099714566560545,2.02,1.87,1.93,1.93,19341100,2.0099714566560545,2.02,1.87,1.93,1.0,2.02,1.87,0,19341100,25667,37272640.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-01-29,MLAS3,MLAS3,1.969985728328027,2.04,1.83,1.9175,1.9175,19072600,1.969985728328027,2.04,1.83,1.9175,1.0,2.04,1.83,0,19072600,25607,36852576.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-02-05,MLAS3,MLAS3,1.9437428641640135,1.99,1.83,1.9125,1.9125,16207100,1.9437428641640135,1.99,1.83,1.9125,1.0,1.99,1.83,0,16207100,20663,30923065.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-02-14,MLAS3,MLAS3,1.9281214320820068,1.9281214320820068,1.85,1.895,1.895,6201900,1.9281214320820068,1.9281214320820068,1.85,1.895,1.0,1.9281214320820068,1.85,0,6201900,10206,11653421.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-02-19,MLAS3,MLAS3,1.9115607160410035,2.12,1.89,1.9825,1.9825,8729600,1.9115607160410035,2.12,1.89,1.9825,1.0,2.12,1.89,0,8729600,14777,17613821.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-02-26,MLAS3,MLAS3,1.9470303580205017,2.34,1.9470303580205017,2.1449999999999996,2.1449999999999996,13670500,1.9470303580205017,2.34,1.9470303580205017,2.1449999999999996,1.0,2.34,1.9470303580205017,0,13670500,21328,29659732.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-03-04,MLAS3,MLAS3,2.0460151790102508,2.25,2.03,2.1449999999999996,2.1449999999999996,7716600,2.0460151790102508,2.25,2.03,2.1449999999999996,1.0,2.25,2.03,0,7716600,10457,16685853.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-03-11,MLAS3,MLAS3,2.095507589505125,2.29,2.08,2.16,2.16,5423600,2.095507589505125,2.29,2.08,2.16,1.0,2.29,2.08,0,5423600,10752,11833369.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-03-18,MLAS3,MLAS3,2.1277537947525627,2.26,2.05,2.1574999999999998,2.1574999999999998,5589400,2.1277537947525627,2.26,2.05,2.1574999999999998,1.0,2.26,2.05,0,5589400,10772,11952838.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-03-25,MLAS3,MLAS3,2.142626897376281,2.55,2.0,2.2925,2.2925,17295800,2.142626897376281,2.55,2.0,2.2925,1.0,2.55,2.0,0,17295800,19713,39415167.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-04-01,MLAS3,MLAS3,2.2175634486881406,2.51,2.2175634486881406,2.41,2.41,9640700,2.2175634486881406,2.51,2.2175634486881406,2.41,1.0,2.51,2.2175634486881406,0,9640700,19687,23212504.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-04-08,MLAS3,MLAS3,2.3137817243440706,2.68,2.21,2.4,2.4,19272400,2.3137817243440706,2.68,2.21,2.4,1.0,2.68,2.21,0,19272400,19388,46701713.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-04-15,MLAS3,MLAS3,2.356890862172035,2.356890862172035,2.01,2.1624999999999996,2.1624999999999996,18069800,2.356890862172035,2.356890862172035,2.01,2.1624999999999996,1.0,2.356890862172035,2.01,0,18069800,23953,38384996.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-04-22,MLAS3,MLAS3,2.2596954310860173,2.2596954310860173,1.89,2.02,2.02,16401100,2.2596954310860173,2.2596954310860173,1.89,2.02,1.0,2.2596954310860173,1.89,0,16401100,19984,32667607.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-04-29,MLAS3,MLAS3,2.1398477155430085,2.14,1.9,2.0225,2.0225,11427800,2.1398477155430085,2.14,1.9,2.0225,1.0,2.14,1.9,0,11427800,14579,22734236.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-05-06,MLAS3,MLAS3,2.081173857771504,2.13,1.91,2.0125,2.0125,10385100,2.081173857771504,2.13,1.91,2.0125,1.0,2.13,1.91,0,10385100,10835,20492216.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-05-13,MLAS3,MLAS3,2.046836928885752,2.35,1.9,2.0825,2.0825,16839700,2.046836928885752,2.35,1.9,2.0825,1.0,2.35,1.9,0,16839700,13759,36744823.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-05-20,MLAS3,MLAS3,2.0646684644428763,2.28,2.05,2.17,2.17,8409000,2.0646684644428763,2.28,2.05,2.17,1.0,2.28,2.05,0,8409000,12330,18109801.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-05-27,MLAS3,MLAS3,2.117334232221438,2.29,2.1,2.1799999999999997,2.1799999999999997,6119500,2.117334232221438,2.29,2.1,2.1799999999999997,1.0,2.29,2.1,0,6119500,9090,13385549.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-06-03,MLAS3,MLAS3,2.148667116110719,2.24,2.01,2.11,2.11,10678800,2.148667116110719,2.24,2.01,2.11,1.0,2.24,2.01,0,10678800,10740,22505745.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2024-06-10,MLAS3,MLAS3,2.129333558055359,2.15,1.94,2.035,2.035,11316400,2.129333558055359,2.15,1.94,2.035,1.0,2.15,1.94,0,11316400,12292,22799902.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
