date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2025-01-06,LOGG3,LOGG3,18.15,19.08,17.85,18.02,18.02,760400,18.15,19.08,17.85,18.02,1.0,19.08,17.85,0,760400,6003,14086311.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-01-13,LOGG3,LOGG3,18.0,18.98,17.94,18.74,18.74,893700,18.0,18.98,17.94,18.74,1.0,18.98,17.94,0,893700,6097,16548587.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-01-20,LOGG3,LOGG3,18.93,18.93,16.0,16.55,16.55,8560900,18.93,18.93,16.0,16.55,1.0,18.93,16.0,0,8560900,15373,140999398.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-01-27,LOGG3,LOGG3,16.75,19.14,16.64,18.9,18.9,3624300,16.75,19.14,16.64,18.9,1.0,19.14,16.64,0,3624300,18333,64614888.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-02-03,LOGG3,LOGG3,19.09,20.58,18.53,19.0,19.0,2347100,19.09,20.58,18.53,19.0,1.0,20.58,18.53,0,2347100,15359,45675179.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-02-10,LOGG3,LOGG3,19.0,19.33,18.02,19.03,19.03,1511300,19.0,19.33,18.02,19.03,1.0,19.33,18.02,0,1511300,10284,28155056.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-02-17,LOGG3,LOGG3,19.28,19.57,18.61,18.86,18.86,1163600,19.28,19.57,18.61,18.86,1.0,19.57,18.61,0,1163600,8534,22210172.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-02-24,LOGG3,LOGG3,19.07,19.07,18.09,18.31,18.31,994000,19.07,19.07,18.09,18.31,1.0,19.07,18.09,0,994000,7284,18374380.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-03-05,LOGG3,LOGG3,18.26,18.33,16.9,17.37,17.37,1722100,18.26,18.33,16.9,17.37,1.0,18.33,16.9,0,1722100,9964,29797057.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-03-10,LOGG3,LOGG3,17.08,18.36,17.06,18.05,18.05,1273100,17.08,18.36,17.06,18.05,1.0,18.36,17.06,0,1273100,8771,22513290.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-03-17,LOGG3,LOGG3,18.05,18.66,18.05,18.13,18.13,883300,18.05,18.66,18.05,18.13,1.0,18.66,18.05,0,883300,7184,16204909.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-03-24,LOGG3,LOGG3,18.14,19.0,17.64,18.3,18.3,953700,18.14,19.0,17.64,18.3,1.0,19.0,17.64,0,953700,6514,17396009.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-03-31,LOGG3,LOGG3,18.31,19.21,17.88,17.88,17.88,1118400,18.31,19.21,17.88,17.88,1.0,19.21,17.88,0,1118400,8165,20538744.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-04-07,LOGG3,LOGG3,17.85,19.01,17.65,18.78,18.78,1262600,17.85,19.01,17.65,18.78,1.0,19.01,17.65,0,1262600,8072,23161493.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-04-14,LOGG3,LOGG3,19.1,19.25,18.7,19.16,19.16,718800,19.1,19.25,18.7,19.16,1.0,19.25,18.7,0,718800,4824,13597792.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-04-22,LOGG3,LOGG3,19.14,20.22,18.76,20.01,20.01,843400,19.14,20.22,18.76,20.01,1.0,20.22,18.76,0,843400,6342,16643411.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-04-28,LOGG3,LOGG3,20.16,21.37,19.58,21.27,21.27,1284100,20.16,21.37,19.58,21.27,1.0,21.37,19.58,0,1284100,6499,26513017.0,1,02,010,BRLOGGACNOR7,108,ON      NM,LOG COM PROP
2025-05-05,LOGG3,LOGG3,21.27,21.73,20.36,20.75,20.75,1222700,21.27,21.73,20.36,20.75,1.0,21.73,20.36,0,1222700,9281,25589187.0,1,02,010,BRLOGGACNOR7,109,ON  ED  NM,LOG COM PROP
2025-05-12,LOGG3,LOGG3,21.0,21.49,20.19,21.02,21.02,1700600,21.0,21.49,20.19,21.02,1.0,21.49,20.19,0,1700600,11010,35349207.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-05-19,LOGG3,LOGG3,20.89,22.19,20.89,21.63,21.63,1014700,20.89,22.19,20.89,21.63,1.0,22.19,20.89,0,1014700,7107,21788420.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-05-26,LOGG3,LOGG3,21.64,22.15,20.88,21.14,21.14,997800,21.64,22.15,20.88,21.14,1.0,22.15,20.88,0,997800,6418,21511739.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-06-02,LOGG3,LOGG3,21.16,21.79,21.16,21.56,21.56,1066200,21.16,21.79,21.16,21.56,1.0,21.79,21.16,0,1066200,7121,22933829.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-06-09,LOGG3,LOGG3,21.5,21.65,20.59,20.73,20.73,963900,21.5,21.65,20.59,20.73,1.0,21.65,20.59,0,963900,7339,20303891.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-06-16,LOGG3,LOGG3,20.94,21.37,20.73,20.73,20.73,954300,20.94,21.37,20.73,20.73,1.0,21.37,20.73,0,954300,5408,20036834.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-06-23,LOGG3,LOGG3,20.76,21.12,20.12,20.72,20.72,1253500,20.76,21.12,20.12,20.72,1.0,21.12,20.12,0,1253500,7961,25726059.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-06-30,LOGG3,LOGG3,20.73,21.17,20.22,20.78,20.78,939800,20.73,21.17,20.22,20.78,1.0,21.17,20.22,0,939800,6846,19388241.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-07-07,LOGG3,LOGG3,20.78,20.81,19.79,20.09,20.09,871300,20.78,20.81,19.79,20.09,1.0,20.81,19.79,0,871300,5859,17788816.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-07-14,LOGG3,LOGG3,20.02,20.53,19.75,19.79,19.79,1421700,20.02,20.53,19.75,19.79,1.0,20.53,19.75,0,1421700,6508,28712128.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-07-21,LOGG3,LOGG3,19.92,20.57,19.34,20.5,20.5,857300,19.92,20.57,19.34,20.5,1.0,20.57,19.34,0,857300,6176,16963939.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-07-28,LOGG3,LOGG3,20.6,21.23,20.2,20.42,20.42,1724700,20.6,21.23,20.2,20.42,1.0,21.23,20.2,0,1724700,11397,35714503.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-08-04,LOGG3,LOGG3,20.47,21.19,19.7,20.19,20.19,2021400,20.47,21.19,19.7,20.19,1.0,21.19,19.7,0,2021400,13132,40935139.0,1,02,010,BRLOGGACNOR7,109,ON      NM,LOG COM PROP
2025-08-11,LOGG3,LOGG3,20.01,20.96,19.85,20.61,20.61,1205000,20.01,20.96,19.85,20.61,1.0,20.96,19.85,0,1205000,8829,24794931.0,1,02,010,BRLOGGACNOR7,110,ON  ED  NM,LOG COM PROP
2025-08-18,LOGG3,LOGG3,20.6,21.01,20.13,20.99,20.99,939500,20.6,21.01,20.13,20.99,1.0,21.01,20.13,0,939500,6953,19340094.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
2025-08-25,LOGG3,LOGG3,20.98,21.41,20.69,21.15,21.15,2313400,20.98,21.41,20.69,21.15,1.0,21.41,20.69,0,2313400,16291,48834430.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
2025-09-01,LOGG3,LOGG3,21.26,21.85,20.82,21.85,21.85,1623400,21.26,21.85,20.82,21.85,1.0,21.85,20.82,0,1623400,11049,34565753.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
2025-09-08,LOGG3,LOGG3,21.93,22.0,21.39,21.77,21.77,1726700,21.93,22.0,21.39,21.77,1.0,22.0,21.39,0,1726700,9142,37551200.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
2025-09-15,LOGG3,LOGG3,21.99,22.64,21.75,22.64,22.64,1418300,21.99,22.64,21.75,22.64,1.0,22.64,21.75,0,1418300,6640,31678267.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
2025-09-22,LOGG3,LOGG3,22.68,24.06,22.23,23.81,23.81,1913600,22.68,24.06,22.23,23.81,1.0,24.06,22.23,0,1913600,10749,44675967.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
2025-09-29,LOGG3,LOGG3,23.8,23.99,22.81,22.89,22.89,962300,23.8,23.99,22.81,22.89,1.0,23.99,22.81,0,962300,6706,22398485.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
2025-10-06,LOGG3,LOGG3,22.82,22.89,21.15,21.39,21.39,1280400,22.82,22.89,21.15,21.39,1.0,22.89,21.15,0,1280400,8055,28037960.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
2025-10-13,LOGG3,LOGG3,21.39,22.27,21.12,22.14,22.14,1206500,21.39,22.27,21.12,22.14,1.0,22.27,21.12,0,1206500,7599,26215749.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
2025-10-20,LOGG3,LOGG3,22.05,23.38,22.05,23.0,23.0,857900,22.05,23.38,22.05,23.0,1.0,23.38,22.05,0,857900,6036,19624919.0,1,02,010,BRLOGGACNOR7,110,ON      NM,LOG COM PROP
