date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2025-01-06,MLAS3,MLAS3,1.05,1.22,1.05,1.15,1.15,7922000,1.05,1.22,1.05,1.15,1.0,1.22,1.05,0,7922000,10625,9093073.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-01-13,MLAS3,MLAS3,1.15,1.22,1.07,1.14,1.14,5464300,1.15,1.22,1.07,1.14,1.0,1.22,1.07,0,5464300,7061,6163120.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-01-20,MLAS3,MLAS3,1.14,1.17,1.08,1.09,1.09,9890300,1.14,1.17,1.08,1.09,1.0,1.17,1.08,0,9890300,9169,11071743.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-01-27,MLAS3,MLAS3,1.08,1.29,1.07,1.24,1.24,15158100,1.08,1.29,1.07,1.24,1.0,1.29,1.07,0,15158100,15981,18177175.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-02-03,MLAS3,MLAS3,1.26,1.26,1.14,1.16,1.16,6302900,1.26,1.26,1.14,1.16,1.0,1.26,1.14,0,6302900,5979,7506214.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-02-10,MLAS3,MLAS3,1.16,1.3,1.15,1.27,1.27,5857800,1.16,1.3,1.15,1.27,1.0,1.3,1.15,0,5857800,5089,7217961.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-02-17,MLAS3,MLAS3,1.25,1.39,1.23,1.24,1.24,5830600,1.25,1.39,1.23,1.24,1.0,1.39,1.23,0,5830600,6036,7652764.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-02-24,MLAS3,MLAS3,1.25,1.26,1.13,1.13,1.13,4843800,1.25,1.26,1.13,1.13,1.0,1.26,1.13,0,4843800,6412,5772273.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-03-05,MLAS3,MLAS3,1.14,1.2,1.1,1.16,1.16,2924600,1.14,1.2,1.1,1.16,1.0,1.2,1.1,0,2924600,5021,3345372.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-03-10,MLAS3,MLAS3,1.18,1.23,1.14,1.21,1.21,6167900,1.18,1.23,1.14,1.21,1.0,1.23,1.14,0,6167900,8957,7265961.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-03-17,MLAS3,MLAS3,1.21,1.34,1.18,1.18,1.18,6744300,1.21,1.34,1.18,1.18,1.0,1.34,1.18,0,6744300,8139,8506856.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-03-24,MLAS3,MLAS3,1.19,1.3,1.16,1.26,1.26,8455700,1.19,1.3,1.16,1.26,1.0,1.3,1.16,0,8455700,11265,10530176.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-03-31,MLAS3,MLAS3,1.24,1.33,1.19,1.22,1.22,6722800,1.24,1.33,1.19,1.22,1.0,1.33,1.19,0,6722800,12440,8390430.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-04-07,MLAS3,MLAS3,1.19,1.24,1.11,1.18,1.18,7263200,1.19,1.24,1.11,1.18,1.0,1.24,1.11,0,7263200,5465,8552094.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-04-14,MLAS3,MLAS3,1.2,1.26,1.17,1.23,1.23,4552600,1.2,1.26,1.17,1.23,1.0,1.26,1.17,0,4552600,6488,5516330.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
2025-04-22,MLAS3,MLAS3,1.23,1.4,1.23,1.3,1.3,6909300,1.23,1.4,1.23,1.3,1.0,1.4,1.23,0,6909300,14574,9131600.0,1,02,010,BRMLASACNOR9,101,ON      NM,MULTILASER
