date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2025-01-02,GGBR3,GGBR3,17.197290566314464,17.197290566314464,16.53,16.6925,16.6925,24600,17.197290566314464,17.197290566314464,16.53,16.6925,1.0,17.197290566314464,16.53,0,24600,114,409101.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-03,GGBR3,GGBR3,16.94489528315723,16.94489528315723,16.07,16.3075,16.3075,25600,16.94489528315723,16.94489528315723,16.07,16.3075,1.0,16.94489528315723,16.07,0,25600,131,416714.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-06,GGBR3,GGBR3,16.626197641578614,16.626197641578614,16.02,16.237499999999997,16.237499999999997,145200,16.626197641578614,16.626197641578614,16.02,16.237499999999997,1.0,16.626197641578614,16.02,0,145200,510,2379752.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-07,GGBR3,GGBR3,16.431848820789305,16.79,16.22,16.46,16.46,17900,16.431848820789305,16.79,16.22,16.46,1.0,16.79,16.22,0,17900,102,294902.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-08,GGBR3,GGBR3,16.445924410394653,16.445924410394653,15.98,16.1075,16.1075,21000,16.445924410394653,16.445924410394653,15.98,16.1075,1.0,16.445924410394653,15.98,0,21000,137,338541.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-09,GGBR3,GGBR3,16.276712205197327,16.276712205197327,15.66,15.82,15.82,25200,16.276712205197327,16.276712205197327,15.66,15.82,1.0,16.276712205197327,15.66,0,25200,153,398732.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-10,GGBR3,GGBR3,16.048356102598664,16.048356102598664,15.43,15.565,15.565,43800,16.048356102598664,16.048356102598664,15.43,15.565,1.0,16.048356102598664,15.43,0,43800,265,680763.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-13,GGBR3,GGBR3,15.806678051299333,15.806678051299333,15.2,15.5075,15.5075,23000,15.806678051299333,15.806678051299333,15.2,15.5075,1.0,15.806678051299333,15.2,0,23000,134,357145.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-14,GGBR3,GGBR3,15.657089025649666,15.81,15.61,15.71,15.71,13800,15.657089025649666,15.81,15.61,15.71,1.0,15.81,15.61,0,13800,102,216918.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-15,GGBR3,GGBR3,15.683544512824835,16.07,15.61,15.83,15.83,49300,15.683544512824835,16.07,15.61,15.83,1.0,16.07,15.61,0,49300,244,779315.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-16,GGBR3,GGBR3,15.756772256412418,16.02,15.62,15.84,15.84,15300,15.756772256412418,16.02,15.62,15.84,1.0,16.02,15.62,0,15300,89,240726.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-17,GGBR3,GGBR3,15.798386128206209,16.04,15.73,15.885000000000002,15.885000000000002,28700,15.798386128206209,16.04,15.73,15.885000000000002,1.0,16.04,15.73,0,28700,155,455301.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-20,GGBR3,GGBR3,15.841693064103104,16.14,15.75,16.0075,16.0075,283300,15.841693064103104,16.14,15.75,16.0075,1.0,16.14,15.75,0,283300,2260,4529884.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-21,GGBR3,GGBR3,15.924596532051552,16.78,15.924596532051552,16.432499999999997,16.432499999999997,78000,15.924596532051552,16.78,15.924596532051552,16.432499999999997,1.0,16.78,15.924596532051552,0,78000,548,1281058.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-22,GGBR3,GGBR3,16.178548266025775,16.77,16.08,16.424999999999997,16.424999999999997,26200,16.178548266025775,16.77,16.08,16.424999999999997,1.0,16.77,16.08,0,26200,141,429137.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-23,GGBR3,GGBR3,16.301774133012884,16.301774133012884,16.0,16.1225,16.1225,13600,16.301774133012884,16.301774133012884,16.0,16.1225,1.0,16.301774133012884,16.0,0,13600,64,219948.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-24,GGBR3,GGBR3,16.212137066506443,16.55,16.03,16.255000000000003,16.255000000000003,32700,16.212137066506443,16.55,16.03,16.255000000000003,1.0,16.55,16.03,0,32700,259,531095.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-27,GGBR3,GGBR3,16.233568533253223,16.4,15.92,16.1475,16.1475,21400,16.233568533253223,16.4,15.92,16.1475,1.0,16.4,15.92,0,21400,100,347996.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-28,GGBR3,GGBR3,16.190534266626614,16.52,16.190534266626614,16.385,16.385,30900,16.190534266626614,16.52,16.190534266626614,16.385,1.0,16.52,16.190534266626614,0,30900,138,507179.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-29,GGBR3,GGBR3,16.28776713331331,16.32,16.12,16.177500000000002,16.177500000000002,7800,16.28776713331331,16.32,16.12,16.177500000000002,1.0,16.32,16.12,0,7800,58,126541.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-30,GGBR3,GGBR3,16.232633566656656,16.5,16.13,16.312499999999996,16.312499999999996,27000,16.232633566656656,16.5,16.13,16.312499999999996,1.0,16.5,16.13,0,27000,123,442236.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-01-31,GGBR3,GGBR3,16.272566783328326,16.65,15.73,16.185000000000002,16.185000000000002,43100,16.272566783328326,16.65,15.73,16.185000000000002,1.0,16.65,15.73,0,43100,298,693272.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-03,GGBR3,GGBR3,16.228783391664166,16.228783391664166,15.9,16.04,16.04,30500,16.228783391664166,16.228783391664166,15.9,16.04,1.0,16.228783391664166,15.9,0,30500,192,488287.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-04,GGBR3,GGBR3,16.134391695832083,16.134391695832083,15.8,15.890000000000002,15.890000000000002,21200,16.134391695832083,16.134391695832083,15.8,15.890000000000002,1.0,16.134391695832083,15.8,0,21200,126,337085.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-05,GGBR3,GGBR3,16.012195847916043,16.012195847916043,15.71,15.86,15.86,39400,16.012195847916043,16.012195847916043,15.71,15.86,1.0,16.012195847916043,15.71,0,39400,218,621311.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-06,GGBR3,GGBR3,15.936097923958021,16.1,15.7,15.9425,15.9425,19200,15.936097923958021,16.1,15.7,15.9425,1.0,16.1,15.7,0,19200,100,305203.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-07,GGBR3,GGBR3,15.939298961979011,16.1,15.7,15.940000000000001,15.940000000000001,47100,15.939298961979011,16.1,15.7,15.940000000000001,1.0,16.1,15.7,0,47100,323,745766.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-10,GGBR3,GGBR3,15.939649480989505,16.56,15.89,16.2125,16.2125,59700,15.939649480989505,16.56,15.89,16.2125,1.0,16.56,15.89,0,59700,215,973679.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-11,GGBR3,GGBR3,16.076074740494754,16.87,16.076074740494754,16.6075,16.6075,30000,16.076074740494754,16.87,16.076074740494754,16.6075,1.0,16.87,16.076074740494754,0,30000,175,499849.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-12,GGBR3,GGBR3,16.341787370247378,16.5,16.16,16.275,16.275,24700,16.341787370247378,16.5,16.16,16.275,1.0,16.5,16.16,0,24700,108,401308.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-13,GGBR3,GGBR3,16.30839368512369,16.35,16.02,16.205,16.205,13200,16.30839368512369,16.35,16.02,16.205,1.0,16.35,16.02,0,13200,66,213498.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-14,GGBR3,GGBR3,16.256696842561844,16.46,16.2,16.340000000000003,16.340000000000003,16800,16.256696842561844,16.46,16.2,16.340000000000003,1.0,16.46,16.2,0,16800,74,274913.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-17,GGBR3,GGBR3,16.298348421280924,16.45,16.18,16.335,16.335,18600,16.298348421280924,16.45,16.18,16.335,1.0,16.45,16.18,0,18600,103,303014.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-18,GGBR3,GGBR3,16.316674210640464,16.39,16.1,16.2075,16.2075,17500,16.316674210640464,16.39,16.1,16.2075,1.0,16.39,16.1,0,17500,108,284181.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-19,GGBR3,GGBR3,16.262087105320234,16.28,16.07,16.165,16.165,11300,16.262087105320234,16.28,16.07,16.165,1.0,16.28,16.07,0,11300,69,182690.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-20,GGBR3,GGBR3,16.213543552660116,16.34,15.48,15.899999999999999,15.899999999999999,80100,16.213543552660116,16.34,15.48,15.899999999999999,1.0,16.34,15.48,0,80100,344,1263962.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-21,GGBR3,GGBR3,16.05677177633006,16.05677177633006,15.36,15.605,15.605,39800,16.05677177633006,16.05677177633006,15.36,15.605,1.0,16.05677177633006,15.36,0,39800,181,619630.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-24,GGBR3,GGBR3,15.83088588816503,16.01,15.18,15.595,15.595,42800,15.83088588816503,16.01,15.18,15.595,1.0,16.01,15.18,0,42800,266,662081.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-25,GGBR3,GGBR3,15.712942944082515,15.76,15.27,15.540000000000001,15.540000000000001,33000,15.712942944082515,15.76,15.27,15.540000000000001,1.0,15.76,15.27,0,33000,228,511546.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-26,GGBR3,GGBR3,15.626471472041258,15.79,15.46,15.6475,15.6475,17800,15.626471472041258,15.79,15.46,15.6475,1.0,15.79,15.46,0,17800,104,277861.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-27,GGBR3,GGBR3,15.63698573602063,15.8,15.52,15.645000000000001,15.645000000000001,469400,15.63698573602063,15.8,15.52,15.645000000000001,1.0,15.8,15.52,0,469400,220,7409860.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-02-28,GGBR3,GGBR3,15.640992868010315,15.8,15.56,15.709999999999999,15.709999999999999,16000,15.640992868010315,15.8,15.56,15.709999999999999,1.0,15.8,15.56,0,16000,86,250930.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-03-05,GGBR3,GGBR3,15.675496434005158,15.75,15.6,15.692499999999999,15.692499999999999,8000,15.675496434005158,15.75,15.6,15.692499999999999,1.0,15.75,15.6,0,8000,52,125393.0,1,02,010,BRGGBRACNOR1,194,ON      N1,GERDAU
2025-03-06,GGBR3,GGBR3,15.683998217002578,15.97,15.52,15.680000000000001,15.680000000000001,20100,15.683998217002578,15.97,15.52,15.680000000000001,1.0,15.97,15.52,0,20100,148,316107.0,1,02,010,BRGGBRACNOR1,195,ON  ED  N1,GERDAU
2025-03-07,GGBR3,GGBR3,15.68199910850129,15.92,15.58,15.774999999999999,15.774999999999999,25500,15.68199910850129,15.92,15.58,15.774999999999999,1.0,15.92,15.58,0,25500,158,402623.0,1,02,010,BRGGBRACNOR1,195,ON  ED  N1,GERDAU
2025-03-10,GGBR3,GGBR3,15.728499554250645,15.82,15.49,15.645,15.645,28300,15.728499554250645,15.82,15.49,15.645,1.0,15.82,15.49,0,28300,126,443568.0,1,02,010,BRGGBRACNOR1,195,ON  ED  N1,GERDAU
2025-03-11,GGBR3,GGBR3,15.686749777125321,15.79,15.46,15.6475,15.6475,30700,15.686749777125321,15.79,15.46,15.6475,1.0,15.79,15.46,0,30700,132,478201.0,1,02,010,BRGGBRACNOR1,195,ON  ED  N1,GERDAU
2025-03-12,GGBR3,GGBR3,15.667124888562661,15.667124888562661,15.35,15.5075,15.5075,13700,15.667124888562661,15.667124888562661,15.35,15.5075,1.0,15.667124888562661,15.35,0,13700,101,211829.0,1,02,010,BRGGBRACNOR1,195,ON  ED  N1,GERDAU
2025-03-13,GGBR3,GGBR3,15.58731244428133,15.65,15.33,15.4825,15.4825,50500,15.58731244428133,15.65,15.33,15.4825,1.0,15.65,15.33,0,50500,338,780773.0,1,02,010,BRGGBRACNOR1,195,ON  ED  N1,GERDAU
2025-03-14,GGBR3,GGBR3,15.534906222140666,15.81,15.534906222140666,15.695,15.695,15800,15.534906222140666,15.81,15.534906222140666,15.695,1.0,15.81,15.534906222140666,0,15800,104,248208.0,1,02,010,BRGGBRACNOR1,195,ON  ED  N1,GERDAU
2025-03-17,GGBR3,GGBR3,15.614953111070333,16.02,15.614953111070333,15.837499999999999,15.837499999999999,41100,15.614953111070333,16.02,15.614953111070333,15.837499999999999,1.0,16.02,15.614953111070333,0,41100,284,651488.0,1,02,010,BRGGBRACNOR1,195,ON  ED  N1,GERDAU
2025-03-18,GGBR3,GGBR3,15.726226555535167,16.07,15.726226555535167,15.942499999999999,15.942499999999999,19000,15.726226555535167,16.07,15.726226555535167,15.942499999999999,1.0,16.07,15.726226555535167,0,19000,122,302311.0,1,02,010,BRGGBRACNOR1,195,ON      N1,GERDAU
2025-03-19,GGBR3,GGBR3,15.834363277767583,16.15,15.834363277767583,16.0325,16.0325,15700,15.834363277767583,16.15,15.834363277767583,16.0325,1.0,16.15,15.834363277767583,0,15700,61,251345.0,1,02,010,BRGGBRACNOR1,195,ON      N1,GERDAU
2025-03-20,GGBR3,GGBR3,15.93343163888379,16.25,15.82,16.045,16.045,14300,15.93343163888379,16.25,15.82,16.045,1.0,16.25,15.82,0,14300,115,228775.0,1,02,010,BRGGBRACNOR1,195,ON      N1,GERDAU
2025-03-21,GGBR3,GGBR3,15.989215819441895,16.17,15.84,16.017500000000002,16.017500000000002,35900,15.989215819441895,16.17,15.84,16.017500000000002,1.0,16.17,15.84,0,35900,297,576206.0,1,02,010,BRGGBRACNOR1,195,ON      N1,GERDAU
