date,ticker,source_symbol,open,high,low,close,adj_close,volume,raw_open,raw_high,raw_low,raw_close,adjustment_factor,source_high,source_low,ohlc_repaired,raw_volume,trades,financial_volume,quotation_factor,bdi_code,market_type,isin,distribution_number,specification,issuer_name
2026-01-02,BBSE3,BBSE3,36.23,36.51,35.74,35.74,35.74,3505600,36.23,36.51,35.74,35.74,1.0,36.51,35.74,0,3505600,9117,126165932.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-05,BBSE3,BBSE3,35.83,36.09,35.38,35.86,35.86,5402000,35.83,36.09,35.38,35.86,1.0,36.09,35.38,0,5402000,10159,193996644.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-06,BBSE3,BBSE3,36.0,36.22,35.92,36.1,36.1,5621100,36.0,36.22,35.92,36.1,1.0,36.22,35.92,0,5621100,9343,202800929.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-07,BBSE3,BBSE3,36.1,36.11,35.36,35.4,35.4,4478100,36.1,36.11,35.36,35.4,1.0,36.11,35.36,0,4478100,12787,159272642.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-08,BBSE3,BBSE3,35.37,35.37,34.52,34.65,34.65,6946400,35.37,35.37,34.52,34.65,1.0,35.37,34.52,0,6946400,19553,241820567.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-09,BBSE3,BBSE3,34.66,35.15,34.64,34.99,34.99,12203300,34.66,35.15,34.64,34.99,1.0,35.15,34.64,0,12203300,12065,425841093.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-12,BBSE3,BBSE3,35.0,35.0,34.6,34.8,34.8,5628200,35.0,35.0,34.6,34.8,1.0,35.0,34.6,0,5628200,13061,195602443.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-13,BBSE3,BBSE3,34.8,34.91,34.47,34.69,34.69,6185700,34.8,34.91,34.47,34.69,1.0,34.91,34.47,0,6185700,15891,214438305.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-14,BBSE3,BBSE3,34.81,34.9,34.46,34.82,34.82,4844900,34.81,34.9,34.46,34.82,1.0,34.9,34.46,0,4844900,13562,167898752.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-15,BBSE3,BBSE3,34.9,35.0,34.72,34.91,34.91,3854700,34.9,35.0,34.72,34.91,1.0,35.0,34.72,0,3854700,13162,134399825.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-16,BBSE3,BBSE3,34.94,35.15,34.8,35.12,35.12,6457500,34.94,35.15,34.8,35.12,1.0,35.15,34.8,0,6457500,11754,225966823.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-19,BBSE3,BBSE3,35.12,35.36,35.02,35.28,35.28,3033300,35.12,35.36,35.02,35.28,1.0,35.36,35.02,0,3033300,8799,106897004.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-20,BBSE3,BBSE3,35.28,35.59,34.98,35.59,35.59,4912000,35.28,35.59,34.98,35.59,1.0,35.59,34.98,0,4912000,11909,174041034.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-21,BBSE3,BBSE3,35.8,36.27,35.57,36.19,36.19,6601200,35.8,36.27,35.57,36.19,1.0,36.27,35.57,0,6601200,18596,237366087.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-22,BBSE3,BBSE3,36.3,37.35,36.11,37.29,37.29,6470000,36.3,37.35,36.11,37.29,1.0,37.35,36.11,0,6470000,28281,239748221.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-23,BBSE3,BBSE3,37.29,37.34,36.42,36.99,36.99,7615800,37.29,37.34,36.42,36.99,1.0,37.34,36.42,0,7615800,20492,281162487.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-26,BBSE3,BBSE3,37.21,37.33,36.61,37.07,37.07,4763400,37.21,37.33,36.61,37.07,1.0,37.33,36.61,0,4763400,15310,176069948.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-27,BBSE3,BBSE3,37.49,37.75,36.93,36.97,36.97,6356600,37.49,37.75,36.93,36.97,1.0,37.75,36.93,0,6356600,18278,237063680.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
2026-01-28,BBSE3,BBSE3,37.21,37.98,37.01,37.78,37.78,5962600,37.21,37.98,37.01,37.78,1.0,37.98,37.01,0,5962600,16319,224245941.0,1,02,010,BRBBSEACNOR5,127,ON      NM,BBSEGURIDADE
